;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; EI-KBA ;Airbus A320-232; Y180 ; 11 Nov 2021 ;; Gaziza ; 9.3 Years ;;
; EI-KBD ;Airbus A320-232(WL); Y180 ; 10 Sep 2021 ;;; 8.3 Years ;;
; EI-KBE ;Airbus A320-232(WL); Y180 ; 19 Oct 2021 ;lsd ; Аманғали / Amangali ; 8.1 Years ;;
; EI-KBN ;Airbus A320-232(WL); Y180 ; 11 Nov 2021 ;lsd ;; 7.4 Years ;;
; P4-KBB ;Airbus A320-232(WL); Y180 ; 20 Apr 2019 ; Parked ; Roza ; 8.9 Years ;;
; P4-KBC ;Airbus A320-232(WL); Y180 ; 30 Sep 2019 ;; Manshuk ; 8.6 Years ;;
; P4-KBF ;Airbus A320-232(WL); Y180 ; 21 May 2020 ; Parked, lsd ;; 8 Years ;;
; P4-KBG ;Airbus A320-232(WL); Y180 ; 12 Oct 2020 ;lsd ;; 8 Years ;;
; P4-VAS ;Airbus A320-232; Y180 ; 14 Apr 2021 ;lsd ;; 14.8 Years ;;
; EI-KBH ;Airbus A320-271N; Y180 ; 8 Sep 2021 ;lsd ;; 5.4 Years ;;
