;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-BXAT ;Airbus A320-212;; 12 May 1997 ; 24 Oct 1997 ;F-GJVU Air France ;;;
; G-BXKA ;Airbus A320-214;; 21 Apr 1999 ; 4 Nov 1999 ;G-BXKA Ryan International Airlines ;lsd ;;
; G-BXKB ;Airbus A320-214;; 30 Apr 1999 ; 17 Dec 1999 ;G-BXKB Ryan International Airlines ;lsd ;;
; G-BXKC ;Airbus A320-214;; 19 Apr 1999 ; 17 Dec 1999 ;G-BXKC Ryan International Airlines ;lsd ;;
; G-BXKD ;Airbus A320-214; Y180 ; 26 Apr 1999 ; 17 Dec 1999 ;G-BXKD Ryan International Airlines ;lsd ;;
; G-BXTA ;Airbus A320-214;; 1 Nov 1998 ; 29 Apr 1999 ;G-VTAN Virgin Sun ;lsd ;;
; G-BXAW ;Airbus A321-211; Y220 ; 1 Nov 1998 ; 13 Jan 1999 ;6Y-JMD Air Jamaica ;lsd ;;
; G-BXNP ;Airbus A321-211; Y220 ; 1 Nov 1998 ; 25 Feb 1999 ;6Y-JME Air Jamaica ;lsd ;;
; C-FOOE ;Boeing 757-28A;; 26 Apr 1999 ; 15 Dec 1999 ;C-FOOE Canada 3000 Airlines ;lsf Canada 3000 Airlines ;;
; G-FCLA ;Boeing 757-28A; Y235 ; 26 Feb 1997 ; 27 Mar 2000 ;G-FCLA JMC Air ;lsd ;;
; G-FCLB ;Boeing 757-28A;; 30 Apr 1998 ; 27 Mar 2000 ;G-FCLB JMC Air ;lsd ;;
; G-FCLC ;Boeing 757-28A;; 9 May 1997 ; 27 Mar 2000 ;G-FCLC JMC Air ;lsd ;;
; G-FCLD ;Boeing 757-25F;; 25 Apr 1997 ; 27 Mar 2000 ;G-FCLD JMC Air ;lsd ;;
; G-FCLE ;Boeing 757-28A;; 24 May 1998 ; 27 Mar 2000 ;G-FCLE JMC Air ;lsd ;;
; G-FCLF ;Boeing 757-28A;; 23 Mar 1999 ; 27 Mar 2000 ;G-FCLF JMC Air ;lsd ;;
; G-FCLG ;Boeing 757-28A; Y235 ; 18 Dec 1998 ; 27 Mar 2000 ;G-FCLG JMC Air ;lsd ;;
; G-FCLH ;Boeing 757-28A;; 15 Feb 1999 ; 27 Mar 2000 ;G-FCLH JMC Air ;lsd ;;
; G-FCLI ;Boeing 757-28A; Y235 ; 15 Mar 1999 ; 27 Mar 2000 ;G-FCLI JMC Air ;lsd ;;
; G-FCLJ ;Boeing 757-2Y0;; 26 Apr 1999 ; 27 Mar 2000 ;G-FCLJ JMC Air ;lsd ;;
; G-FCLK ;Boeing 757-2Y0;; 6 Apr 1999 ; 27 Mar 2000 ;G-FCLK JMC Air ;lsd ;;
