;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; B-12291 ;Fokker F100;; 2 Dec 1995 ; 8 Aug 1999 ;B-12291 Mandarin Airlines ;;;
; B-12292 ;Fokker F100;; 15 Apr 1996 ; 8 Aug 1999 ;B-12292 Mandarin Airlines ;;;
; B-12270 ;Fokker F50; Y56 ; 7 Jun 1999 ; 8 Aug 1999 ;B-12270 Mandarin Airlines ;;;
; B-12271 ;Fokker F50; Y56 ; 18 Feb 1995 ; 8 Aug 1999 ;B-12271 Mandarin Airlines ;;;
; B-12272 ;Fokker F50; Y56 ; 7 Jan 1995 ; 8 Aug 1999 ;B-12272 Mandarin Airlines ;;;
; B-12273 ;Fokker F50; Y56 ; 18 Oct 1995 ; 8 Aug 1999 ;B-12273 Mandarin Airlines ;;;
; B-12275 ;Fokker F50; Y56 ; 15 Sep 1995 ; 8 Aug 1999 ;B-12275 Mandarin Airlines ;;;
; B-12276 ;Fokker F50; Y56 ; 19 Oct 1996 ; 8 Aug 1999 ;B-12276 Mandarin Airlines ;;;
; B-12279 ;Fokker F50; Y56 ; Jun 1999 ; 8 Aug 1999 ;B-12279 Mandarin Airlines ;;;
; B-12200 ;Saab 340A;; 5 Sep 1988 ; 27 Aug 1996 ;SE-LEP Skyways ;;;
; B-12233 ;Saab 340B; Y34 ; 9 May 1993 ; Dec 1998 ;B-3655 Shandong Airlines ;;;
; B-12255 ;Saab 340B; Y34 ; 4 May 1993 ; 18 Mar 1998 ; Written Off ;;;
; B-12261 ;Saab 340B; Y34 ; 14 Nov 1993 ; Dec 1998 ;B-3656 Shandong Airlines ;;;
; B-12262 ;Saab 340B;; 26 Jan 1994 ; Dec 1998 ;B-3657 Shandong Airlines ;;;
; B-12263 ;Saab 340B+; Y34 ; 20 Jul 1994 ; Dec 1998 ;B-3658 Shandong Airlines ;;;
; B-12265 ;Saab 340B+;; 3 Jan 1995 ; 8 Aug 1999 ;B-12265 Mandarin Airlines ;;;
; B-12266 ;Saab 340A;; 15 Dec 1989 ; 8 Aug 1999 ;B-12266 Mandarin Airlines ;;;
; B-12299 ;Saab 340A;; 8 Nov 1988 ; 22 Nov 1996 ;SE-LES Skyways ;;;
