;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; 9H-FHA ;Airbus A320-214; Y180 ; 4 Mar 2020 ;lsd ; 12.1 Years ;;
; 9H-FHB ;Airbus A320-214; Y180 ; 29 Jan 2019 ;lsd ; 15.1 Years ;;
; 9H-FHY ;Airbus A320-214; Y180 ; 14 Feb 2022 ;lsd ; 12.9 Years ;;
; TC-FBO ;Airbus A320-214; Y180 ; 17 Mar 2020 ;lsd ; 9.9 Years ;;
; TC-FBR ;Airbus A320-232; Y180 ; 25 May 2018 ;lsd ; 16.5 Years ;;
; TC-FBV ;Airbus A320-214; Y180 ; 20 May 2019 ;lsd ; 10.9 Years ;;
; TC-FHC ;Airbus A320-214; Y180 ; 15 Oct 2016 ;lsd ; 12.9 Years ;;
; TC-FHG ;Airbus A320-232; Y180 ; 24 Jan 2019 ;lsd ; 15.4 Years ;;
; TC-FHM ;Airbus A320-232; Y180 ; 14 Mar 2019 ;lsd ; 15.2 Years ;;
; TC-FHN ;Airbus A320-214(WL); Y180 ; 17 Mar 2020 ;lsd ; 8.7 Years ;;
