;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N501MJ ;Bombardier CRJ-701ER (CL-600-2C10);; 17 Jul 2002 ; 16 Apr 2004 ;N501MJ America West Express ;lsd ;;
; N502MJ ;Bombardier CRJ-701ER (CL-600-2C10);; 31 Jul 2002 ; 8 Apr 2004 ;N502MJ America West Express ;lsd ;;
; N503MJ ;Bombardier CRJ-701ER (CL-600-2C10);; 16 Oct 2002 ; 5 Apr 2004 ;N503MJ America West Express ;lsd ;;
; N504MJ ;Bombardier CRJ-701ER (CL-600-2C10);; 20 Nov 2002 ; 17 Mar 2004 ;N504MJ America West Express ;lsd ;;
; N505MJ ;Bombardier CRJ-701ER (CL-600-2C10);; 11 Dec 2002 ; 10 Mar 2004 ;N505MJ America West Express ;lsd ;;
; N506MJ ;Bombardier CRJ-701ER (CL-600-2C10);; 17 Dec 2002 ; 21 Feb 2004 ;N506MJ America West Express ;lsd ;;
; N507MJ ;Bombardier CRJ-701ER (CL-600-2C10);; 14 Jan 2003 ; 7 Feb 2004 ;N507MJ America West Express ;lsd ;;
; N508MJ ;Bombardier CRJ-701ER (CL-600-2C10);; 31 Jan 2003 ; 6 Jan 2004 ;N508MJ America West Express ;lsd ;;
; N509MJ ;Bombardier CRJ-701ER (CL-600-2C10);; 17 Jun 2003 ; 29 Jan 2004 ;N509MJ America West Express ;;;
; N510MJ ;Bombardier CRJ-701ER (CL-600-2C10);; 29 Apr 2003 ; 10 Dec 2003 ;N510MJ America West Express ;lsd ;;
; N511MJ ;Bombardier CRJ-701ER (CL-600-2C10);; 27 May 2003 ; 6 Dec 2003 ;N511MJ America West Express ;lsd ;;
; N512MJ ;Bombardier CRJ-701ER (CL-600-2C10);; 23 Jul 2003 ; 13 Oct 2003 ;N512MJ America West Express ;;;
; N513MJ ;Bombardier CRJ-701ER (CL-600-2C10);; 28 Jul 2003 ; 11 Sep 2003 ;N513MJ America West Express ;513 ;;
; N600LR ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 25 Sep 2007 ; 7 Nov 2008 ;N600LR Delta Connection ;15142, lsf Delta Air Lines ;;
