;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-BUSJ ;Airbus A320-211; CY149 ; 1 Mar 2005 ; 30 Oct 2005 ;G-BUSJ British Airways ;;;
; G-TTOA ;Airbus A320-232; CY156 ; 18 May 2000 ; 22 May 2007 ;G-TTOA British Airways ;lsd ;;
; G-TTOB ;Airbus A320-232; CY156 ; 14 Feb 2002 ; 29 Mar 2008 ;G-TTOB British Airways ;lsd ;;
; G-TTOC ;Airbus A320-232; CY156 ; 6 Mar 2002 ; 29 Mar 2008 ;G-TTOC British Airways ;;;
; G-TTOD ;Airbus A320-232; CY156 ; 14 Mar 2002 ; 29 Mar 2008 ;G-TTOD British Airways ;;;
; G-TTOE ;Airbus A320-232; CY156 ; 11 Apr 2002 ; 29 Mar 2008 ;G-TTOE British Airways ;lsd ;;
; G-TTOF ;Airbus A320-232; CY156 ; 13 Feb 2003 ; 29 Mar 2008 ;G-TTOF British Airways ;lsd ;;
; G-TTOG ;Airbus A320-232; CY156 ; 10 Apr 2003 ; 29 Mar 2008 ;G-TTOG British Airways ;;;
; G-TTOH ;Airbus A320-232; CY156 ; 2 May 2003 ; 29 Mar 2008 ;G-TTOH British Airways ;lsd ;;
; G-TTOI ;Airbus A320-232; CY156 ; 11 Dec 2003 ; 29 Mar 2008 ;G-TTOI British Airways ;lsd ;;
; G-TTOJ ;Airbus A320-232; CY156 ; 30 Mar 2004 ; 29 Mar 2008 ;G-TTOJ British Airways ;;;
; G-TTIA ;Airbus A321-231; CY189 ; 19 Feb 2001 ; 30 Mar 2008 ;G-TTIA British Airways ;lsd ;;
; G-TTIB ;Airbus A321-231; CY189 ; 27 Feb 2001 ; 13 Jan 2008 ;G-TTIB British Airways ;lsd ;;
; G-TTIC ;Airbus A321-231; CY189 ; 12 Dec 2002 ; 29 Mar 2008 ;G-TTIC British Airways ;;;
; G-TTID ;Airbus A321-231; CY189 ; 12 May 2005 ; 29 Mar 2008 ;G-TTID British Airways ;;;
; G-TTIE ;Airbus A321-231; CY189 ; 23 May 2006 ; 29 Mar 2008 ;G-TTIE British Airways ;;;
; G-TTIF ;Airbus A321-231; CY189 ; 25 May 2007 ; 29 Mar 2008 ;G-TTIF British Airways ;;;
; G-TTIG ;Airbus A321-231; CY189 ; 21 Feb 2008 ; 29 Mar 2008 ;G-TTIG easyJet ;;;
; G-BECG ;Boeing 737-204(A); Y130 ; 28 Apr 1995 ; 30 May 1996 ;G-BECG easyJet ;lsd ;;
; G-BECH ;Boeing 737-204(A); Y130 ; 16 Oct 1995 ; 30 May 1996 ;G-BECH easyJet ;lsd ;;
; G-BGDB ;Boeing 737-236(A);; 30 Mar 1997 ; 28 Feb 1998 ;N920WA Boullioun Aviation Services ;lsd ;;
; G-BGDO ;Boeing 737-236(A);; 26 May 1992 ; 30 Mar 1995 ;G-BGDO British Airways ;lsf British Airways ;;
; G-BGDS ;Boeing 737-236(A);; 14 Mar 1992 ; 31 Mar 1998 ;G-BGDS British Airways ;Mons Calpe, lsf British Airways ;;
; G-BGDU ;Boeing 737-236(A);; 15 Feb 1992 ; 4 Apr 1998 ;G-BGDU British Airways ;Mons Abyala, lsf British Airways ;;
; G-DDDV ;Boeing 737-2S3(A);; Apr 1988 ; 14 Nov 1989 ;A4O-BL Gulf Air ;Gibel Tarik, lsd ;;
; G-IBTX ;Boeing 737-2M8(A);; 2 Nov 1990 ; 3 Jan 1993 ;F-GLXG EAS - Europe Aero Service ;Pico Rivo, lsf TEA UK ;;
; G-IBTZ ;Boeing 737-2U4(A);; 1 Apr 1990 ; 30 May 1992 ;VT-EWC East West Airlines ;Gibel Tarik, lsf British Airways ;;
; G-OGBB ;Boeing 737-34S; CY130 ; 27 Jan 1998 ; 15 Apr 2003 ;G-OGBB British Airways ;;;
; G-OGBC ;Boeing 737-34S; CY130 ; 26 Feb 1998 ; 21 Apr 2003 ;G-OGBC British Airways ;lsd ;;
; G-OGBD ;Boeing 737-3L9; CY130 ; 5 Mar 1998 ; 5 Jan 2001 ;G-OGBD British Airways ;;;
; G-OGBE ;Boeing 737-3L9; CY130 ; 23 Nov 1998 ; 24 Dec 2003 ;G-OGBE British Airways ;;;
; G-BNNK ;Boeing 737-4Q8; CY150 ; 11 Apr 1995 ; 19 Feb 2001 ;G-BNNK British Airways ;lsd ;;
; G-BNNL ;Boeing 737-4Q8; CY150 ; 8 Mar 1995 ; 10 Feb 2001 ;G-BNNL British Airways ;lsd ;;
; G-BUHL ;Boeing 737-4S3;; 28 Mar 1996 ; 3 Mar 2002 ;G-BUHL British Airways ;lsd ;;
; G-OGBA ;Boeing 737-4S3;; 17 Mar 1997 ; 4 Apr 2002 ;G-OGBA British Airways ;lsd ;;
; G-TREN ;Boeing 737-4S3;; 30 Mar 1997 ; 13 Mar 2002 ;G-TREN British Airways ;lsd ;;
; G-OXLA ;Boeing 737-81Q; Y189 ; 5 May 2007 ; 28 Oct 2007 ;G-OXLA British Airways ;lsf XL Airways ;;
