;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; D-CGAC ;Dornier 328-110;; 30 Jun 2000 ; 19 Dec 2000 ;D-CDXL Dornier ;;;
; D-CGAN ;Dornier 328-110;; Mar 1999 ; 10 Apr 2003 ;D-CPWF Private Wings Flugcharter ;;;
; D-CGAO ;Dornier 328-110;; Mar 1999 ; 13 Apr 2004 ;D-CREW Private Wings Flugcharter ;;;
; D-CGAP ;Dornier 328-110;; 21 Sep 1999 ; Jan 2004 ;D-CGAP Air Alps Aviation ;;;
; D-CGEP ;Dornier 328-110;; 6 Dec 1999 ; 21 Feb 2003 ;OE-LKG Air Alps Aviation ;;;
; D-BGAB ;Dornier Do-328JET-300; Y32 ; 21 Mar 2000 ; 19 Feb 2004 ; Stored ;;;
; D-BGAD ;Dornier Do-328JET-300;; Mar 2001 ; 20 Feb 2002 ;N360SK Skyway Airlines ;;;
; D-BGAE ;Dornier Do-328JET-300;; 18 Aug 2000 ; 12 Oct 2007 ;D-BGAE Cirrus Airlines ;;;
; D-BGAF ;Dornier Do-328JET-300;; Mar 2001 ; 12 Feb 2004 ;N328BH Ultimate Jetcharters ;;;
; D-BGAG ;Dornier Do-328JET-300; Y31 ; 22 Feb 2000 ; 30 Dec 2004 ;I-ACLG ItAli Airlines ;;;
; D-BGAL ;Dornier Do-328JET-300;; 27 Feb 2003 ; 6 Sep 2004 ;D-BGAL Cirrus Airlines ;;;
; D-BGAQ ;Dornier Do-328JET-300; Y31 ; 16 Nov 1999 ; 18 Jun 2004 ;D-BGAQ Cirrus Airlines ;;;
; D-BGAR ;Dornier Do-328JET-300;; 10 Jan 2001 ; 17 Aug 2005 ;I-ACLH ItAli Airlines ;;;
; D-BGAS ;Dornier Do-328JET-300;; 9 Jun 2000 ; Sep 2007 ;D-BGAS Cirrus Airlines ;;;
