;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N213PP ;Boeing 737-219(A);; 29 Sep 2003 ; Jul 2004 ;XA-SAM Aerotropical ;;;
; XA-TWR ;Boeing 737-2H4(A);; 2013 ; 8 Oct 2014 ; Stored ;;;
; XA-UBB ;Boeing 737-291(A);; Dec 2007 ;; Scrapped ;;;
; XA-UHY ;Boeing 737-2C3(A);; Nov 2008 ;; Scrapped ;;;
; XA-UHZ ;Boeing 737-201(A);; 2017 ; 18 May 2018 ; Written Off ;;;
; XA-UKW ;Boeing 737-205(A);; Nov 2008 ;; Partially Preserved ;;;
; XA-UMP ;Boeing 737-2A3(A);; 22 Nov 2009 ;; Stored ;;;
; XA-UMQ ;Boeing 737-2Q3(A);; 20 Nov 2009 ;; Stored ;;;
; XA-UNG ;Boeing 737-3L9; Y142 ; 23 Feb 2010 ; Oct 2011 ;EY-444 Tajik Air ;;;
; XA-UNW ;Boeing 737-3T0;; 11 Aug 2010 ; 29 May 2011 ; Scrapped ;lsd ;;
; XA-UZK ;Boeing 737-5Y0;; Oct 2017 ; 7 Feb 2019 ;HC-CUH Aero Regional ;;;
