;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; ZS-GAL ;Airbus A320-231; Y168 ; 3 Nov 2019 ;opf Lift ; 32.6 Years ;;
; ZS-GAO ;Airbus A320-231; Y168 ; Feb 2018 ;opf Lift ; 32.6 Years ;;
; ZS-GAP ;Airbus A320-231;; 28 Jul 2016 ; Parked ; 32.5 Years ;;
; ZS-GAR ;Airbus A320-231; Y168 ; 1 Nov 2019 ;opf Lift ; 32.8 Years ;;
; ZS-GAS ;Airbus A320-231; Y180 ; 1 Nov 2019 ;; 32.4 Years ;;
; ZS-GAW ;Airbus A320-231; Y180 ; 4 Nov 2019 ; Parked ; 32.7 Years ;;
; ZS-GAZ ;Airbus A320-231; Y180 ; 2 Nov 2019 ; Parked ; 32.4 Years ;;
; 2-RLAV ;Airbus A340-541; Y356 ; 22 Feb 2018 ; Parked ; 16.5 Years ;;
; 2-RLBC ;Airbus A340-541;; 7 Nov 2018 ; Parked ; 18.3 Years ;;
; ZS-GAU ;Airbus A340-541;; 21 Jun 2019 ; Parked ; 17.3 Years ;;
