;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; LX-LTI ;Airbus A318-112(CJ) Elite; VIP ; 28 Dec 2016 ;; 12.1 Years ;;
; LX-GVV ;Airbus A319-115(CJ); VIP ; 16 Dec 2013 ;; 13.7 Years ;;
; LX-MCO ;Airbus A319-115(CJ); VIP ; May 2017 ;; 16.3 Years ;;
; M-RBUS ;Airbus A319-115(CJ); VIP ; 17 Apr 2009 ;; 12.9 Years ;;
; P4-MGU ;Airbus A319-115(CJ)(WL); VIP ; Jan 2015 ;; 9 Years ;;
; P4-MIS ;Airbus A319-115(CJ); VIP ; 12 Jun 2007 ;; 14.7 Years ;;
; P4-VNL ;Airbus A319-115(CJ); VIP ; 15 Aug 2007 ;; 15.3 Years ;;
; LX-MBJ ;Boeing 737-7HE(WL) BBJ; VIP ; 15 Jul 2021 ;; 15.4 Years ;;
; M-URUS ;Boeing 737-7GC(WL) BBJ; VIP ; 17 Jul 2008 ;; 16.5 Years ;;
; LX-DIO ;Boeing 737-97YER(WL) BBJ3; VIP ; 12 Nov 2015 ;; 6.3 Years ;;
; LX-JAG ;Embraer EMB-135BJ Legacy 600; VIP ; Mar 2017 ;; 14.5 Years ;;
