;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; SE-MCA ;ATR 72-201;; 30 Sep 2010 ; 28 Feb 2011 ;SE-MCA Blue1 ;lsd ;;
; SE-MDA ;ATR 72-500 (72-212A); Y72 ; 26 Nov 2008 ; 1 Jan 2013 ;SE-MDA Braathens Regional Airways ;lsd ;;
; SE-MDB ;ATR 72-500 (72-212A); Y72 ; 11 Dec 2008 ; 1 Jan 2013 ;SE-MDB Braathens Regional Airways ;lsd ;;
; SE-MDC ;ATR 72-500 (72-212A); Y72 ; 22 Dec 2009 ; 1 Jan 2013 ;SE-MDC Braathens Regional Airways ;lsd ;;
; SE-MDH ;ATR 72-500 (72-212A); Y72 ; 26 Aug 2010 ; 1 Jan 2013 ;SE-MDH Blue1 ;lsd ;;
; SE-MDI ;ATR 72-500 (72-212A); Y72 ; 21 Oct 2010 ; 1 Jan 2013 ;SE-MDI Blue1 ;lsd ;;
; SE-KCF ;Saab 2000; Y50 ; 24 Aug 2004 ; 31 May 2006 ;N92225 US Department of Justice ;;;
; SE-KXK ;Saab 2000; Y50 ; 22 Feb 2006 ; 1 Jan 2013 ;SE-KXK Braathens Regional Airways ;;;
; SE-LOG ;Saab 2000; Y50 ; 28 Sep 2001 ; 8 Feb 2007 ;N168GC Ginn Racing ;lsd ;;
; SE-LOM ;Saab 2000; Y50 ; 25 Jan 2009 ; 1 Jan 2013 ;SE-LOM Braathens Regional Airways ;;;
; SE-LOT ;Saab 2000; Y50 ; 26 Oct 2011 ; 1 Jan 2013 ;SE-LOT Braathens Regional Airways ;;;
; SE-LSB ;Saab 2000; Y50 ; 18 Dec 2009 ; 1 Jan 2013 ;SE-LSB Braathens Regional Airways ;;;
; SE-LSE ;Saab 2000; Y50 ; 31 Mar 2010 ; 1 Jan 2013 ;SE-LSE Blue1 ;lsd ;;
; SE-LTU ;Saab 2000; Y50 ; 18 Jun 2006 ; 1 Jan 2013 ;SE-LTU Braathens Regional Airways ;lsf Erik Thun AB ;;
; SE-LTV ;Saab 2000; Y50 ; 17 Aug 2006 ; 1 Jan 2013 ;SE-LTV Braathens Regional Airways ;;;
; SE-LTX ;Saab 2000; Y50 ; 3 Mar 2005 ; 1 Jan 2013 ;SE-LTX Braathens Regional Airways ;lsd ;;
; SE-LXH ;Saab 2000; Y50 ; 20 Apr 2009 ; 1 Jan 2013 ;SE-LXH Braathens Regional Airways ;;;
; SE-LXK ;Saab 2000; Y50 ; 23 Feb 2011 ; 1 Jan 2013 ;SE-LXK Braathens Regional Airways ;lsd ;;
; SE-MFF ;Saab 2000; Y50 ; 3 Feb 2012 ; 1 Jan 2013 ;SE-MFF Braathens Regional Airways ;;;
; OH-FAE ;Saab 340A(QC); Y34/Cargo ; Mar 1999 ; Sep 2007 ;SP-KPR Direct Fly ;lsf Finnair ;;
; OH-FAF ;Saab 340B;; Oct 1999 ; 14 Dec 2012 ;SE-F67 Täby Air Maintenance ;;;
; SE-ISD ;Saab 340A; Y33 ; Jan 1998 ; 11 Apr 2008 ;SP-KPU SprintAir ;;;
; SE-ISE ;Saab 340A;; 10 Aug 1999 ; 8 Apr 2009 ;SE-ISE Erik Thun ;;;
; SE-ISG ;Saab 340B; Y34 ; 15 Aug 1993 ; 1 Jan 2013 ;SE-ISG Braathens Regional Airways ;lsd ;;
; SE-KTE ;Saab 340B;; 7 Oct 2011 ; 18 Nov 2011 ;UR-APM Business Aviation Center ;;;
; SE-KTK ;Saab 340B;; 14 Jan 2011 ; 5 Aug 2011 ;UR-ARO Business Aviation Center ;lsd ;;
; SE-KXB ;Saab 340B;; Feb 1994 ; 29 Aug 1994 ;SE-KXB Regional Airlines ;lsd ;;
; SE-KXG ;Saab 340B;; 9 Mar 2006 ; 14 Oct 2011 ;SE-KXG NextJet ;lsd, "Posten Norge" sticker ;;
; SE-KXH ;Saab 340B;; 5 May 2006 ; 27 Mar 2007 ;OK-CCD Central Connect Airlines ;lsd ;;
; SE-KXI ;Saab 340B; Y33 ; 5 Sep 2006 ; 19 Sep 2007 ;SE-KXI Avitrans Nordic ;lsd ;;
; SE-KXJ ;Saab 340B; Y33 ; 5 Oct 2010 ; 13 Dec 2010 ;SE-KXJ NextJet ;lsd ;;
; SE-LEP ;Saab 340A;; Dec 2001 ; Aug 2009 ;SE-LEP NextJet ;lsd ;;
; SE-LES ;Saab 340A;; 2001 ; 26 Aug 2011 ; Derelict ;lsd ;;
; SE-LHO ;Saab 340B+;; 26 Feb 2001 ; 14 Jul 2004 ;C-GMNM Calm Air ;;;
; SE-LMR ;Saab 340A;; 13 Sep 2000 ; 4 Oct 2007 ;SE-LMR NextJet ;lsd ;;
; SE-LMT ;Saab 340A; Y33 ; 29 May 2007 ; 6 Mar 2008 ;SE-LMT Estonian Air Regional ;lsd ;;
; SE-LSR ;Saab 340A;; 28 Jul 2003 ; 3 Jul 2007 ;SE-LSR Siemens Financial Services ;;;
