;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; B-3873 ;Dornier Do-328JET-310; Y32 ; 30 Nov 2007 ; 8 Jun 2009 ;B-3873 Tianjin Airlines ;;;
; B-3947 ;Dornier Do-328JET-310; Y32 ; Dec 2007 ; 8 Jun 2009 ;B-3947 Tianjin Airlines ;;;
; B-3983 ;Dornier Do-328JET-310; Y32 ; Aug 2007 ; 8 Jun 2009 ;B-3983 Tianjin Airlines ;;;
; B-3030 ;Embraer ERJ-145LI; Y50 ; 6 Feb 2008 ; 8 Jun 2009 ;B-3030 Tianjin Airlines ;lsd ;;
; B-3031 ;Embraer ERJ-145LI; Y50 ; 7 Mar 2008 ; 8 Jun 2009 ;B-3031 Tianjin Airlines ;lsd ;;
; B-3032 ;Embraer ERJ-145LI; Y50 ; Mar 2008 ; 8 Jun 2009 ;B-3032 Tianjin Airlines ;lsd ;;
; B-3033 ;Embraer ERJ-145LI; Y50 ; Jul 2008 ; 8 Jun 2009 ;B-3033 Tianjin Airlines ;lsd ;;
; B-3035 ;Embraer ERJ-145LI; Y50 ; 31 Oct 2007 ; 8 Jun 2009 ;B-3035 Tianjin Airlines ;;;
; B-3036 ;Embraer ERJ-145LI; Y50 ; 31 Dec 2007 ; 3 Jun 2009 ;B-3036 Tianjin Airlines ;lsd ;;
; B-3037 ;Embraer ERJ-145LI; Y50 ; 4 Jan 2008 ; 8 Jun 2009 ;B-3037 Tianjin Airlines ;lsd ;;
; B-3038 ;Embraer ERJ-145LI; Y50 ; 18 Jun 2008 ; 8 Jun 2009 ;B-3038 Tianjin Airlines ;;;
; B-3039 ;Embraer ERJ-145LI; Y50 ; 24 Sep 2007 ; 8 Jun 2009 ;B-3039 Tianjin Airlines ;lsd ;;
; B-3081 ;Embraer ERJ-145LI; Y50 ; 21 Aug 2008 ; 8 Jun 2009 ;B-3081 Tianjin Airlines ;;;
; B-3082 ;Embraer ERJ-145LI; Y50 ; 30 Dec 2008 ; 8 Jun 2009 ;B-3082 Tianjin Airlines ;;;
; B-3083 ;Embraer ERJ-145LI; Y50 ; 2 Apr 2009 ; 8 Jun 2009 ;B-3083 Tianjin Airlines ;;;
; B-3120 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 22 May 2008 ; 8 Jun 2009 ;B-3120 Tianjin Airlines ;;;
; B-3121 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 7 Jun 2008 ; 8 Jun 2009 ;B-3121 Tianjin Airlines ;;;
; B-3122 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 27 Jun 2008 ; 8 Jun 2009 ;B-3122 Tianjin Airlines ;;;
; B-3123 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 22 Jul 2008 ; 8 Jun 2009 ;B-3123 Tianjin Airlines ;;;
; B-3125 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 1 Aug 2008 ; 8 Jun 2009 ;B-3125 Tianjin Airlines ;;;
; B-3127 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 16 Sep 2008 ; 8 Jun 2009 ;B-3127 Tianjin Airlines ;;;
; B-3128 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 4 Dec 2008 ; 8 Jun 2009 ;B-3128 Tianjin Airlines ;;;
; B-3129 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 13 Jan 2009 ; 8 Jun 2009 ;B-3129 Tianjin Airlines ;;;
; B-3150 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 27 Feb 2009 ; 8 Jun 2009 ;B-3150 Tianjin Airlines ;;;
; B-3151 ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 31 Mar 2009 ; 8 Jun 2009 ;B-3151 Tianjin Airlines ;;;
