;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; 9Q-COP ;Boeing 727-022(WL); C12Y139 ; Feb 2010 ; 8 Jul 2011 ; Written Off ;;;
; 9Q-CKZ ;Boeing 737-293; CY108 ; 1 Dec 2000 ; Jul 2004 ; Scrapped ;;;
; 9Q-COG ;Boeing 767-266ER;; 16 Dec 2009 ; 19 May 2011 ;N902EJ Executive USA LLC ;;;
; 9Q-CAQ ;Douglas DC-8-55(F); Cargo ; 2007 ; 2011 ;9T-TCN Congolese Air Force ;;;
; 9Q-CHL ;Douglas DC-8-55CF Jet Trader; Cargo ; Nov 2007 ; 2010 ; Stored ;;;
; 9Q-CHM ;Douglas DC-8-55(F); Cargo ; 12 Jul 2007 ;; Stored ;;;
; 9Q-CHN ;McDonnell Douglas DC-9-51;; Jul 2007 ; 15 Apr 2008 ; Written Off ;;;
; 9Q-COJ ;McDonnell Douglas MD-82 (DC-9-82); C16Y120 ; May 2010 ;; Stored ;;;
; 9Q-COQ ;McDonnell Douglas MD-82 (DC-9-82); C16Y120 ; 2010 ; 21 Jun 2010 ; Written Off ;;;
; 9Q-COW ;McDonnell Douglas MD-82 (DC-9-82); C16Y120 ; 25 Mar 2010 ; Mar 2012 ;9Q-COW flyCongo ;;;
; 9Q-COY ;McDonnell Douglas MD-82 (DC-9-82); C16Y120 ; 14 Jun 2010 ; Mar 2012 ;9Q-COY flyCongo ;;;
; 9Q-COZ ;McDonnell Douglas MD-82 (DC-9-82); C16Y120 ; 7 Jul 2010 ; Mar 2012 ;9Q-COZ flyCongo ;;;
