;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; B-LCF ;Airbus A320-232(WL); Y180 ; 22 May 2015 ; Parked, lsd ; Tebasaki / 手羽先 ; 8.6 Years ;;
; B-LCG ;Airbus A320-232(WL); Y180 ; 4 Jun 2015 ; Parked, lsd ; Sanuki Udon / 讚岐烏冬 ; 8.5 Years ;;
; B-LCH ;Airbus A320-232; Y180 ; 17 May 2016 ; Parked, lsd ; Lai Cha / 奶茶 ; 12.1 Years ;;
; B-LCI ;Airbus A320-232; Y180 ; 4 Aug 2016 ; Parked, lsd ;; 11.4 Years ;;
; B-LCJ ;Airbus A320-232(WL); Y180 ; 30 Sep 2015 ; Parked, lsd ;; 8.7 Years ;;
; B-LCL ;Airbus A320-271N; Y188 ; 8 Dec 2016 ; Parked HKG, lsd ; Shark / 鯊魚 (Say no to Shark fin) ; 5.3 Years ;;
; B-LCM ;Airbus A320-271N; Y188 ; 30 Dec 2016 ; Parked, lsd ;; 5.2 Years ;;
; B-LCN ;Airbus A320-271N; Y188 ; 15 Mar 2017 ; Parked, lsd ;; 5 Years ;;
; B-LCO ;Airbus A320-271N; Y188 ; 8 Dec 2017 ; Parked HKG, lsd ;; 4.8 Years ;;
; B-LCP ;Airbus A320-271N; Y188 ; 15 Dec 2017 ; Parked, lsd ;; 4.3 Years ;;
; B-LCQ ;Airbus A320-271N; Y188 ; 28 Jul 2020 ; Parked, lsd ;; 1.8 Years ;;
; B-LCR ;Airbus A320-271N; Y188 ; 13 Aug 2020 ;lsd ;; 1.6 Years ;;
; B-LCS ;Airbus A320-271N; Y188 ; 23 Oct 2020 ; Parked, lsd ;; 1.4 Years ;;
; B-LCU ;Airbus A320-271N; Y188 ; 23 Nov 2020 ;lsd ;; 1.3 Years ;;
; B-LCV ;Airbus A320-271N; Y188 ; 1 Apr 2021 ;lsd ;; 0.9 Years ;;
; B-LEB ;Airbus A321-231(WL); Y230 ; 8 Nov 2016 ; Parked ASP, lsd ;; 5.3 Years ;;
; B-LEC ;Airbus A321-231(WL); Y230 ; 21 Mar 2017 ; Parked ASP, lsd ;; 5 Years ;;
; B-LED ;Airbus A321-231(WL); Y230 ; 13 Jun 2017 ; Parked ASP, lsd ;; 4.7 Years ;;
; B-LEE ;Airbus A321-231(WL); Y230 ; 17 Aug 2017 ; Parked ASP, lsd ; Siu Loong / 小龍 ; 4.6 Years ;;
; B-LEF ;Airbus A321-231(WL); Y230 ; 17 Aug 2017 ; Parked ASP, lsd ;; 4.6 Years ;;
; B-LEG ;Airbus A321-231(WL); Y230 ; 6 Sep 2017 ; Parked HKG, lsd ;; 4.5 Years ;;
; B-LEH ;Airbus A321-231(WL); Y230 ; 16 Oct 2017 ; Parked ASP, lsd ;; 4.4 Years ;;
; B-LEI ;Airbus A321-231(WL); Y230 ; 29 Dec 2017 ; Parked ASP, lsd ;; 4.2 Years ;;
; B-LEJ ;Airbus A321-231(WL); Y230 ; 21 Mar 2018 ; Parked ASP, lsd, reward-U cs ;; 4 Years ;;
; B-LEK ;Airbus A321-231(WL); Y230 ; 3 Jul 2018 ; Parked ASP, lsd ;; 3.7 Years ;;
; B-LEL ;Airbus A321-231(WL); Y230 ; 21 Sep 2018 ; Parked ASP, lsd ;; 3.5 Years ;;
