;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N400QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 8 Jan 2001 ;lsd ; 400 ; 21.2 Years ;;;
; N401QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 31 Jan 2001 ;lsd, Washington State University Cougars cs ; 401 ; 21.2 Years ;;;
; N402QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 26 Jan 2001 ;lsd ; 402 ; 21.2 Years ;;;
; N403QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 20 Feb 2001 ;lsd ; 403 ; 21.2 Years ;;;
; N404QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 11 Jun 2001 ;lsd ; 404 ; 21 Years ;;;
; N405QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 6 Jul 2001 ;lsd ; 405 ; 21 Years ;;;
; N412QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 29 Jan 2002 ;lsd ; 412 ; 20.3 Years ;;;
; N421QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 1 Feb 2007 ;Retro cs ; 421 ; 15.2 Years ;;;
; N422QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 16 Mar 2007 ;; 422 ; 15.2 Years ;;;
; N426QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 25 Apr 2007 ;; 426 ; 15 Years ;;;
; N427QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 30 Apr 2007 ;; 427 ; 15 Years ;;;
; N430QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 30 Jun 2007 ;; 430 ; 14.8 Years ;;;
; N432QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 30 Jul 2007 ; Parked ; 432 ; 14.8 Years ;;;
; N434MK ;Bombardier DHC-8-402Q Dash 8; Y76 ; 26 Nov 2008 ;; 434 ; 13.4 Years ;;;
; N435QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 29 Jan 2009 ;Washington Huskies cs ; 435 ; 13.4 Years ;;;
; N436QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 16 Jan 2009 ;; 436 ; 13.3 Years ;;;
; N437QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 29 Oct 2009 ;Boise State Broncos cs ; 437 ; 13.2 Years ;;;
; N438QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 21 Dec 2009 ;; 438 ; 13.2 Years ;;;
; N439QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 7 Nov 2009 ;; 439 ; 13.1 Years ;;;
; N440QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 29 Jan 2011 ;Oregon State University Beavers cs ; 440 ; 11.3 Years ;;;
; N441QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 31 Jan 2011 ; Parked YAM ; 441 ; 11.3 Years ;;;
; N442QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 18 Mar 2011 ; Parked ; 442 ; 11.3 Years ;;;
; N443QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 15 Mar 2011 ;; 443 ; 11.3 Years ;;;
; N444QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 13 Jun 2011 ;; 444 ; 11.3 Years ;;;
; N445QX ;Bombardier DHC-8-402Q Dash 8; Y76 ; 1 Apr 2011 ;; 445 ; 11.1 Years ;;;
