;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; N241BC ;Embraer ERJ-145EP;; 29 Aug 2012 ;; 23.5 Years ;;
; N611BC ;Saab 340A(F); Cargo ; 27 May 2005 ;; 35.7 Years ;;
; N631BC ;Saab 340A(F); Cargo ; 21 Mar 2006 ;; 35.7 Years ;;
; N641BC ;Saab 340A(F); Cargo ; 7 Sep 2005 ;; 35.5 Years ;;
; N651BC ;Saab 340A(F); Cargo ; 11 Apr 2007 ;076 ; 35.2 Years ;;
; N671BC ;Saab 340A(F); Cargo ; 5 Sep 2008 ;; 35 Years ;;
; N681BC ;Saab 340A(F); Cargo ; Jun 2018 ;; 34.3 Years ;;
; N691BC ;Saab 340A(F); Cargo ; 31 Jul 2009 ;; 36.3 Years ;;
; N901BC ;Saab 340A(F); Cargo ; 18 Nov 2011 ;; 34.9 Years ;;
; N9CJ ;Saab 340B(F); Cargo ; Sep 2018 ;Saab 340B Cargo Demonstrator cs ; 31.2 Years ;;
; N921BC ;Saab Fairchild 340A(F); Cargo ; 28 Jan 2019 ;; 37.2 Years ;;
