;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; 5N-BID ;Boeing 737-25A(A);; 14 Nov 2005 ; 8 Jun 2007 ;EX-734 Eastok Avia ;;;
; EK-74701 ;Boeing 747-238B;; 20 Dec 2003 ; 31 Dec 2005 ;J2-KCB Buraq Air Transport ;;;
; EK-74702 ;Boeing 747-238B;; 15 Feb 2004 ; 30 Jan 2005 ;J2-KCD Air-Van ;;;
; 5N-BJM ;Embraer ERJ-145LR;; 2008 ; 2012 ;5N-BJM Associated Aviation ;lsf Bauchi State Government ;;
; 5N-CEO ;Fokker F100;; 20 Aug 2004 ;; Stored ;Hajiya Babba ;;
; 5N-COO ;Fokker F100;; 20 Aug 2004 ; 29 Jun 2005 ; Written Off ;;;
; 5N-HIR ;Fokker F100;; 22 Jan 2009 ;; Stored ;;;
; 5N-SAT ;Fokker F100;; 22 Dec 2010 ; 21 Dec 2012 ; Scrapped ;;;
; 5N-SIK ;Fokker F100;; 16 Jul 2010 ; 10 May 2014 ; Written Off ;Halima ;;
; 5N-SMR ;Fokker F100;; 2 Mar 2010 ;; Stored ;;;
