;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; EC-JFG ;Airbus A320-214; CY180 ; 30 Oct 2012 ;lsd ;; 18.3 Years ;;
; EC-JFH ;Airbus A320-214; CY180 ; 30 Oct 2012 ;lsd ;; 18.5 Years ;;
; EC-LLE ;Airbus A320-214; CY180 ; 1 Oct 2013 ;lsd ;; 22.4 Years ;;
; EC-LUS ;Airbus A320-216(WL); CY180 ; 20 Mar 2013 ;lsd ;; 9 Years ;;
; EC-LVQ ;Airbus A320-216(WL); CY180 ; 15 May 2013 ;;; 8.8 Years ;;
; EC-LYE ;Airbus A320-216(WL); CY180 ; 28 Aug 2013 ;lsd ;; 8.6 Years ;;
; EC-LYM ;Airbus A320-216(WL); CY180 ; 28 Oct 2013 ;;; 8.4 Years ;;
; EC-MEG ;Airbus A320-214; CY180 ; 5 Mar 2015 ;lsd ;; 21 Years ;;
; EC-MEH ;Airbus A320-214; CY180 ; 5 Mar 2015 ;lsd ;; 20.8 Years ;;
; EC-MUF ;Airbus A320-214; CY180 ; 26 Jun 2019 ;lsd ;; 14.4 Years ;;
; EC-MUK ;Airbus A320-214; CY180 ; 5 Feb 2019 ;lsd ;; 14.4 Years ;;
; EC-JDM ;Airbus A321-213; CY222 ; 11 May 2016 ;lsd ;; 17.3 Years ;;
; EC-JDR ;Airbus A321-213; CY222 ; 19 May 2018 ;lsd ;; 16.7 Years ;;
; EC-JEJ ;Airbus A321-213; CY222 ; 20 Feb 2016 ;lsd ;; 17.1 Years ;;
; EC-JLI ;Airbus A321-213; CY222 ; 28 Oct 2016 ;lsd, "Illes Balears" sticker ;; 16.4 Years ;;
; EC-NGP ;Airbus A321-251NX; CY232 ; 25 Jun 2020 ; Parked ; Fuerteventura ; 1.7 Years ;;
; EC-NIA ;Airbus A321-251NX; CY232 ; 9 Jul 2020 ;; Lanzarote ; 1.7 Years ;;
; EC-NIF ;Airbus A321-251NX; CY232 ; 4 Sep 2020 ;"Madrid" sticker ; Madrid ; 1.6 Years ;;
; EC-NJI ;Airbus A321-251NX; CY232 ; 17 Mar 2021 ;; Tenerife ; 1.5 Years ;;
; EC-NST ;Airbus A321-251NX;; On Order ;;;;;
; EC-NUD ;Airbus A321-251NX;; On Order ;;;;;
