;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N803BR ;Airbus A319-132; Y132 ; 8 Sep 2004 ; 5 Jan 2006 ;EK32011 Armavia ;lsd ;;
; N804BR ;Airbus A319-132; Y132 ; 1 Oct 2004 ; 3 Apr 2006 ;F-GXAG Aigle Azur ;lsd ;;
; N805BR ;Airbus A319-132; Y132 ; 18 Nov 2004 ; 5 Jan 2006 ;D-ABGD Air Berlin ;lsd ;;
; N806BR ;Airbus A319-132; Y132 ; 16 Dec 2004 ; 5 Jan 2006 ;EK32012 Armavia ;lsd ;;
; N807BR ;Airbus A319-132; Y132 ; 3 Feb 2005 ; 5 Apr 2006 ;D-ABGA Air Berlin ;807, lsd ;;
; N808BR ;Airbus A319-132; Y132 ; 16 Feb 2005 ; 5 Jan 2006 ;EC-JQT Air Madrid ;lsd ;;
; N809BR ;Airbus A319-132; Y132 ; 3 Mar 2005 ; 11 Apr 2006 ;TC-IZM IZair - Izmir Airlines ;lsd ;;
; N810BR ;Airbus A319-132; Y132 ; 7 Mar 2005 ; 5 Apr 2006 ;TC-IZR IZair - Izmir Airlines ;lsd ;;
; N811BR ;Airbus A319-132; Y132 ; 4 Apr 2005 ; 15 Mar 2006 ;EC-JQU Air Madrid ;lsd ;;
; N812BR ;Airbus A319-132; Y132 ; 26 Apr 2005 ; 18 Apr 2006 ;TC-IZH IZair - Izmir Airlines ;lsd ;;
; N814BR ;Airbus A319-132; Y132 ; 25 May 2005 ; 3 Apr 2006 ;D-ABGB Air Berlin ;lsd ;;
; N815BR ;Airbus A319-132; Y132 ; 31 May 2005 ; 4 Apr 2006 ;D-ABGC Air Berlin ;lsd ;;
; N620BR ;Bombardier CRJ-200ER (CL-600-2B19);; 4 Aug 2004 ; 5 Jan 2006 ;VP-BMN Air Volga ;;;
; N621BR ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 4 Aug 2004 ; 5 Jan 2006 ;C-GEXI Corporate Express ;;;
; N622BR ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 4 Aug 2004 ; 5 Jan 2006 ;C-GEXM Corporate Express ;;;
; N623BR ;Bombardier CRJ-200ER (CL-600-2B19);; 4 Aug 2004 ; 5 Jan 2006 ;VP-BMR Air Volga ;;;
; N624BR ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 4 Aug 2004 ; 5 Jan 2006 ;N888AU Jet Asia ;;;
; N625BR ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 4 Aug 2004 ; 5 Jan 2006 ; Scrapped ;;;
; N626BR ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 4 Aug 2004 ; 26 Oct 2006 ;ZS-NMC South African Express Airways ;626 ;;
; N627BR ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 4 Aug 2004 ; 5 Jan 2006 ;ZS-NMD South African Express Airways ;627 ;;
; N628BR ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 4 Aug 2004 ; 5 Jan 2006 ;ZS-NME South African Express Airways ;628 ;;
; N629BR ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 4 Aug 2004 ; 30 Mar 2007 ;N629BR Comair ;629 ;;
; N630BR ;Bombardier CRJ-200ER (CL-600-2B19);; 4 Aug 2004 ; 5 Jan 2006 ;OD-AMR Med Airways ;;;
; N631BR ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 4 Aug 2004 ; 3 Feb 2006 ; Scrapped ;;;
; N632BR ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 4 Aug 2004 ; 5 Jan 2006 ;B-7695 ZYB Lily Jet ;;;
; N633BR ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 4 Aug 2004 ; 9 Mar 2007 ;N633BR Haas CNC Racing ;;;
