;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; C-FIQB ;ATR 42-300;; 28 Oct 1989 ; 21 Feb 1993 ;C-FIQB Executive Airlines ;514 ;;
; C-FIQN ;ATR 42-300;; 29 Oct 1989 ; 1 May 1996 ;TF-ELJ Islandsflug ;515, lsd ;;
; C-FIQR ;ATR 42-300;; 29 Oct 1989 ; Nov 1999 ;C-FIQR First Air ;516 ;;
; C-FIQU ;ATR 42-300;; 29 Oct 1989 ; 1991 ;C-FIQU Inter-Canadien ;517 ;;
; C-FLCP ;ATR 42-300;; 29 Oct 1989 ; 27 Jul 1990 ;C-FLCP Ontario Express ;201, lsf Ontario Express ;;
; C-GIQD ;ATR 42-300;; 29 Oct 1989 ; Nov 1999 ; Scrapped ;518 ;;
; C-FICB ;Fokker F100;; 28 Oct 1989 ; 6 Aug 1991 ;F-GIOV TAT - Transport Aérien Transrégional ;500, lsd ;;
; C-FICL ;Fokker F100;; 8 Nov 1989 ; 26 Aug 1991 ;N602DG ILFC ;506, lsd ;;
; C-FICO ;Fokker F100;; 29 Oct 1989 ; 8 Aug 1991 ;F-GIOX TAT - Transport Aérien Transrégional ;501, lsd ;;
; C-FICP ;Fokker F100;; 29 Oct 1989 ; 26 Aug 1991 ;G-UKFD Air UK ;502, lsd ;;
; C-FICQ ;Fokker F100;; 28 Oct 1989 ; 26 Aug 1991 ;C-FICQ Nationair ;503, lsd ;;
; C-FICW ;Fokker F100;; 28 Oct 1989 ; 26 Aug 1991 ;N602TR ILFC ;505, lsd ;;
; C-FICY ;Fokker F100;; 28 Oct 1989 ; 26 Aug 1991 ;N602RP ILFC ;504, lsd ;;
; C-FNAY ;Lockheed L-188C Electra; Ice Reconnaissance ; 16 Feb 1990 ; Jun 1990 ;N130US Renown Aviation ;;;
; C-GNDZ ;Lockheed L-188C Electra; Aerial Television News Coverage ; 21 Mar 1990 ; Jan 1991 ;9Q-CRY New ACS ;;;
