;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; C-FICG ;ATR 42-300; Y46 ; 21 Oct 1998 ; 27 Nov 1999 ;F-WQNR ATRiam Capital ;549, lsd ;;
; C-FICO ;ATR 42-320; Y46 ; 6 Nov 1998 ; 27 Nov 1999 ;YV-913C Vensecar Internacional ;542, lsd ;;
; C-FICP ;ATR 42-300; Y46 ; 22 Oct 1998 ; 27 Nov 1999 ;F-WQHK ATRiam Capital ;554, lsd ;;
; C-FICW ;ATR 42-300; Y46 ; 30 Mar 1999 ; 27 Nov 1999 ;F-WQNX ATRiam Capital ;543, lsd ;;
; C-FIQB ;ATR 42-300;; 27 Apr 1993 ; 5 Nov 1997 ;OY-CIU Cimber Air ;Spirit of Bale County, 542 ;;
; C-FIQU ;ATR 42-300;; 1991 ; 22 Oct 2001 ;C-FIQU First Air ;Spirit of Quebec, 545 ;;
; C-FLCP ;ATR 42-300;; 20 Oct 1998 ; Dec 2000 ;SP-KCA White Eagle Aviation ;Spirit of Kingston, 540, lsd ;;
; C-FNCP ;ATR 42-300;; 20 Oct 1998 ; Nov 1999 ;ZS-OVP Solenta Aviation ;541 ;;
; C-FQCP ;ATR 42-300;; 20 Oct 1998 ; Nov 1999 ;ZS-OVR Solenta Aviation ;Spirit of Windsor, 552 ;;
; C-FTCP ;ATR 42-300;; 20 Oct 1998 ; Nov 1999 ;C-FTCP First Air ;Spirit of Timmins, 547 ;;
; C-GHCP ;ATR 42-300;; 20 Oct 1998 ; 1999 ;C-GHCP First Air ;Spirit of Sudbury, 553 ;;
; C-GICB ;ATR 42-300; Y46 ; 27 Nov 1998 ; 27 Nov 1999 ;ZS-DHL Rossair ;550, lsd ;;
; C-GICX ;ATR 42-300; Y46 ; 11 Dec 1998 ; 27 Nov 1999 ;F-WQNJ ATRiam Capital ;555, lsd ;;
; C-GIQS ;ATR 42-300;; 19 Jun 1990 ; 7 Jul 1998 ;EI-CPT Italair ;Spirit of Gaspe, 549 ;;
; C-GXCP ;ATR 42-300;; 20 Oct 1998 ; Nov 1999 ;ZS-OSN Rossair ;Spirit of London, 546 ;;
