;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; C-FIQB ;ATR 42-300;; 1 Sep 1989 ; 28 Oct 1989 ;C-FIQB Intair ;514 ;;
; C-FIQN ;ATR 42-300;; 21 Dec 1988 ; 29 Oct 1989 ;C-FIQN Intair ;515, lsd ;;
; C-FIQR ;ATR 42-300;; 11 Apr 1989 ; 29 Oct 1989 ;C-FIQR Intair ;516 ;;
; C-FIQU ;ATR 42-300;; 24 May 1989 ; 29 Oct 1989 ;C-FIQU Intair ;517 ;;
; C-FLCP ;ATR 42-300;; 17 Jul 1989 ; 29 Oct 1989 ;C-FLCP Intair ;201, lsf Ontario Express ;;
; C-GIQD ;ATR 42-300;; 5 Jul 1989 ; 29 Oct 1989 ;C-GIQD Intair ;518 ;;
; C-GIQV ;ATR 42-300;; 10 Sep 1990 ; 4 Apr 2000 ;F-WQNB ATRiam Capital ;Spirit of Sept-Iles, 551 ;;
; C-GITI ;ATR 42-300;; 17 Jul 1990 ; 28 Feb 1997 ;C-FZVZ Avmax Group ;Spirit of Saguenay, 550, lsd ;;
; N303XV ;Boeing 737-230C;; Jul 1988 ; Dec 1990 ;N303XV Wien Air Alaska ;lsd ;;
; N321XV ;Boeing 737-219;; 18 Apr 1988 ; 5 Mar 1989 ;N321XV Olympic Airways ;lsd ;;
; N322XV ;Boeing 737-219;; 28 Apr 1988 ; 12 Mar 1989 ;N322XV Olympic Airways ;lsd ;;
; C-FICB ;Fokker F100;; 11 Jan 1989 ; 28 Oct 1989 ;C-FICB Intair ;500, lsd ;;
; C-FICO ;Fokker F100;; 16 Jan 1989 ; 29 Oct 1989 ;C-FICO Intair ;501, lsd ;;
; C-FICP ;Fokker F100;; 25 Feb 1989 ; 29 Oct 1989 ;C-FICP Intair ;502, lsd ;;
; C-FICQ ;Fokker F100;; 18 Mar 1989 ; 28 Oct 1989 ;C-FICQ Intair ;503, lsd ;;
; C-FICW ;Fokker F100;; 13 May 1989 ; 28 Oct 1989 ;C-FICW Intair ;505, lsd ;;
; C-FICY ;Fokker F100;; 15 Apr 1989 ; 28 Oct 1989 ;C-FICY Intair ;504, lsd ;;
