;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N8031U ;Douglas DC-8-21(F); Cargo ; Jul 1982 ; 1984 ; Scrapped ;;;
; N8240U ;Douglas DC-8-33(F); Cargo ; 23 Oct 1984 ;; Scrapped ;lsf Zantop International Airlines ;;
; N728PL ;Douglas DC-8-62(F); Cargo ; 3 Apr 1986 ; 30 Sep 1988 ;N728PL Air Transport International ;;;
; N729PL ;Douglas DC-8-62(F); Cargo ; Feb 1988 ; 30 Sep 1988 ;N729PL Air Transport International ;lsf Avengair Inc ;;
; N730PL ;Douglas DC-8-62H(F); Cargo ; Apr 1987 ; 30 Sep 1988 ;N730PL Air Transport International ;;;
; N731PL ;Douglas DC-8-62(F); Cargo ; 2 Feb 1988 ; 30 Sep 1988 ;N731PL Air Transport International ;lsf Avengair Inc ;;
; N735PL ;Douglas DC-8-62H(F); Cargo ; 16 Nov 1987 ; 30 Sep 1988 ;N735PL Air Transport International ;;;
; N854U ;Lockheed L-188C(F) Electra; Cargo ; Feb 1984 ; Jul 1984 ;N854U Galaxy Airlines ;;;
; N857U ;Lockheed L-188C(F) Electra; Cargo ; Sep 1984 ; Oct 1987 ;SE-IZU Falcon Air ;lsd ;;
; N860U ;Lockheed L-188C(F) Electra; Cargo ; Apr 1984 ; May 1987 ;N860U TPI International Airways ;lsd ;;
; N864U ;Lockheed L-188C(F) Electra; Cargo ; Sep 1986 ; Jan 1987 ;N864U NWT Air ;lsd ;;
