;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; VP-BKD ;Airbus A319-112; Y156 ; 2 Jun 2021 ;lsd ;; 17 Years ;;
; VQ-BML ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 31 May 2011 ;; Святитель Николай Чудотворец ; 19.8 Years ;;
; RA-89001 ;Sukhoi Superjet 100-95B; C8Y85 ; 19 Jul 2016 ;lsd ; Святой апостол Пётр ; 11.2 Years ;;
; RA-89002 ;Sukhoi Superjet 100-95B;; 10 Jun 2016 ;lsd ; Святой апостол Павел ; 10.6 Years ;;
; RA-89007 ;Sukhoi Superjet 100-95B;; 27 Mar 2019 ; Parked, lsd ;; 10.2 Years ;;
; RA-89008 ;Sukhoi Superjet 100-95B; C8Y85 ; 5 Aug 2016 ; Parked, lsd ; Преподобный Сергий Радонежский ; 10 Years ;;
; RA-89010 ;Sukhoi Superjet 100-95B; C8Y85 ; 1 Jul 2016 ; Parked, lsd ; Святой князь Владимир ; 9.6 Years ;;
; RA-89034 ;Sukhoi Superjet 100-95LR; Y103 ; 4 Aug 2017 ;lsd ; Преподобный Серафим Саровский ; 7.7 Years ;;
; RA-89074 ;Sukhoi Superjet 100-95B;; 25 Oct 2018 ; Parked ;; 9.2 Years ;;
; RA-89075 ;Sukhoi Superjet 100-95LR; Y100 ; 3 Apr 2017 ;lsd ; Святая Матрона Московская ; 5.2 Years ;;
; RA-89076 ;Sukhoi Superjet 100-95LR; Y100 ; 27 Apr 2017 ;; Святой Благоверный Князь Александр Невский ; 5.2 Years ;;
; RA-89077 ;Sukhoi Superjet 100-95LR; Y100 ; 4 May 2017 ;; Святитель Спиридон Тримифунтский ; 5 Years ;;
; RA-89078 ;Sukhoi Superjet 100-95LR; Y100 ; 26 Jun 2017 ; Parked ; Святая Ксения Петербургская ; 5 Years ;;
