;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; EP-MDM ;Airbus A300B4-605R;; 5 Jul 2020 ;; 25.3 Years ;;
; EP-MDN ;Airbus A300B4-605R;; 26 Nov 2019 ;; 28.8 Years ;;
; EP-MDU ;Airbus A300B4-605R;; Apr 2021 ;; 30.9 Years ;;
; EP-MNI ;Airbus A300B4-603;; 19 Apr 2020 ;; 35 Years ;;
; EP-MDK ;Airbus A310-325;; Jun 2020 ;; 30.1 Years ;;
; EP-MDL ;Airbus A310-325;; Jun 2020 ;; 30 Years ;;
; EP-TTA ;Airbus A320-231; Y180 ; 23 Jul 2018 ; Parked THR ; 29.2 Years ;;
; EP-TTB ;Airbus A320-231; Y180 ; Due ; Stored ; 30 Years ;;
; EP-TTC ;Airbus A320-231; Y180 ; Due ; Stored ; 29.4 Years ;;
; EP-MDC ;McDonnell Douglas MD-82 (DC-9-82);; Mar 2013 ;; 31.1 Years ;;
; EP-MDD ;McDonnell Douglas MD-82 (DC-9-82);; Jan 2012 ;; 29.6 Years ;;
; EP-MDE ;McDonnell Douglas MD-82 (DC-9-82);; Dec 2011 ;; 31.2 Years ;;
; EP-MDG ;McDonnell Douglas MD-82 (DC-9-82);; 4 Oct 2014 ;; 27 Years ;;
; EP-MDF ;McDonnell Douglas MD-83 (DC-9-83);; 5 Sep 2014 ;; 27.6 Years ;;
