;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; HR-ARM ;ATR 42-300;; 1 Dec 1998 ; 23 Oct 2001 ;VT-ABB Alliance Air ;lsd ;;
; HR-ARN ;ATR 42-300;; Jan 1999 ; 1 Aug 2001 ;F-WQNK ATRiam Capital ;lsd ;;
; HR-ARO ;ATR 42-300;; Feb 1999 ; 10 Oct 2006 ;N38AN Southern Aircraft Consultancy ;;;
; HR-ARY ;ATR 42-300; Y48 ; 20 Dec 1999 ; 24 Aug 2012 ;HR-ARY TACA Regional ;lsd ;;
; HR-AUX ;ATR 42-300;; 24 Apr 2008 ; 28 May 2013 ;HR-AUX Avianca Honduras ;;;
; HR-AVA ;ATR 42-320;; 31 Jul 2008 ; 28 May 2013 ;HR-AVA Avianca Honduras ;;;
; HR-AXA ;ATR 42-320;; 16 Aug 2011 ; 28 May 2013 ;HR-AXA Avianca Honduras ;lsd ;;
; HR-AXH ;ATR 42-320;; 11 Nov 2011 ; 28 May 2013 ;HR-AXH Avianca Honduras ;lsd ;;
; HR-AXN ;ATR 42-320;; 9 Feb 2012 ; 28 May 2013 ;HR-AXN Avianca Honduras ;lsd ;;
; HR-IAY ;ATR 42-300;; 29 Apr 1997 ; Jan 2010 ;HP-1679APP Aeroperlas ;lsd ;;
; TG-AFA ;ATR 42-320;; 3 Dec 1998 ; 22 Aug 1999 ;PH-XLI Air Exel Netherlands ;lsd ;;
; TG-AGA ;ATR 42-320;; 3 Dec 1998 ; 7 Nov 1999 ;PH-XLK Air Exel Netherlands ;lsd ;;
; TG-IAX ;ATR 42-300;; 25 Feb 2006 ; 9 Feb 2007 ;HP-004APP Aeroperlas ;;;
