;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; YU-ALK ;ATR 42-300; Y46 ; 3 Jul 1987 ; Oct 1990 ;OY-CIG DLT ;;;
; YU-ALL ;ATR 42-300; Y46 ; 17 Jun 1987 ; 9 Oct 1990 ;OY-CIF Cimber Air ;;;
; YU-ALM ;ATR 42-300;; 21 May 1988 ; 17 Jul 1990 ;F-GHPZ Brit Air ;lsd ;;
; YU-ALN ;ATR 72-202;; 13 Jul 1990 ; 8 Aug 2003 ;YU-ALN JAT Airways ;;;
; YU-ALO ;ATR 72-202;; Jan 2001 ; 8 Aug 2003 ;YU-ALO JAT Airways ;;;
; YU-ALP ;ATR 72-202;; 28 Jan 1991 ; Jun 1999 ;YU-ALP Air Srpska ;;;
; YU-AND ;Boeing 737-3H9;; 17 Apr 2000 ; Mar 2003 ;YU-AND JAT Airways ;;;
; YU-ANF ;Boeing 737-3H9;; 15 Aug 1985 ; Mar 2003 ;YU-ANF JAT Airways ;;;
; YU-ANH ;Boeing 737-3H9;; 2 Apr 2000 ; Mar 2003 ;YU-ANH JAT Airways ;;;
; YU-ANI ;Boeing 737-3H9;; 13 Feb 1998 ; 29 May 1998 ;YU-ANI Tunisair ;;;
; YU-ANJ ;Boeing 737-3H9;; 26 Jul 2001 ; Mar 2003 ;YU-ANJ JAT Airways ;;;
; YU-ANK ;Boeing 737-3H9;; Jun 1996 ; Mar 2003 ;YU-ANK JAT Airways ;;;
; YU-ANL ;Boeing 737-3H9;; 4 May 1996 ; 31 Jan 1997 ;YU-ANL Cameroon Airlines ;;;
; YU-ANV ;Boeing 737-3H9;; 2 Nov 2001 ; Mar 2003 ;YU-ANV JAT Airways ;;;
; YU-ANW ;Boeing 737-3H9;; Jan 2001 ; 8 Aug 2003 ;YU-ANW JAT Airways ;;;
; YU-AON ;Boeing 737-3Q4;; 7 Jul 2002 ; Mar 2003 ;YU-AON JAT Airways ;;;
; YU-AOO ;Boeing 737-4Q8;; 20 Dec 2002 ; 13 Mar 2003 ;N240LF ILFC ;lsd ;;
; OH-LHA ;McDonnell Douglas DC-10-30;; 16 Apr 1987 ; 31 Oct 1988 ;OH-LHA Finnair ;lsf Finnair ;;
; OO-SLA ;McDonnell Douglas DC-10-30CF; Cargo ; 12 Jun 1987 ; 23 Oct 1989 ;OO-SLA Sabena ;;;
; TU-TAL ;McDonnell Douglas DC-10-30;; 6 Feb 1985 ; 13 Nov 1986 ;TU-TAL Air Afrique ;lsf Air Afrique ;;
; YU-AMA ;McDonnell Douglas DC-10-30;; 8 Dec 1978 ; 2 Aug 1992 ;F-GNBB Intercredit Corporation (ICC) ;Nikola Tesla ;;
; YU-AMB ;McDonnell Douglas DC-10-30;; 14 May 1979 ;; Scrapped ;City of Belgrade ;;
; YU-AMC ;McDonnell Douglas DC-10-30;; 1 May 1988 ; Jan 1993 ;VR-BMP Electra Aviation ;lsd ;;
; YU-AMD ;McDonnell Douglas DC-10-30;; 1 Jun 1989 ; 27 Nov 1991 ;N821CC Intercredit Corporation (ICC) ;lsd ;;
; I-DIKY ;McDonnell Douglas DC-9-32;; Apr 1969 ; 25 May 1970 ;I-DIKY Alitalia ;lsf Alitalia ;;
; YU-AHL ;McDonnell Douglas DC-9-32;; 8 May 1970 ; 27 Sep 1988 ;N926NW Northwest Airlines ;;;
; YU-AHM ;McDonnell Douglas DC-9-32;; 13 May 1970 ; 22 Dec 1985 ;N927RC Corsair Inc ;Tivat ;;
; YU-AHN ;McDonnell Douglas DC-9-32;; 15 May 1970 ; 31 May 1992 ; Scrapped ;;;
; YU-AHO ;McDonnell Douglas DC-9-32;; 8 Jun 1970 ; 5 Oct 1987 ;N925US Northwest Airlines ;;;
; YU-AHP ;McDonnell Douglas DC-9-32;; 18 Jun 1970 ; 17 Nov 1985 ;N926RC Corsair Inc ;;;
; YU-AHT ;McDonnell Douglas DC-9-32;; 2 Feb 1971 ; 26 Jan 1972 ; Written Off ;;;
; YU-AHU ;McDonnell Douglas DC-9-32;; 7 May 1971 ; 31 May 1992 ; Scrapped ;;;
; YU-AHV ;McDonnell Douglas DC-9-32;; 14 May 1971 ; 31 May 1992 ; Scrapped ;;;
; YU-AJH ;McDonnell Douglas DC-9-32;; Apr 1998 ; Apr 2001 ;YU-AJH Bellview Airlines ;;;
; YU-AJI ;McDonnell Douglas DC-9-32;; 30 Apr 1988 ; Dec 1997 ;YU-AJI Tuninter ;;;
; YU-AJJ ;McDonnell Douglas DC-9-32;; Jun 2001 ; 8 Aug 2003 ;YU-AJJ JAT Airways ;;;
; YU-AJK ;McDonnell Douglas DC-9-32;; May 2000 ; 19 Dec 2000 ;YU-AJK Bellview Airlines ;;;
; YU-AJL ;McDonnell Douglas DC-9-32;; Jun 2001 ; 1 Jun 2003 ;YU-AJL Albanian Airlines ;;;
; YU-AJM ;McDonnell Douglas DC-9-32;; 28 Jun 2000 ; 8 Aug 2003 ;YU-AJM JAT Airways ;;;
; YU-AJN ;McDonnell Douglas DC-9-32;; 15 Apr 1974 ; 23 Nov 1974 ; Written Off ;lsf Inex-Adria Airways ;;
; YR-BRA ;ROMBAC 1-11-561RC One-Eleven;; 1 Apr 1990 ; 30 Apr 1991 ;YR-BRA TAROM ;lsf TAROM ;;
