;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; JA01XJ ;Airbus A350-941; F12C94Y263 ; 11 Jun 2019 ;Airbus A350 (Red) cs ; 2.8 Years ;;
; JA02XJ ;Airbus A350-941; F12C94Y263 ; 28 Aug 2019 ;Airbus A350 (Silver) cs ; 2.6 Years ;;
; JA03XJ ;Airbus A350-941; F12C94Y263 ; 19 Sep 2019 ;Airbus A350 (Green) cs ; 2.5 Years ;;
; JA04XJ ;Airbus A350-941; F12C94Y263 ; 24 Oct 2019 ;; 2.5 Years ;;
; JA05XJ ;Airbus A350-941; F12C94Y263 ; 10 Dec 2019 ;; 2.3 Years ;;
; JA06XJ ;Airbus A350-941; F12C94Y263 ; 20 Apr 2020 ;Olympic Games Tokyo 2020 cs ; 2 Years ;;
; JA07XJ ;Airbus A350-941; F12C94Y263 ; 30 Nov 2020 ;; 1.4 Years ;;
; JA08XJ ;Airbus A350-941; F12C94Y263 ; 21 Dec 2020 ;; 1.3 Years ;;
; JA09XJ ;Airbus A350-941; F12C94Y263 ; 14 Jun 2021 ;; 0.9 Years ;;
; JA10XJ ;Airbus A350-941; F12C94Y263 ; 17 Aug 2021 ;; 0.6 Years ;;
; JA11XJ ;Airbus A350-941; F12C94Y263 ; 9 Sep 2021 ;; 0.6 Years ;;
; JA12XJ ;Airbus A350-941; F12C94Y263 ; 28 Sep 2021 ;; 0.6 Years ;;
; JA13XJ ;Airbus A350-941; F12C94Y263 ; 10 Nov 2021 ;; 0.4 Years ;;
; JA14XJ ;Airbus A350-941; F12C94Y263 ; 16 Dec 2021 ;; 0.3 Years ;;
; JA15XJ ;Airbus A350-941; F12C94Y263 ; 16 Feb 2022 ;oneworld cs ; 0.1 Years ;;
; JA301J ;Boeing 737-846(WL); C20Y145 ; 1 Oct 2014 ;; 15.3 Years ;;
; JA302J ;Boeing 737-846(WL); C20Y145 ; 1 Oct 2014 ;; 15.1 Years ;;
; JA303J ;Boeing 737-846(WL); C12Y132 ; 11 Apr 2007 ;; 14.9 Years ;;
; JA304J ;Boeing 737-846(WL); C12Y132 ; 7 May 2007 ;; 14.8 Years ;;
