;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N10028 ;McDonnell Douglas MD-81 (DC-9-81);; 9 Dec 1982 ; 10 Sep 1983 ;N10028 Midway Airlines ;;;
; N1004L ;McDonnell Douglas MD-82 (DC-9-82);; 26 Aug 1983 ; 23 Jan 1985 ;N314RC Republic Airlines ;;;
; N778JA ;McDonnell Douglas MD-82 (DC-9-82);; 13 Nov 1981 ; 1 Oct 1987 ;N778JA Alaska Airlines ;Spirit of Jet America, 778 ;;
; N779JA ;McDonnell Douglas MD-82 (DC-9-82);; 13 Nov 1981 ; 1 Oct 1987 ;N779JA Alaska Airlines ;Spirit of Jet America ;;
; N780JA ;McDonnell Douglas MD-82 (DC-9-82);; 7 Dec 1984 ; 1 Oct 1987 ;N780JA Alaska Airlines ;;;
; N781JA ;McDonnell Douglas MD-82 (DC-9-82);; May 1984 ; 1 Oct 1987 ;N781JA Alaska Airlines ;781 ;;
; N782JA ;McDonnell Douglas MD-82 (DC-9-82);; 4 Jun 1984 ; 1 Oct 1987 ;N782JA Alaska Airlines ;;;
; N783JA ;McDonnell Douglas MD-82 (DC-9-82);; 4 Jun 1984 ; 1 Oct 1987 ;N783JA Alaska Airlines ;;;
; N784JA ;McDonnell Douglas MD-82 (DC-9-82);; 2 Dec 1986 ; 1 Oct 1987 ;N784JA Alaska Airlines ;784 ;;
; N785JA ;McDonnell Douglas MD-82 (DC-9-82);; 2 Dec 1986 ; 1 Oct 1987 ;N785JA Alaska Airlines ;785 ;;
