;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; G-HLYA ;Airbus A321-211(WL); Y220 ; 26 Nov 2021 ;lsd ;; 7.9 Years ;;
; G-HLYB ;Airbus A321-211(WL); Y220 ; 6 Dec 2021 ;lsd ;; 7.9 Years ;;
; G-HLYF ;Airbus A321-211(WL); Y220 ; 3 Feb 2020 ;lsd ;; 6.7 Years ;;
; G-GDFG ;Boeing 737-36Q(WL); Y148 ; 16 Mar 2012 ; Parked ; Jet2 Budapest ; 25 Years ;;
; G-GDFK ;Boeing 737-36N(WL); Y148 ; 16 Mar 2012 ;;; 23.8 Years ;;
; G-GDFL ;Boeing 737-36N(WL); Y148 ; 22 Jun 2012 ;;; 24.1 Years ;;
; G-GDFM ;Boeing 737-36N(WL); Y148 ; 5 Feb 2013 ; Parked LEI ;; 23.2 Years ;;
; G-GDFN ;Boeing 737-33V(WL); Y148 ; 9 Apr 2013 ; Parked LEI ;; 23.5 Years ;;
; G-GDFO ;Boeing 737-3U3(WL); Y148 ; 6 Feb 2013 ; Parked LEI ;; 24 Years ;;
; G-GDFT ;Boeing 737-36Q(WL); Y148 ; 16 May 2013 ; Parked LEI ; Jet2 Murcia ; 23.8 Years ;;
; G-DRTA ;Boeing 737-85P(WL); Y189 ; 10 Mar 2017 ;;; 17.4 Years ;;
; G-DRTB ;Boeing 737-86N(WL); Y189 ; 23 Jun 2017 ;;; 22.2 Years ;;
; G-DRTC ;Boeing 737-808(WL); Y189 ; 29 May 2018 ;;; 15.9 Years ;;
; G-DRTD ;Boeing 737-808(WL); Y189 ; 21 May 2018 ;;; 15.8 Years ;;
; G-DRTE ;Boeing 737-8K5(WL); Y189 ; 16 Jul 2018 ;; Jet2 Croatia ; 22.1 Years ;;
; G-DRTF ;Boeing 737-85P(WL); Y189 ; 9 Jul 2018 ;; Jet2 Madeira ; 21.9 Years ;;
; G-DRTG ;Boeing 737-8BK(WL); Y189 ; 19 Dec 2018 ;lsd ;; 15.3 Years ;;
; G-DRTH ;Boeing 737-8BK(WL); Y189 ; 21 Jan 2019 ;lsd ;; 15.3 Years ;;
; G-DRTI ;Boeing 737-8FH(WL); Y189 ; 23 May 2019 ;; Jet2 Izmir ; 17.1 Years ;;
; G-DRTJ ;Boeing 737-86N(WL); Y189 ; 30 Sep 2021 ; Parked, lsd ;; 12.8 Years ;;
; G-DRTL ;Boeing 737-8AL(WL); Y189 ; 10 Jan 2020 ;lsd ;; 8.8 Years ;;
; G-DRTM ;Boeing 737-85P(WL); Y189 ; 19 Nov 2019 ;;; 14.8 Years ;;
; G-DRTN ;Boeing 737-86N(WL); Y189 ; 28 Sep 2018 ;; Jet2 Pisa ; 19.9 Years ;;
; G-DRTO ;Boeing 737-8JP(WL); Y189 ; 31 May 2019 ;lsd ;; 11.5 Years ;;
; G-DRTP ;Boeing 737-8AL(WL); Y189 ; 28 Jun 2021 ;lsd ;; 8.5 Years ;;
; G-DRTR ;Boeing 737-86N(WL); Y189 ; 1 Nov 2019 ;; Jet2 Chania ; 15.4 Years ;;
