;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;
; N3008J ;Airbus A220-300; Y140 ; 31 Dec 2020 ;"Hops" tail ; 3008 ; Rob Dewar ; 1.2 Years ;;
; N3023J ;Airbus A220-300; Y140 ; 28 Apr 2021 ;"Hops" tail ; 3023 ; Frank Sica ; 0.9 Years ;;
; N3044J ;Airbus A220-300; Y140 ; 21 May 2021 ;"Hops" tail ; 3044 ; Dawning of a Blue Era ; 0.8 Years ;;
; N3058J ;Airbus A220-300; Y140 ; 20 Jul 2021 ;"Hops" tail ; 3058 ; Making My Big DeBlue ; 0.7 Years ;;
; N3062J ;Airbus A220-300; Y140 ; 4 Aug 2021 ;"Hops" tail ; 3062 ; Boogie Woogie Bluegle Boy ; 0.6 Years ;;
; N3065J ;Airbus A220-300; Y140 ; 23 Aug 2021 ;"Hops" tail ; 3065 ; Blue Plane Special ; 0.6 Years ;;
; N3077J ;Airbus A220-300; Y140 ; 28 Oct 2021 ;"Hops" tail ; 3077 ; On Wednesdays We Wear Blue ; 0.4 Years ;;
; N3085J ;Airbus A220-300; Y140 ; 23 Nov 2021 ;"Hops" tail ; 3085 ; Blue Ya Gonna Call? ; 0.3 Years ;;
; N3102J ;Airbus A220-300; Y140 ; On Order ;"Hops" tail ; 3102 ;;;;
; N3104J ;Airbus A220-300; Y140 ; On Order ;"Hops" tail ; 3104 ;;;;
; N3112J ;Airbus A220-300; Y140 ; On Order ;"Hops" tail ; 3112 ;;;;
; N503JB ;Airbus A320-232; Y150 ; 1 Dec 1999 ;"Blueberries" tail ; 503 ; Bluebird ; 22.4 Years ;;
; N504JB ;Airbus A320-232; Y162 ; 28 Jan 2000 ;"Blueberries" tail ; 504 ; Shades of Blue ; 22.2 Years ;;
; N505JB ;Airbus A320-232; Y150 ; 6 Mar 2000 ;"Tartan" tail ; 505 ; Blue Skies ; 22.1 Years ;;
; N506JB ;Airbus A320-232; Y162 ; 7 Jun 2000 ;"Blueberries" tail ; 506 ; Wild Blue Yonder ; 21.8 Years ;;
; N507JT ;Airbus A320-232; Y162 ; 13 Nov 2010 ;"Highrise" tail ; 507 ; Chicken Cordon Blue ; 21.8 Years ;;
