;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; VT-JCX ;ATR 72-600 (72-212A); Y68 ; 30 Nov 2012 ; 7 Jun 2019 ;EI-GIV GECAS ;lsd ;;
; VT-JCY ;ATR 72-600 (72-212A); Y68 ; 31 Dec 2012 ; 20 Feb 2019 ;EI-GIW GECAS ;lsd ;;
; VT-JCZ ;ATR 72-600 (72-212A); Y68 ; 8 Mar 2013 ; 20 Feb 2019 ;EI-GIX GECAS ;lsd ;;
; VT-JDC ;ATR 72-500 (72-212A); Y66 ; 12 Feb 2013 ; 2015 ;VT-JDC Jet Airways ;lsd ;;
; VT-JDD ;ATR 72-500 (72-212A); Y66 ; 5 Mar 2013 ; Mar 2015 ;VT-JDD Jet Airways ;lsd ;;
; VT-JLA ;Boeing 737-7Q8;; 25 Mar 2012 ; 28 Dec 2014 ;N330AR AerCap ;lsd ;;
; VT-JLB ;Boeing 737-7Q8; Y144 ; 25 Mar 2012 ; 1 Apr 2018 ; Scrapped ;lsd ;;
; VT-JLC ;Boeing 737-71Q; Y149 ; 25 Mar 2012 ; 10 Jun 2013 ;N943JL Guggenheim Aviation Partners ;lsd ;;
; VT-JLD ;Boeing 737-71Q; Y149 ; 25 Mar 2012 ; 10 Jun 2013 ;N944JL Guggenheim Aviation Partners ;lsd ;;
; VT-JLG ;Boeing 737-73V; Y149 ; 25 Mar 2012 ; 5 Aug 2014 ;HL8022 Eastar Jet ;lsd ;;
; VT-SIU ;Boeing 737-7K9; Y149 ; 25 Mar 2012 ; Jul 2012 ; Scrapped ;lsd ;;
; VT-SIV ;Boeing 737-7K9; Y149 ; 25 Mar 2012 ; 18 Oct 2012 ; Scrapped ;lsd ;;
; VT-SIZ ;Boeing 737-7BK; C8Y126 ; 25 Mar 2012 ; 21 Mar 2019 ;VT-SYO SpiceJet ;lsd ;;
; VT-SJA ;Boeing 737-7BK; C8Y126 ; 25 Mar 2012 ; 20 Mar 2019 ;OE-IBU Avolon ;lsd ;;
; VT-JGJ ;Boeing 737-83N(WL); C12Y156 ; Aug 2009 ; 3 Feb 2019 ;OE-IBT GECAS ;lsd ;;
; VT-JLE ;Boeing 737-8AS(WL); C12Y156 ; 25 Mar 2012 ; 29 Mar 2019 ;VT-SYI SpiceJet ;lsd ;;
; VT-JLF ;Boeing 737-8AS(WL); C12Y156 ; 25 Mar 2012 ; 29 Mar 2019 ;VT-SYJ SpiceJet ;lsd ;;
; VT-SJG ;Boeing 737-8Q8(WL); Y186 ; 25 Mar 2012 ; 15 Dec 2013 ;HL8295 Jeju Air ;lsd ;;
; VT-SJH ;Boeing 737-8Q8(WL); Y186 ; 25 Mar 2012 ; 4 Apr 2014 ;HL8296 Jeju Air ;lsd ;;
; VT-SJI ;Boeing 737-8K9; C12Y156 ; 25 Mar 2012 ; 17 Apr 2019 ;2-TWCA TWC Aviation Capital ;lsd ;;
; VT-SJJ ;Boeing 737-8K9; C12Y156 ; 25 Mar 2012 ; 18 Mar 2019 ;2-TWCB TWC Aviation Capital ;lsd ;;
; VT-JLH ;Boeing 737-96NER(WL); Y202 ; 25 Mar 2012 ; 23 Jun 2015 ;VT-JLH Jet Airways ;lsd ;;
; VT-JLJ ;Boeing 737-96NER(WL); Y202 ; 25 Mar 2012 ; 27 Apr 2014 ;VT-JLJ Jet Airways ;lsd ;;
