;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B-1268 ;Boeing 737-85C(WL); Y184 ; 13 Apr 2018 ;lsd ; 3.9 Years ;;
; B-1269 ;Boeing 737-85C(WL); Y184 ; 6 Jul 2018 ;lsd ; 3.7 Years ;;
; B-1270 ;Boeing 737-85C(WL); Y184 ; 6 Sep 2018 ;lsd ; 3.6 Years ;;
; B-1326 ;Boeing 737-85C(WL); Y184 ; 19 Oct 2017 ;lsd ; 4.4 Years ;;
; B-1327 ;Boeing 737-85C(WL); Y184 ; 11 Dec 2017 ;lsd ; 4.3 Years ;;
; B-1557 ;Boeing 737-85C(WL); Y184 ; 30 Aug 2016 ;; 5.6 Years ;;
; B-1558 ;Boeing 737-85C(WL); Y184 ; 27 Dec 2016 ;; 5.2 Years ;;
; B-5511 ;Boeing 737-85C(WL); C8Y162 ; 18 Dec 2015 ;; 11.9 Years ;;
; B-5512 ;Boeing 737-85C(WL); C8Y162 ; 17 Jan 2016 ;; 11.9 Years ;;
; B-5566 ;Boeing 737-85C(WL); C8Y162 ; 24 Mar 2016 ;; 11 Years ;;
; B-605T ;COMAC ARJ21-700; Y90 ; 10 Jun 2020 ;lsd, "Ceramic Art Avenue, City of Jingdezhen (景德镇陶溪川)" sticker ; 1.9 Years ;;
; B-605V ;COMAC ARJ21-700; Y90 ; 19 Jan 2020 ;Jinggang Mountains (井冈山号) cs ; 2.3 Years ;;
; B-620H ;COMAC ARJ21-700; Y90 ; 19 Nov 2020 ;lsd, "Yichun (宜春)" sticker ; 1.3 Years ;;
; B-650U ;COMAC ARJ21-700; Y90 ; 3 Mar 2021 ;lsd, "Fuzhou, Jiangxi - Hometown of Tang Xianzu (抚州汤显祖)" sticker ; 1.1 Years ;;
; B-650X ;COMAC ARJ21-700; Y90 ; 25 Aug 2021 ;lsd ; 0.7 Years ;;
