;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-UKFA ;Fokker F100; CY103 ; 30 Mar 2003 ; 19 Aug 2003 ;G-UKFA KLM Cityhopper ;;;
; G-UKFB ;Fokker F100; CY103 ; 30 Mar 2003 ; 1 Sep 2003 ;G-UKFB KLM Cityhopper ;;;
; G-UKFC ;Fokker F100; CY103 ; 30 Mar 2003 ; 22 Aug 2003 ;G-UKFC KLM Cityhopper ;;;
; G-UKFD ;Fokker F100; CY103 ; 30 Mar 2003 ; 1 Sep 2003 ;G-UKFD KLM Cityhopper ;;;
; G-UKFE ;Fokker F100; CY103 ; 30 Mar 2003 ; 26 Aug 2003 ;G-UKFE KLM Cityhopper ;;;
; G-UKFF ;Fokker F100; CY103 ; 30 Mar 2003 ; 22 Sep 2003 ;G-UKFF KLM Cityhopper ;;;
; G-UKFG ;Fokker F100; CY103 ; 30 Mar 2003 ; 8 Sep 2003 ;G-UKFG KLM Cityhopper ;;;
; G-UKFH ;Fokker F100; CY103 ; 30 Mar 2003 ; 28 Aug 2003 ;G-UKFH KLM Cityhopper ;;;
; G-UKFI ;Fokker F100; CY103 ; 30 Mar 2003 ; 3 Sep 2003 ;G-UKFI KLM Cityhopper ;;;
; G-UKFJ ;Fokker F100; CY103 ; 30 Mar 2003 ; 18 Aug 2003 ;G-UKFJ KLM Cityhopper ;;;
; G-UKFK ;Fokker F100; CY103 ; 30 Mar 2003 ; 15 Sep 2003 ;G-UKFK KLM Cityhopper ;lsd ;;
; G-UKFM ;Fokker F100; CY103 ; 30 Mar 2003 ; 22 Sep 2003 ;G-UKFM KLM Cityhopper ;;;
; G-UKFN ;Fokker F100; CY103 ; 30 Mar 2003 ; 11 Sep 2003 ;G-UKFN KLM Cityhopper ;;;
; G-UKFO ;Fokker F100; CY103 ; 30 Mar 2003 ; 8 Sep 2003 ;G-UKFO KLM Cityhopper ;;;
; G-UKFR ;Fokker F100; CY103 ; 30 Mar 2003 ; 26 Aug 2003 ;G-UKFR KLM Cityhopper ;;;
; G-UKTC ;Fokker F50; CY50 ; 30 Mar 2003 ; 2 Jul 2003 ;G-UKTC KLM Cityhopper ;;;
; G-UKTE ;Fokker F50; CY50 ; 30 Mar 2003 ; 9 Jul 2003 ;G-UKTE KLM Cityhopper ;;;
; G-UKTF ;Fokker F50; CY50 ; 30 Mar 2003 ; 4 Jul 2003 ;G-UKTF KLM Cityhopper ;;;
; G-UKTG ;Fokker F50; CY50 ; 30 Mar 2003 ; 30 Jun 2003 ;G-UKTG KLM Cityhopper ;;;
; G-UKTH ;Fokker F50; CY50 ; 30 Mar 2003 ; 4 Jul 2003 ;G-UKTH KLM Cityhopper ;;;
; G-UKTI ;Fokker F50; CY50 ; 30 Mar 2003 ; 7 Jul 2003 ;G-UKTI KLM Cityhopper ;;;
