;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-WFEP ;ATR 42-300; Y48 ; 21 May 1998 ; 22 Apr 1999 ;F-WQNP ATRiam Capital ;opby Gill Airways ;;
; G-UKTJ ;ATR 72-202; Y66 ; 31 Jul 2002 ; 20 Dec 2002 ;F-OHFQ Air Italica ;lsd ;;
; G-UKTK ;ATR 72-202(QC); Y66 ; 11 Feb 2000 ; Oct 2002 ;VN-B248 Vietnam Airlines ;lsd ;;
; G-UKTL ;ATR 72-202; Y66 ; 11 Feb 2000 ; 25 Oct 2000 ;VN-B246 Vietnam Airlines ;lsd ;;
; G-UKTM ;ATR 72-202; Y66 ; 31 Oct 2001 ; 5 Sep 2002 ;F-WQNK ATRiam Capital ;lsd ;;
; G-UKTN ;ATR 72-202; Y66 ; 4 Jun 1998 ; Oct 2001 ;F-WQNL ATRiam Capital ;lsd ;;
; G-BZZA ;Boeing 737-3L9; Y148 ; 27 Jan 2000 ; 30 Mar 2003 ;G-BZZA Buzz ;lsd ;;
; G-BZZB ;Boeing 737-3L9; Y148 ; 27 Jan 2000 ; 5 Mar 2003 ;G-BZZB Buzz ;lsd ;;
; G-BZZE ;Boeing 737-3Q8; Y148 ; 13 Dec 2002 ; 30 Mar 2003 ;G-BZZE Buzz ;lsd ;;
; G-BZZF ;Boeing 737-3Q8; Y148 ; 28 Jan 2003 ; 30 Mar 2003 ;G-BZZF Buzz ;lsd ;;
; G-BZZG ;Boeing 737-3Q8; Y148 ; 4 Mar 2003 ; 30 Mar 2003 ;G-BZZG Buzz ;lsd ;;
; G-BZZH ;Boeing 737-3Q8; Y148 ; 18 Mar 2003 ; 30 Mar 2003 ;G-BZZH Buzz ;lsd ;;
; G-BZZI ;Boeing 737-3Q8; Y148 ; 27 Mar 2003 ; 30 Mar 2003 ;G-BZZI Buzz ;lsd ;;
; G-BZZJ ;Boeing 737-3Q8; Y148 ; 11 Feb 2003 ; 30 Mar 2003 ;G-BZZJ Buzz ;lsd ;;
; G-UKJF ;British Aerospace 146-100; CY76 ; 30 Jan 1998 ; 30 Jun 1998 ;D-AWDL WDL Aviation ;;;
; EI-CMS ;British Aerospace 146-200A; Y93 ; 15 Dec 1998 ; 28 Apr 1999 ;EI-CMS Cityjet ;lsf Cityjet ;;
; G-BSNR ;British Aerospace 146-300A; Y110 ; 30 Jan 1998 ; 30 Mar 2003 ;G-BSNR Buzz ;lsd ;;
; G-BSNS ;British Aerospace 146-300; Y110 ; 30 Jan 1998 ; 11 Mar 2000 ;G-BSNS BAE Systems Asset Management ;lsd ;;
; G-BTTP ;British Aerospace 146-300; Y110 ; 30 Jan 1998 ; 30 Mar 2003 ;G-BTTP Buzz ;lsd ;;
; G-BUHC ;British Aerospace 146-300; Y110 ; 30 Jan 1998 ; 18 Feb 2000 ;EI-CTO Aer Lingus Commuter ;lsd ;;
; G-UKAC ;British Aerospace 146-300; Y110 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKAC Buzz ;lsd ;;
; G-UKAG ;British Aerospace 146-300; Y110 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKAG Buzz ;lsd ;;
; G-UKHP ;British Aerospace 146-300; Y110 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKHP Buzz ;lsd ;;
; G-UKID ;British Aerospace 146-300; Y110 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKID Buzz ;;;
; G-UKRC ;British Aerospace 146-300; Y110 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKRC Buzz ;lsd ;;
; G-UKSC ;British Aerospace 146-300; Y110 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKSC Buzz ;lsd ;;
; G-UKFA ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFA KLM cityhopper uk ;;;
; G-UKFB ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFB KLM cityhopper uk ;;;
; G-UKFC ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFC KLM cityhopper uk ;;;
; G-UKFD ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFD KLM cityhopper uk ;;;
; G-UKFE ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFE KLM cityhopper uk ;;;
; G-UKFF ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFF KLM cityhopper uk ;;;
; G-UKFG ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFG KLM cityhopper uk ;;;
; G-UKFH ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFH KLM cityhopper uk ;;;
; G-UKFI ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFI KLM cityhopper uk ;;;
; G-UKFJ ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFJ KLM cityhopper uk ;;;
; G-UKFK ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFK KLM cityhopper uk ;lsd ;;
; G-UKFL ;Fokker F100; CY103 ; 30 Jan 1998 ; 22 Apr 2001 ;YU-AOL Montenegro Airlines ;;;
; G-UKFM ;Fokker F100; CY103 ; 27 Oct 1998 ; 30 Mar 2003 ;G-UKFM KLM cityhopper uk ;;;
; G-UKFN ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFN KLM cityhopper uk ;;;
; G-UKFO ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFO KLM cityhopper uk ;;;
; G-UKFP ;Fokker F100; CY103 ; 27 Oct 1998 ; 14 Jun 2000 ;YU-AOK Montenegro Airlines ;;;
; G-UKFR ;Fokker F100; CY103 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKFR KLM cityhopper uk ;;;
; G-UKTA ;Fokker F50; CY50 ; 30 Jan 1998 ; 6 Jan 2002 ;ST-ASJ Sudan Airways ;;;
; G-UKTB ;Fokker F50; CY50 ; 30 Jan 1998 ; May 2002 ;ST-ASI Sudan Airways ;;;
; G-UKTC ;Fokker F50; CY50 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKTC KLM cityhopper uk ;;;
; G-UKTD ;Fokker F50; CY50 ; 30 Jan 1998 ; Jun 2002 ;ST-ASO Sudan Airways ;;;
; G-UKTE ;Fokker F50; CY50 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKTE KLM cityhopper uk ;;;
; G-UKTF ;Fokker F50; CY50 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKTF KLM cityhopper uk ;;;
; G-UKTG ;Fokker F50; CY50 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKTG KLM cityhopper uk ;;;
; G-UKTH ;Fokker F50; CY50 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKTH KLM cityhopper uk ;;;
; G-UKTI ;Fokker F50; CY50 ; 30 Jan 1998 ; 30 Mar 2003 ;G-UKTI KLM cityhopper uk ;;;
