;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; VH-KJF ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 13 Aug 1999 ; 17 Jul 2002 ;C-FZTU Avionco ;City of Launceston ;;
; VH-KJG ;Bombardier CRJ-200ER (CL-600-2B19);; 18 Dec 1999 ; 12 Jul 2002 ;C-FZTZ Anst Lednek Airlines ;;;
; VH-KJJ ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 8 Dec 1999 ; 13 Sep 2001 ;C-FZTW Avionco ;;;
; VH-KJN ;Bombardier CRJ-200ER (CL-600-2B19);; 12 Jan 2000 ; 14 Sep 2001 ;C-FZTY Anst Lednek Airlines ;City of Canberra ;;
; VH-KJQ ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 25 Feb 2000 ; 13 Sep 2001 ;C-FZTT Avionco ;City of Brisbane ;;
; VH-KJS ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 2 Jun 2000 ; 13 Sep 2001 ;C-FZTH Avionco ;City of Rockhampton ;;
; VH-KJU ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 16 Jun 2000 ; 13 Sep 2001 ;C-FZSZ Avionco ;City of Adelaide ;;
; VH-KJV ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 8 Sep 2000 ; 13 Sep 2001 ;C-FZSY Avionco ;City of Sydney ;;
; VH-KJX ;Bombardier CRJ-200ER (CL-600-2B19);; 26 Jan 2001 ; 23 Aug 2002 ;C-FSXX Avionco ;;;
; VH-KJY ;Bombardier CRJ-200ER (CL-600-2B19);; 28 Feb 2001 ; 23 Aug 2002 ;C-FZUK Avionco ;;;
; VH-KXJ ;Bombardier CRJ-200ER (CL-600-2B19);; 24 May 2001 ; 26 Apr 2002 ;G-ELNX Eurolynx Aviation ;;;
; VH-EKD ;Saab 340A;; 9 Aug 1989 ; 13 Sep 2001 ;VH-EKD REX Airlines ;;;
; VH-EKG ;Saab 340B+; Y34 ; 22 Jun 1995 ; 4 Oct 2002 ;VH-EKG REX Airlines ;lsd ;;
; VH-EKH ;Saab 340B+; Y34 ; 29 Jun 1995 ; 14 Sep 2001 ;VH-EKH REX Airlines ;;;
; VH-EKK ;Saab 340B;; 11 Feb 1997 ; 1 Aug 2002 ;VH-EKK REX Airlines ;;;
; VH-EKN ;Saab 340B+; Y34 ; 11 Oct 1995 ; 13 Sep 2001 ;VH-EKN REX Airlines ;;;
; VH-EKT ;Saab 340A; Y34 ; 8 Mar 1990 ; 19 Sep 2002 ;VH-EKT REX Airlines ;;;
; VH-EKX ;Saab 340B;; 19 Jun 1996 ; 6 Aug 2002 ;VH-EKX REX Airlines ;;;
; VH-KDI ;Saab 340A;; 28 Oct 1988 ; Sep 2001 ;VH-KDI REX Airlines ;;;
; VH-KDP ;Saab 340A; Y34 ; 30 Apr 1986 ; 6 Aug 2002 ;VH-KDP REX Airlines ;;;
; VH-KDQ ;Saab 340B;; 13 Mar 1996 ; 14 Sep 2001 ;VH-KDQ REX Airlines ;;;
; VH-KDR ;Saab 340B;; 17 Jul 1996 ; 19 Sep 2002 ;VH-KDR REX Airlines ;lsd ;;
; VH-KDV ;Saab 340B;; 14 Feb 1996 ; 14 Sep 2001 ;VH-KDV REX Airlines ;;;
; VH-LPI ;Saab 340A;; Jul 1997 ; 16 May 2001 ;ZK-NLG Air Nelson ;lsd ;;
; VH-KDB ;Saab Fairchild 340A; Y34 ; 26 Nov 1991 ; 13 Sep 2001 ;VH-KDB REX Airlines ;;;
; VH-KDK ;Saab Fairchild 340A;; 25 Feb 1985 ; 13 Sep 2001 ;VH-KDK REX Airlines ;City Of Mount Gambier ;;
; VH-KEQ ;Saab Fairchild 340A;; 20 Dec 1996 ; Aug 2002 ;VH-KEQ REX Airlines ;;;
