;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; 5Y-KQC ;Boeing 737-3U8(SF); Cargo ; 22 Mar 2013 ;;; 23.8 Years ;;
; 5Y-KQD ;Boeing 737-3U8(SF); Cargo ; Jul 2013 ; Parked ;; 23 Years ;;
; 5Y-KQG ;Boeing 737-7U8(WL); C16Y100 ; 11 Dec 2002 ; Parked ;; 19.3 Years ;;
; 5Y-KQH ;Boeing 737-7U8(WL); C16Y100 ; 22 May 2003 ; Parked, SkyTeam cs ;; 18.8 Years ;;
; 5Y-CYA ;Boeing 737-8HX(WL); C16Y129 ; 14 Oct 2014 ;lsd ;; 7.4 Years ;;
; 5Y-CYB ;Boeing 737-8HX(WL); C16Y129 ; 18 Nov 2014 ;lsd ;; 7.3 Years ;;
; 5Y-CYC ;Boeing 737-86N(WL); C16Y129 ; 20 Jan 2015 ; Parked, lsd ;; 7.1 Years ;;
; 5Y-CYD ;Boeing 737-8HX(WL); C16Y129 ; 21 Apr 2015 ;lsd ;; 6.9 Years ;;
; 5Y-CYE ;Boeing 737-86N(WL); C16Y129 ; 20 Nov 2015 ; Parked, lsd, SkyTeam cs ;; 6.3 Years ;;
; 5Y-KYD ;Boeing 737-86N(WL); C16Y129 ; 8 Aug 2008 ;lsd ;; 13.6 Years ;;
; 5Y-KYE ;Boeing 737-8Q8(WL); C16Y129 ; 13 Jan 2009 ;lsd ;; 13.2 Years ;;
; 5Y-KYF ;Boeing 737-86N(WL); C16Y129 ; 11 Feb 2009 ;lsd ;; 13.1 Years ;;
; 5Y-KZX ;Boeing 777-3U8ER; C28Y372 ; 1 Jul 2014 ; Parked, lsd, lst Turkish Airlines as TC-LKC ;; 7.7 Years ;;
; 5Y-KZY ;Boeing 777-36NER; C28Y372 ; 1 May 2014 ;lsd, lst Turkish Airlines as TC-LKB ; Victoria Falls ; 7.9 Years ;;
; 5Y-KZZ ;Boeing 777-36NER; C28Y372 ; 16 Oct 2013 ;lsd, lst Turkish Airlines as TC-LKA ; Maasai Mara ; 8.4 Years ;;
; 5Y-KZA ;Boeing 787-8 Dreamliner; C30Y204 ; 31 Mar 2014 ;; The Great Rift Valley ; 8 Years ;;
; 5Y-KZB ;Boeing 787-8 Dreamliner; C30Y204 ; 18 Jun 2014 ;; The Zambezi River ; 7.8 Years ;;
; 5Y-KZC ;Boeing 787-8 Dreamliner; C30Y204 ; 30 Jul 2014 ;; Maasai Mara ; 7.7 Years ;;
; 5Y-KZD ;Boeing 787-8 Dreamliner; C30Y204 ; 22 Aug 2014 ; Parked, Come Live The Magic! cs ;; 7.6 Years ;;
; 5Y-KZE ;Boeing 787-8 Dreamliner; C30Y204 ; 19 Sep 2014 ;; Serengeti Plains ; 7.6 Years ;;
; 5Y-KZF ;Boeing 787-8 Dreamliner; C30Y204 ; 17 Oct 2014 ;;; 7.5 Years ;;
; 5Y-KZG ;Boeing 787-8 Dreamliner; C30Y204 ; 30 Apr 2015 ;lsd ; Magical Kenya ; 6.9 Years ;;
; 5Y-KZH ;Boeing 787-8 Dreamliner; C30Y204 ; 27 Oct 2018 ; Parked ; The Aberdare Range ; 6.8 Years ;;
; 5Y-KZJ ;Boeing 787-8 Dreamliner; C30Y204 ; 15 Jun 2019 ;lsd ; Ngorongoro Crater ; 6.7 Years ;;
; 5Y-FFA ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 29 Aug 2012 ;;; 9.6 Years ;;
; 5Y-FFB ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 13 Sep 2012 ;SkyTeam cs ;; 9.5 Years ;;
; 5Y-FFC ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 9 Oct 2012 ; Parked ;; 9.4 Years ;;
; 5Y-FFD ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 8 Nov 2012 ; Parked ;; 9.4 Years ;;
; 5Y-FFE ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 18 Dec 2012 ;;; 9.3 Years ;;
; 5Y-FFG ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 19 Feb 2013 ;;; 9.1 Years ;;
; 5Y-FFH ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 9 May 2013 ;;; 8.9 Years ;;
; 5Y-FFJ ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 30 Aug 2013 ;;; 8.5 Years ;;
; 5Y-FFK ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 13 Nov 2013 ;;; 8.4 Years ;;
; 5Y-FFL ;Embraer ERJ-190LR (ERJ-190-100 LR);; 5 Jul 2019 ;lsd, lst Congo Airways ;; 11 Years ;;
; 5Y-FFM ;Embraer ERJ-190LR (ERJ-190-100 LR);; 5 Aug 2019 ;lsd, lst Congo Airways ;; 10.9 Years ;;
; 5Y-KYP ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 17 Dec 2010 ;lsd ;; 11.3 Years ;;
; 5Y-KYQ ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 30 May 2011 ;lsd ;; 10.8 Years ;;
; 5Y-KYS ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 29 Sep 2011 ;lsd ;; 10.5 Years ;;
; 5Y-KYT ;Embraer ERJ-190AR (ERJ-190-100 IGW); C12Y84 ; 26 May 2012 ;lsd ;; 9.8 Years ;;
