;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; VT-KFH ;Airbus A319-131; Y144 ; 1 Dec 2005 ; 10 Apr 2013 ;EI-EYA BBAM ;lsd ;;
; VT-KFI ;Airbus A319-131; Y144 ; 15 Dec 2005 ; 14 Dec 2012 ;EI-EXZ BBAM ;lsd ;;
; VT-KFJ ;Airbus A319-131; Y144 ; 19 Jan 2006 ; 3 Jan 2013 ;M-BOCA BOC Aviation ;lsd ;;
; VT-VJM ;Airbus A319-133(CJ); VIP ; 29 Nov 2006 ; 2013 ; Scrapped ;;;
; VT-ADR ;Airbus A320-232; Y180 ; 29 Aug 2008 ; 18 Jun 2013 ;EI-EYC ILFC ;lsd ;;
; VT-ADU ;Airbus A320-232; Y180 ; 29 Aug 2008 ; 20 Feb 2013 ;N874AC Aviation Capital Group (ACG) ;lsd ;;
; VT-ADV ;Airbus A320-232; Y180 ; 29 Aug 2008 ; 24 Jul 2013 ;EI-FCR BOC Aviation ;lsd ;;
; VT-ADW ;Airbus A320-232; Y180 ; 29 Aug 2008 ; 4 Oct 2013 ;EI-FCS BOC Aviation ;lsd ;;
; VT-DKR ;Airbus A320-232; Y180 ; 29 Aug 2008 ; 11 Sep 2012 ;EI-EWU ILFC ;lsd ;;
; VT-DKS ;Airbus A320-232; Y180 ; 29 Aug 2008 ; Dec 2011 ;OE-IBD AerCap ;lsd ;;
; VT-DKT ;Airbus A320-232; Y180 ; 29 Aug 2008 ; Dec 2011 ;OE-IBE AerCap ;lsd ;;
; VT-DKU ;Airbus A320-232; Y180 ; 29 Aug 2008 ; 20 Mar 2012 ;N676AG Aviation Capital Group (ACG) ;lsd ;;
; VT-DKV ;Airbus A320-232; Y180 ; 29 Aug 2008 ; 2 Jul 2012 ;EI-EXO Air Lease Corporation (ALC) ;lsd ;;
; VT-DNU ;Airbus A320-232;; 19 Jun 2008 ; 1 Dec 2008 ;PK-RMK Mandala Airlines ;lsd ;;
; VT-DNZ ;Airbus A320-232; Y180 ; 29 Aug 2008 ; 18 Jan 2013 ;EI-EYD ILFC ;lsd ;;
