;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; EP-LCS ;Airbus A321-211; C28Y142 ; 2 Feb 2019 ; Parked ; 15.3 Years ;;
; EP-LCT ;Airbus A321-211; C28Y142 ; 7 Sep 2018 ;; 15.2 Years ;;
; EP-LCQ ;Fokker F100; Y100 ; 29 Dec 2012 ; Parked MHD ; 27 Years ;;
; EP-LCR ;Fokker F100; Y100 ; 29 Dec 2012 ;; 30.9 Years ;;
; EP-LCJ ;McDonnell Douglas MD-82 (DC-9-82); C20Y129 ; 10 Jun 2011 ;; 28 Years ;;
; EP-LCK ;McDonnell Douglas MD-82 (DC-9-82); C20Y129 ; Jun 2011 ;Kish Summer Festival cs ; 27.8 Years ;;
; EP-LCL ;McDonnell Douglas MD-82 (DC-9-82); C20Y129 ; May 2011 ;; 27.1 Years ;;
; EP-LCM ;McDonnell Douglas MD-82 (DC-9-82); C20Y129 ; Aug 2011 ;; 27.6 Years ;;
; EP-LCI ;McDonnell Douglas MD-83 (DC-9-83); Y156 ; 20 Jan 2010 ; Parked ; 33 Years ;;
; EP-LCN ;McDonnell Douglas MD-83 (DC-9-83); Y156 ; Mar 2013 ;; 34.6 Years ;;
; EP-LCO ;McDonnell Douglas MD-83 (DC-9-83); Y156 ; Dec 2012 ;Kish Summer Festival cs ; 31 Years ;;
