;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; HL8091 ;Airbus A220-300; Y140 ; 1 Mar 2019 ;; 3.1 Years ;;;
; HL8312 ;Airbus A220-300; Y140 ; 10 Aug 2018 ;; 3.6 Years ;;;
; HL8314 ;Airbus A220-300; Y140 ; 28 Sep 2018 ;; 3.5 Years ;;;
; HL8315 ;Airbus A220-300; Y140 ; 20 Dec 2018 ;; 3.2 Years ;;;
; HL7538 ;Airbus A330-223; C30Y188 ; 31 Aug 1998 ; Parked ; 23.6 Years ;;;
; HL7539 ;Airbus A330-223; C30Y188 ; 8 Sep 1998 ; Parked ; 23.5 Years ;;;
; HL7552 ;Airbus A330-223; C30Y188 ; 12 Mar 1999 ; Parked ; 23.1 Years ;;;
; HL8211 ;Airbus A330-223; C30Y188 ; 26 Jul 2010 ;; 11.7 Years ;;;
; HL8212 ;Airbus A330-223; C30Y188 ; 29 Sep 2010 ;SkyTeam cs ; 11.5 Years ;;;
; HL8227 ;Airbus A330-223; C30Y188 ; 14 Feb 2011 ;; 11.1 Years ;;;
; HL8228 ;Airbus A330-223; C30Y188 ; 7 Mar 2011 ;; 11.1 Years ;;;
; HL8276 ;Airbus A330-223; C30Y188 ; 8 Mar 2013 ;; 9 Years ;;;
; HL7524 ;Airbus A330-322; F6C18Y252 ; 24 Jan 1999 ;; 23.9 Years ;;;
; HL7525 ;Airbus A330-322; F6C18Y252 ; 26 Jun 1998 ;; 23.8 Years ;;;
; HL7540 ;Airbus A330-322; F12C28Y256 ; 30 Nov 1998 ;; 23.3 Years ;;;
; HL7550 ;Airbus A330-322; F6C18Y252 ; 3 Mar 1997 ;; 25.1 Years ;;;
; HL7551 ;Airbus A330-322; F12C28Y256 ; 30 May 1997 ;; 24.8 Years ;;;
; HL7553 ;Airbus A330-323; F6C18Y252 ; 4 Jun 1999 ;; 22.9 Years ;;;
; HL7554 ;Airbus A330-323; F6C18Y252 ; 30 Aug 1999 ;; 23.1 Years ;;;
; HL7584 ;Airbus A330-323; F6C18Y252 ; 31 May 2000 ;; 21.8 Years ;;;
; HL7585 ;Airbus A330-323; F6C18Y252 ; 26 Jul 2000 ;; 21.6 Years ;;;
; HL7586 ;Airbus A330-323; F6C18Y252 ; 10 Aug 2000 ;; 21.6 Years ;;;
; HL7587 ;Airbus A330-323; F12C28Y256 ; 29 Nov 2000 ;lsd ; 21.3 Years ;;;
; HL7701 ;Airbus A330-323; F6C18Y252 ; 22 Jan 2021 ;; 20.5 Years ;;;
; HL7702 ;Airbus A330-323; F6C18Y252 ; 25 Oct 2001 ;; 20.5 Years ;;;
; HL7709 ;Airbus A330-323; F6C18Y252 ; 8 Aug 2002 ; Parked ; 19.7 Years ;;;
; HL7710 ;Airbus A330-323; C24Y328 ; 4 Oct 2002 ;; 19.6 Years ;;;
; HL7720 ;Airbus A330-323; F6C18Y252 ; 15 Oct 2003 ;; 18.6 Years ;;;
; HL8001 ;Airbus A330-323; F6C18Y248 ; 29 Sep 2014 ;; 7.5 Years ;;;
; HL8002 ;Airbus A330-323; F6C18Y248 ; 28 Nov 2014 ;; 7.3 Years ;;;
; HL8003 ;Airbus A330-323; F6C18Y248 ; 22 Dec 2014 ;; 7.2 Years ;;;
; HL8025 ;Airbus A330-323; F6C18Y248 ; 27 Mar 2015 ;; 7 Years ;;;
; HL8026 ;Airbus A330-323; F6C18Y248 ; 24 Jun 2015 ;; 6.7 Years ;;;
; HL8027 ;Airbus A330-323; F6C18Y248 ; 31 Aug 2015 ;; 6.5 Years ;;;
