;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; EI-CBQ ;Boeing 737-3Y0;; Feb 2007 ; 11 Dec 2009 ;N383DF GECAS ;lsd ;;
; EI-CLW ;Boeing 737-3Y0; CY144 ; 22 Apr 2006 ; 15 Dec 2009 ;N382DF GECAS ;lsd ;;
; EI-CLZ ;Boeing 737-3Y0;; 23 Mar 2006 ; 14 Dec 2009 ;N381DF GECAS ;lsd ;;
; EI-DNH ;Boeing 737-3Y5; CY144 ; 18 Nov 2005 ; 23 Aug 2010 ;EI-DNH Atlant-Soyuz Airlines ;lsd ;;
; EI-DNS ;Boeing 737-329; CY144 ; 4 Apr 2006 ; 29 May 2009 ;N377EA EAST ;;;
; EI-DNT ;Boeing 737-329;; 14 Jun 2006 ; 5 Sep 2008 ; Stored ;lsd ;;
; EI-DUA ;Boeing 757-256;; 16 Nov 2006 ; 27 Oct 2008 ;EI-DUA ILFC ;lsd ;;
; EI-DUC ;Boeing 757-256;; 16 Nov 2006 ; 27 Oct 2008 ;EI-DUC ILFC ;lsd ;;
; EI-DUD ;Boeing 757-256;; 20 Dec 2006 ; 27 Oct 2008 ;EI-DUD ILFC ;lsd ;;
; EI-DUE ;Boeing 757-256;; 16 Jan 2007 ; 27 Oct 2008 ; Stored ;lsd ;;
; EI-DMH ;Boeing 767-260ER;; 24 Oct 2005 ; 1 Oct 2008 ;N289SW UT Finance Corporation ;lsd ;;
; EI-DMP ;Boeing 767-2Q8ER;; 15 Dec 2006 ; 4 Apr 2009 ;EI-DMP ILFC ;lsd ;;
; EI-GAA ;Boeing 767-266ER;; 24 May 2004 ; 5 Sep 2008 ; Stored ;lsf Arbor Finance ;;
; EI-GBA ;Boeing 767-266ER;; 24 May 2004 ; 1 Oct 2008 ;N573JW Aviation Consultants ;lsf Arbor Finance ;;
; RA-96014 ;Ilyushin Il-96-300; CY263 ; 24 Jun 2004 ; 2012 ;RA-96014 Rossiya - Special Flight Detachment ;Mikhail Vodopyanov, lsf Ilyushin Finance Co (IFC) ;;
; RA-96017 ;Ilyushin Il-96-300; CY263 ; 9 Sep 2004 ; May 2011 ;RA-96017 Rossiya - Special Flight Detachment ;Mikhail Reshetnev ;;
; N525MD ;McDonnell Douglas DC-10-30;; 8 Jul 1995 ; 28 Aug 1997 ;N12089 Continental Air Lines ;lsd ;;
; N533MD ;McDonnell Douglas DC-10-30;; 18 Apr 1996 ; 18 Jul 1997 ;N14090 Continental Air Lines ;;;
; RA-64018 ;Tupolev Tu-204-100;; 4 Nov 2000 ; May 2007 ;RA-64018 Red Wings ;Vasili Soorikov ;;
; RA-64019 ;Tupolev Tu-204-100;; Aug 2002 ; Dec 2007 ;RA-64019 Red Wings ;Ivan Yarygin ;;
; RA-64020 ;Tupolev Tu-204-100;; 2 Dec 2003 ; Aug 2007 ;RA-64020 Red Wings ;Alexander Lebed ;;
; RA-64508 ;Tupolev Tu-214; C12Y163 ; 30 May 2005 ;; Stored ;Vasily Molokov ;;
