;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; EI-EEB ;Boeing 737-73S(WL); Y148 ; 3 Dec 2011 ; 20 May 2014 ;F-GZTF Europe Airpost ;lsd ;;
; EI-EEV ;Boeing 737-73S(WL); Y148 ; 3 Dec 2011 ; 31 Mar 2014 ;F-GZTE Europe Airpost ;lsd ;;
; HK-4627 ;Boeing 737-73S(WL); Y149 ; 3 Dec 2011 ; 30 Jun 2014 ;N278KA WFBN Wells Fargo Bank Northwest ;lsd ;;
; HK-4635 ;Boeing 737-73V(WL); Y149 ; 3 Dec 2011 ; 16 Jan 2012 ;N529CL Ansett Worldwide (AWAS) ;;;
; HK-4641 ;Boeing 737-73V(WL); Y149 ; 3 Dec 2011 ; 30 Apr 2012 ;N530CL Ansett Worldwide (AWAS) ;lsd ;;
; HK-4660 ;Boeing 737-752(WL); Y148 ; 3 Dec 2011 ; 22 May 2014 ;N563WN Southwest Airlines ;lsd ;;
; HK-4675 ;Boeing 737-73V(WL); Y149 ; 3 Dec 2011 ; 5 Jun 2012 ;N243AW Ansett Worldwide (AWAS) ;lsd ;;
; HK-4694 ;Boeing 737-7Q8(WL); Y149 ; 3 Dec 2011 ; 3 Jan 2014 ;N981LF ILFC ;lsd ;;
; HK-4695 ;Boeing 737-7Q8(WL); Y149 ; 3 Dec 2011 ; 14 Nov 2013 ;N991LF ILFC ;lsd ;;
; HK-4724 ;Bombardier DHC-8-402Q Dash 8; Y78 ; 3 Dec 2011 ; 15 Apr 2014 ;N137KA Nordic Aviation Capital (NAC) ;lsd ;;
; HK-4725 ;Bombardier DHC-8-402Q Dash 8; Y78 ; 3 Dec 2011 ; 28 Mar 2014 ;N464KA Nordic Aviation Capital (NAC) ;lsd ;;
; HK-4726 ;Bombardier DHC-8-402Q Dash 8; Y78 ; 3 Dec 2011 ; 24 Dec 2013 ;N419KA Nordic Aviation Capital (NAC) ;lsd ;;
; HK-4727 ;Bombardier DHC-8-402Q Dash 8; Y78 ; 3 Dec 2011 ; 11 Sep 2013 ;N129KA Nordic Aviation Capital (NAC) ;lsd ;;
; HK-4473 ;De Havilland Canada DHC-8-202Q Dash 8; Y37 ; 3 Dec 2011 ; 15 Jul 2015 ;N985HA Batitu Leasing ;lsd ;;
; HK-4480 ;De Havilland Canada DHC-8-202Q Dash 8; Y37 ; 3 Dec 2011 ; 14 Aug 2015 ;N965HA Batitu Leasing ;;;
; HK-4491 ;De Havilland Canada DHC-8-201Q Dash 8; Y37 ; 3 Dec 2011 ; 20 Aug 2015 ;N969HA Batitu Leasing ;;;
; HK-4495 ;De Havilland Canada DHC-8-201Q Dash 8; Y37 ; 3 Dec 2011 ; 4 Sep 2015 ;N780LA Batitu Leasing ;;;
; HK-4509 ;De Havilland Canada DHC-8-201Q Dash 8; Y37 ; 3 Dec 2011 ; 28 Sep 2015 ;N840HA Batitu Leasing ;;;
; HK-4513 ;De Havilland Canada DHC-8-201Q Dash 8; Y37 ; 3 Dec 2011 ; 20 Nov 2015 ;N841HA Batitu Leasing ;;;
; HK-4520 ;De Havilland Canada DHC-8-201Q Dash 8; Y37 ; 3 Dec 2011 ;; Stored ;;;
; HK-4554 ;De Havilland Canada DHC-8-202Q Dash 8; Y37 ; 3 Dec 2011 ; 24 Nov 2015 ;N842HA Batitu Leasing ;;;
; HK-4618 ;De Havilland Canada DHC-8-201 Dash 8; Y37 ; 3 Dec 2011 ; 11 Jul 2013 ;N992HA WFBN Wells Fargo Bank Northwest ;lsd ;;
