;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N203PA ;Airbus A300B4-203;; 1 May 1995 ; 27 Dec 1995 ;N223KW Carnival Airlines ;lsf Carnival Airlines ;;
; N222KW ;Airbus A300B4-203;; 27 Apr 1995 ; 12 May 1996 ;N222KW Carnival Airlines ;lsf Carnival Airlines ;;
; N484GX ;Airbus A320-212;; Dec 1994 ; Feb 1995 ;N484GX LACSA Lineas Aéreas Costarricenses ;lsf LACSA Lineas Aéreas Costarricenses ;;
; CC-CYL ;BAC 1-11-207AJ One-Eleven;; 4 Dec 1991 ; 31 Dec 1994 ; Preserved ;lsd ;;
; CC-CYM ;BAC 1-11-207AJ One-Eleven;; 19 Nov 1991 ; 27 Apr 1994 ; Preserved ;lsd ;;
; CC-CYF ;BAC 1-11-301AG One-Eleven;; 19 Nov 1990 ; 3 Dec 1992 ; Scrapped ;lsd ;;
; CC-CYI ;BAC 1-11-301AG One-Eleven;; 17 Dec 1990 ; 26 Jan 1991 ; Scrapped ;lsd ;;
; CC-CIW ;Boeing 727-022;; Aug 1987 ; 16 Jul 1992 ;N863SY ATASCO Leasing ;;;
; CC-CEI ;Boeing 737-248C;; Dec 1998 ; 29 Oct 2001 ;CC-CEI LAN Express ;lsf LAN Chile ;;
; CC-CIM ;Boeing 737-2K6(A);; 11 Jul 1980 ; 3 Apr 1986 ;N148AW America West Airlines ;;;
; CC-CIN ;Boeing 737-2E3(A);; 29 Oct 1981 ; 31 Mar 1986 ;EI-BRZ Guinness Peat Aviation (GPA) ;;;
; CC-CIY ;Boeing 737-2E3(A);; 29 Jun 1982 ; 15 Mar 1984 ;N138AW America West Airlines ;;;
; CC-CJW ;Boeing 737-2T5(A);; Mar 2001 ; 21 May 2002 ;N31AU GECAS ;lsd ;;
; CC-CLD ;Boeing 737-2Q8(A);; 1 Apr 1990 ; 1 May 1996 ;CC-CLD LAN Chile ;lsd ;;
; CC-CYC ;Boeing 737-219(A);; Mar 2001 ; 24 Apr 2002 ;CC-CYC LAN Chile ;;;
; CC-CYD ;Boeing 737-205(A);; 16 Mar 1993 ; Oct 2002 ;LV-ZZA Southern Winds ;;;
; CC-CYK ;Boeing 737-205(A);; 22 Oct 1993 ; 24 Apr 2002 ;CC-CYK LAN Express ;;;
; CC-CYN ;Boeing 737-2M8(A);; 18 Nov 1991 ; May 2002 ;YV-215C Rutaca Airlines ;lsd ;;
; CC-CYP ;Boeing 737-2T5(A);; 16 Jun 1992 ; 1 May 1996 ;CC-CYP LAN Chile ;lsd ;;
; CC-CYR ;Boeing 737-2A6; C18Y96 ; 22 Dec 1992 ; 17 May 1999 ; Written Off ;lsd ;;
; CC-CYS ;Boeing 737-205(A);; 5 Jan 1994 ; 15 Jan 1999 ;N1999L Sanwa Business Credit ;lsd ;;
; CC-CYT ;Boeing 737-2E1(A);; 29 Mar 1995 ; Nov 2002 ;LV-ZZC Southern Winds ;lsd ;;
; CC-CYV ;Boeing 737-2Q8(A);; 20 Jul 1995 ; 27 Apr 2000 ;C-FLWJ WestJet ;lsd ;;
; CC-CYW ;Boeing 737-2M6(A);; Mar 2000 ; Oct 2002 ;LV-ZYX Southern Winds ;lsd ;;
; CC-CZK ;Boeing 737-236(A);; Feb 1998 ; 29 Oct 2001 ;CC-CZK LAN Express ;lsf LAN Chile ;;
; CC-CZM ;Boeing 737-236(A);; 19 Jul 1999 ; Jul 2001 ;CC-CAP Sky Airline ;;;
; CC-CZN ;Boeing 737-236(A);; 14 Apr 1999 ; 6 Jul 2001 ;ZS-SIV South African Airways ;lsd ;;
; CC-CZO ;Boeing 737-236(A); C18Y98 ; Mar 1998 ; 24 Sep 2002 ;CC-CZO LAN Express ;lsf LAN Chile ;;
; CC-CYE ;Boeing 737-3S3;; 5 Nov 1990 ; 15 Nov 1993 ;N375TA TACA International Airlines ;lsd ;;
; CC-CYJ ;Boeing 737-3Q8;; 21 May 1992 ; May 1996 ;N221LF ILFC ;lsd ;;
; CC-CYG ;Boeing 757-2Q8;; 28 May 1991 ; 29 May 1996 ;B-27001 Far Eastern Air Transport ;lsd ;;
; CC-CYH ;Boeing 757-2Q8;; 2 Jun 1992 ; 20 Apr 1996 ;CC-CYH LAN Chile ;lsd ;;
