;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-BIMA ;Airbus A300B4-203; Y314 ; 7 Jan 1981 ; 5 Feb 1982 ;6Y-JMJ Air Jamaica ;Metro, lsd ;;
; G-BIMB ;Airbus A300B4-203; Y314 ; 17 Feb 1981 ; 5 Feb 1982 ;6Y-JMK Air Jamaica ;Orient Express, lsd ;;
; G-BIMC ;Airbus A300B4-203; Y314 ; 11 Jun 1981 ; 5 Feb 1982 ;AP-BBV PIA Pakistan International Airlines ;Intercity Express, lsd ;;
; G-ATPK ;BAC 1-11-301AG One-Eleven;; 18 Feb 1971 ; 29 Mar 1982 ;G-ATPK Willowbrook ;;;
; G-AVBW ;BAC 1-11-320AZ One-Eleven;; May 1968 ; 6 Apr 1982 ;G-BKAU British Caledonian ;;;
; G-AVBX ;BAC 1-11-320AZ One-Eleven;; 8 Apr 1967 ; 22 Apr 1982 ;G-BKAV British Caledonian ;;;
; G-AVBY ;BAC 1-11-320AZ One-Eleven;; 28 Feb 1968 ; 22 Apr 1982 ;G-BKAW British Caledonian ;;;
; G-AVYZ ;BAC 1-11-320AZ One-Eleven;; 11 Apr 1968 ; 22 Apr 1982 ;G-BKAX British Caledonian ;;;
; G-AXMU ;BAC 1-11-432FD One-Eleven;; 21 Aug 1969 ; 8 Sep 1969 ;G-AXMU British Aircraft Corporation (BAC) ;lsf British Aircraft Corporation (BAC) ;;
; G-AZZC ;McDonnell Douglas DC-10-10;; 1980 ; 7 Oct 1982 ;N902CL Capitol Air ;Eastern Belle ;;
; G-AZZD ;McDonnell Douglas DC-10-10;; Dec 1977 ; 30 Apr 1982 ;N916CL Capitol Air ;Western Belle ;;
; G-BBSZ ;McDonnell Douglas DC-10-10;; Dec 1977 ; Apr 1982 ;N917CL International Air Leases (IAL) ;Canterbury Belle ;;
; G-BELO ;McDonnell Douglas DC-10-10;; 3 Jun 1977 ; 19 May 1983 ;N183AT American Trans Air ;Southern Belle ;;
; G-GFAL ;McDonnell Douglas DC-10-10;; 27 Feb 1979 ; 22 Feb 1982 ;G-BJZD British Caledonian ;Northern Belle ;;
; G-GSKY ;McDonnell Douglas DC-10-10;; 21 Mar 1979 ; 22 Feb 1982 ;G-BJZE British Caledonian ;California Belle ;;
; G-BGXE ;McDonnell Douglas DC-10-30;; Mar 1981 ; 14 Sep 1984 ;N1852U United Airlines ;;;
; G-BGXF ;McDonnell Douglas DC-10-30;; Mar 1981 ; 13 May 1982 ;G-BGXF McDonnell Douglas ;;;
; G-BGXG ;McDonnell Douglas DC-10-30;; 24 Mar 1980 ; 21 Sep 1984 ;N1854U United Airlines ;;;
; G-BGXH ;McDonnell Douglas DC-10-30;; 30 Apr 1980 ; Sep 1984 ;N5463Y SAS Scandinavian Airlines ;Florida Belle ;;
; G-BGXI ;McDonnell Douglas DC-10-30;; Feb 1981 ; Sep 1984 ;N5464M SAS Scandinavian Airlines ;;;
