;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; RDPL-34188 ;Airbus A320-214; C16Y126 ; 13 Oct 2011 ;; 11.1 Years ;;
; RDPL-34199 ;Airbus A320-214; C16Y126 ; 10 Nov 2011 ;; 11 Years ;;
; RDPL-34223 ;Airbus A320-214; C16Y126 ; 4 Dec 2012 ;lsd ; 9.3 Years ;;
; RDPL-34224 ;Airbus A320-214; C16Y126 ; 21 Dec 2012 ;lsd ; 9.2 Years ;;
; RDPL-34173 ;ATR 72-500 (72-212A); Y70 ; 4 Jul 2009 ;; 12.7 Years ;;
; RDPL-34174 ;ATR 72-500 (72-212A); Y70 ; 12 Sep 2009 ;; 12.5 Years ;;
; RDPL-34175 ;ATR 72-500 (72-212A); Y70 ; 28 Oct 2010 ;; 11.4 Years ;;
; RDPL-34176 ;ATR 72-500 (72-212A); Y70 ; 22 Dec 2010 ;; 11.2 Years ;;
; RDPL-34222 ;ATR 72-600 (72-212A); Y70 ; 11 Oct 2012 ;; 9.4 Years ;;
; RDPL-34225 ;ATR 72-600 (72-212A); Y70 ; 5 Jun 2014 ;; 7.8 Years ;;
; RDPL-34228 ;ATR 72-600 (72-212A); Y70 ; 18 Nov 2014 ;; 7.3 Years ;;
