;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; OE-LBQ ;Airbus A320-214; Y174 ; 25 Jan 2005 ; 31 Aug 2008 ;OE-LBQ Austrian Airlines ;Ray Charles ;;
; OE-LBR ;Airbus A320-214; Y174 ; 22 Feb 2005 ; 2 Oct 2008 ;OE-LBR Austrian Airlines ;Frida Kahlo ;;
; OE-ILC ;BAC 1-11-525FT One-Eleven;; 24 Apr 1985 ; 30 Nov 1985 ;YR-BCL TAROM ;Wolfgang Amadeus Mozart , lsf TAROM ;;
; OE-ILD ;BAC 1-11-525FT One-Eleven;; 29 Mar 1985 ; 1 Aug 1986 ;YR-BCM TAROM ;lsf TAROM ;;
; OE-ILE ;Boeing 737-2T5(A);; 15 Dec 1985 ; 25 Mar 1988 ;PH-TVX Transavia ;lsf Transavia ;;
; OE-ILF ;Boeing 737-3Z9; CY139 ; 30 Sep 2003 ; 24 May 2005 ;OM-AAE Slovak Airlines ;Bob Marley, lsf Austrian Airlines, Star Alliance cs ;;
; OE-ILG ;Boeing 737-3Z9; CY139 ; 2 Mar 1988 ; 12 Sep 2002 ;5R-MRM Government of Madagascar ;John Lennon ;;
; 9M-MQO ;Boeing 737-4H6;; 23 May 1998 ; 25 Mar 1999 ;9H-ADL Air Malta ;lsf Malaysia Airlines ;;
; OE-LNH ;Boeing 737-4Z9;; 18 Jun 2003 ; 4 Nov 2004 ;UR-GAO Ukraine International Airlines ;Elvis Presley, lsd ;;
; OE-LNI ;Boeing 737-4Z9;; 23 Feb 1993 ; 3 Jun 2005 ;UR-GAP Ukraine International Airlines ;Janis Joplin ;;
; OE-LNL ;Boeing 737-6Z9; CY111 ; 5 Oct 2009 ; 9 Dec 2009 ;OE-LNL Austrian Airlines ;Romy Schneider ;;
; OE-LNM ;Boeing 737-6Z9; CY111 ; 10 May 2000 ; 27 Apr 2008 ;OE-LNM Austrian Airlines ;Albert Einstein, Tirol cs ;;
; OE-LNN ;Boeing 737-7Z9; CY132 ; 19 Apr 2001 ; 18 Apr 2008 ;OE-LNN Austrian Airlines ;Maria Callas ;;
; OE-LNO ;Boeing 737-7Z9(WL);; 21 Jun 2001 ; 28 Jan 2010 ;OE-LNO Austrian Airlines ;Greta Garbo ;;
; OE-LNJ ;Boeing 737-8Z9(WL); C16Y142 ; 28 Jul 1998 ; 24 Mar 2010 ;OE-LNJ Austrian Airlines ;Falco ;;
; OE-LNK ;Boeing 737-8Z9(WL); Y184 ; 25 Apr 2008 ; 1 Jul 2012 ;OE-LNK Austrian Airlines ;Freddie Mercury ;;
; OE-LNP ;Boeing 737-8Z9(WL); CY172 ; 27 Mar 2002 ; 12 Feb 2010 ;OE-LNP Austrian Airlines ;George Harrison ;;
; OE-LNQ ;Boeing 737-8Z9(WL); CY172 ; 7 Jul 2003 ; 5 Feb 2010 ;OE-LNQ Austrian Airlines ;Gregory Peck ;;
; OE-LNR ;Boeing 737-8Z9(WL); Y184 ; 6 Apr 2005 ; 21 Feb 2010 ;OE-LNR Austrian Airlines ;Frank Zappa ;;
; OE-LNS ;Boeing 737-8Z9(WL); Y184 ; 3 Jun 2005 ; 19 Jan 2010 ;OE-LNS Austrian Airlines ;Miles Davis ;;
; OE-LNT ;Boeing 737-8Z9(WL); Y184 ; 10 May 2006 ; 15 Mar 2010 ;OE-LNT Austrian Airlines ;Kurt Cobain, Star Alliance cs ;;
; F-GHGF ;Boeing 767-3Q8ER;; 6 Jun 1991 ; 28 Jul 1991 ;F-GHGF Aéromaritime ;lsf Aéromaritime ;;
; F-GHGG ;Boeing 767-3Q8ER;; 19 Jul 1991 ; 23 Apr 1992 ;F-GHGG Air France ;lsd ;;
; OE-LAE ;Boeing 767-3Z9ER; C36Y209 ; 15 Nov 2000 ; 27 Jan 2005 ;OE-LAE Austrian Airlines ;Louis Armstrong ;;
; OE-LAS ;Boeing 767-33AER;; 12 Mar 2000 ; 13 Apr 2000 ;N909SH Ansett Worldwide (AWAS) ;Ayrton Senna, lsd ;;
; OE-LAT ;Boeing 767-31AER; C24Y234 ; 31 Oct 2004 ; 31 Mar 2007 ;OE-LAT Austrian Airlines ;Enzo Ferrari, Star Alliance cs ;;
; OE-LAU ;Boeing 767-3Z9ER;; 1 Oct 2001 ; 2 Sep 2004 ;G-VKNG Excel Airways ;;;
; OE-LAV ;Boeing 767-3Z9ER;; 16 Oct 1989 ; 26 May 1991 ; Written Off ;;;
; OE-LAW ;Boeing 767-3Z9ER; C36Y203 ; 21 Aug 2004 ; 11 Feb 2005 ;OE-LAW Austrian Airlines ;Star Alliance cs ;;
; OE-LAX ;Boeing 767-3Z9ER; C24Y234 ; 10 Jun 2003 ; 6 Apr 2007 ;OE-LAX Austrian Airlines ;Thailand ;;
; OE-LAY ;Boeing 767-3Z9ER; C36Y209 ; 27 Feb 2004 ; 4 Jul 2005 ;OE-LAY Austrian Airlines ;Star Alliance cs ;;
; OE-LAZ ;Boeing 767-3Z9ER; C36Y209 ; 18 Oct 2004 ; 25 Apr 2005 ;OE-LAZ Austrian Airlines ;Star Alliance cs ;;
