;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; 9H-IBJ ;Airbus A320-232; Y180 ; 23 Sep 2020 ;lsd ; 14.5 Years ;;
; 9H-IHD ;Airbus A320-232; Y180 ; 3 Dec 2020 ;lsd ; 14.4 Years ;;
; 9H-IHH ;Airbus A320-232; Y180 ; 9 Dec 2020 ;lsd ; 16.6 Years ;;
; 9H-IHL ;Airbus A320-232; Y180 ; 14 Dec 2020 ;lsd ; 14.9 Years ;;
; 9H-LAJ ;Airbus A320-232; Y180 ; 9 Oct 2020 ; Parked, lsd ; 17.4 Years ;;
; 9H-LAX ;Airbus A320-214; Y180 ; 21 Oct 2020 ;lsd ; 14.4 Years ;;
; 9H-LMB ;Airbus A320-232; Y180 ; 14 Oct 2020 ;lsd ; 15.6 Years ;;
; 9H-LMC ;Airbus A320-214; Y180 ; 5 Nov 2020 ;lsd ; 15 Years ;;
; 9H-LMG ;Airbus A320-232; Y180 ; 31 Aug 2020 ;lsd ; 11.1 Years ;;
; 9H-LMH ;Airbus A320-214; Y180 ; 1 Sep 2020 ;lsd ; 10.1 Years ;;
; 9H-LMI ;Airbus A320-214; Y180 ; 22 Sep 2020 ;lsd ; 9.9 Years ;;
; 9H-LMJ ;Airbus A320-214; Y180 ; 17 Sep 2020 ;lsd ; 9.8 Years ;;
; 9H-LMP ;Airbus A320-214; Y180 ; 2 Sep 2020 ;lsd ; 13.5 Years ;;
; 9H-LMT ;Airbus A320-214; Y180 ; 23 Nov 2020 ;lsd ; 16.1 Years ;;
; 9H-LOA ;Airbus A320-214; Y180 ; 27 Nov 2020 ;lsd ; 14.8 Years ;;
; 9H-LOB ;Airbus A320-232; Y180 ; 22 Oct 2020 ;lsd ; 15.4 Years ;;
; 9H-LOI ;Airbus A320-214; Y180 ; 29 Sep 2020 ;lsd ; 15.2 Years ;;
; 9H-LOM ;Airbus A320-232; Y180 ; 5 Nov 2020 ;lsd ; 15.3 Years ;;
; 9H-LON ;Airbus A320-214; Y180 ; 7 Oct 2020 ;lsd ; 15.1 Years ;;
; 9H-LOO ;Airbus A320-214; Y180 ; 15 Dec 2020 ;Salzburg , lsd ; 15.1 Years ;;
; 9H-LOP ;Airbus A320-232; Y180 ; 8 Oct 2020 ;lsd ; 20.5 Years ;;
; 9H-LOQ ;Airbus A320-214; Y180 ; 10 Dec 2020 ;lsd ; 14.9 Years ;;
; 9H-LOR ;Airbus A320-214; Y180 ; 16 Sep 2020 ;lsd ; 14.6 Years ;;
; 9H-LOS ;Airbus A320-214; Y180 ; 11 Dec 2020 ;lsd ; 14.8 Years ;;
; 9H-LOT ;Airbus A320-232; Y180 ; 19 Oct 2020 ;lsd ; 16.6 Years ;;
; 9H-LOU ;Airbus A320-214; Y180 ; 15 Sep 2020 ;lsd ; 14.9 Years ;;
; 9H-LOW ;Airbus A320-233; Y180 ; 16 Oct 2020 ; Parked, lsd ; 17.7 Years ;;
; 9H-LOY ;Airbus A320-232; Y180 ; 1 Oct 2020 ;lsd ; 18.1 Years ;;
; 9H-LOZ ;Airbus A320-232; Y180 ; 24 Sep 2020 ;lsd ; 15.7 Years ;;
