;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-1673 ;Airbus A320-214(WL); Y174 ; 27 May 2015 ;lsd, 19th Asian Games - Hangzhou 2022 cs ; 6.8 Years ;;;
; B-1675 ;Airbus A320-214(WL); Y174 ; 30 Jun 2015 ;lsd, 19th Asian Games - Hangzhou 2022 cs ; 6.7 Years ;;;
; B-1676 ;Airbus A320-214(WL); Y174 ; 5 Sep 2015 ;lsd, 19th Asian Games - Hangzhou 2022 cs ; 6.7 Years ;;;
; B-1866 ;Airbus A320-214(WL); Y174 ; 2 Apr 2014 ;lsd, Tide Xiaoshan (潮起萧山) cs ; 8 Years ;;;
; B-1867 ;Airbus A320-214(WL); Y174 ; 26 Apr 2014 ;lsd, Gansu (交响丝路·如意甘肃号/如意号) cs ; 7.9 Years ;;;
; B-1868 ;Airbus A320-214(WL); Y174 ; 27 May 2014 ;lsd, Gansu (空中丝绸之路快线号/飞天号) cs ; 7.9 Years ;;;
; B-1869 ;Airbus A320-214(WL); Y174 ; 25 Jun 2014 ;lsd ; 7.7 Years ;;;
; B-8145 ;Airbus A320-214(WL); Y174 ; 15 Jul 2015 ;lsd, 19th Asian Games - Hangzhou 2022 cs ; 6.7 Years ;;;
; B-8146 ;Airbus A320-214(WL); Y174 ; 9 Sep 2015 ;lsd, hello 5G cs ; 6.5 Years ;;;
; B-8147 ;Airbus A320-214(WL); Y174 ; 20 Oct 2015 ;lsd, 19th Asian Games - Hangzhou 2022 cs ; 6.4 Years ;;;
; B-8148 ;Airbus A320-214(WL); Y174 ; 8 Dec 2015 ;lsd, 19th Asian Games - Hangzhou 2022 cs ; 6.2 Years ;;;
; B-8243 ;Airbus A320-214(WL); Y174 ; 4 Feb 2016 ;lsd, 19th Asian Games - Hangzhou 2022 cs ; 6.1 Years ;;;
; B-8320 ;Airbus A320-214(WL); Y174 ; 6 Jun 2016 ;lsd ; 5.7 Years ;;;
; B-8335 ;Airbus A320-214(WL); Y174 ; 6 Apr 2016 ;lsd, 19th Asian Games - Hangzhou 2022 cs ; 5.9 Years ;;;
; B-8336 ;Airbus A320-214(WL); Y174 ; 31 Dec 2015 ;lsd, 19th Asian Games - Hangzhou 2022 cs ; 6.2 Years ;;;
; B-8433 ;Airbus A320-214(WL); Y174 ; 21 Mar 2016 ;lsd, Zhejiang-Aksu cs ; 6 Years ;;;
; B-8451 ;Airbus A320-214(WL); Y174 ; 28 Sep 2016 ;lsd ; 5.5 Years ;;;
; B-8452 ;Airbus A320-214(WL); Y174 ; 31 Oct 2016 ;lsd, Zhejiang-Aksu (浙江·阿克苏) cs ; 5.4 Years ;;;
; B-8453 ;Airbus A320-214(WL); Y174 ; 6 Jul 2016 ;lsd, 19th Asian Games - Hangzhou 2022 cs ; 5.7 Years ;;;
; B-8560 ;Airbus A320-214(WL); Y174 ; 29 Jun 2017 ;lsd, Changbai Mountain cs ; 4.7 Years ;;;
; B-8593 ;Airbus A320-214(WL); Y174 ; 13 Sep 2017 ;lsd, Picturesque Zhejiang (詩畵浙江/诗画浙江) cs ; 4.5 Years ;;;
; B-8868 ;Airbus A320-214(WL); Y174 ; 28 Dec 2017 ;lsd ; 4.2 Years ;;;
