;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; D-AEUA ;Airbus A321-211; Cargo ; Due ; Stored, opby Lufthansa CityLine ;; 18.8 Years ;;
; D-AEUC ;Airbus A321-211(P2F); Cargo ; Due ; Stored, opby Lufthansa CityLine ;; 13.8 Years ;;
; D-ALFA ;Boeing 777-FBT; Cargo ; 8 Nov 2013 ;; Good Day, USA ; 8.4 Years ;;
; D-ALFB ;Boeing 777-FBT; Cargo ; 25 Nov 2013 ; Parked ; Jambo Kenya ; 8.3 Years ;;
; D-ALFC ;Boeing 777-FBT; Cargo ; 25 Feb 2014 ;; 你好，中国 Ni Hao, China ; 8.1 Years ;;
; D-ALFD ;Boeing 777-FBT; Cargo ; 18 Jun 2014 ;; Olá Brazil ; 7.8 Years ;;
; D-ALFE ;Boeing 777-FBT; Cargo ; 11 Feb 2015 ;; Hallo Germany ; 7.1 Years ;;
; D-ALFF ;Boeing 777-F; Cargo ; 18 Feb 2019 ;; Konnichiwa Japan ; 3.1 Years ;;
; D-ALFG ;Boeing 777-F; Cargo ; 26 Mar 2019 ;"Flying 100% CO₂ neutral" sticker ; Annyeonghaseyo, Korea 안녕하세요, 대한민국 ; 3 Years ;;
; D-ALFH ;Boeing 777-F; Cargo ; 30 Aug 2020 ;; Namaste India नमस्ते इंडिया ; 1.6 Years ;;
; D-ALFI ;Boeing 777-F; Cargo ; 28 Sep 2020 ;"Cargo Human Care" sticker ; ¡Buenos días Mexico! ; 1.4 Years ;;
; D-ALFJ ;Boeing 777-F1H; Cargo ; 20 Sep 2021 ;lsd, "I'm a natural beauty. Waiting for my Lufthansa Cargo make up." sticker ;; 10.6 Years ;;
; D-ALFK ;Boeing 777-F; Cargo ; 28 Sep 2021 ;; Marhaba Egypt ; 0.5 Years ;;
