;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N501LX ;Bombardier DHC-8-402Q Dash 8; Y74 ; 20 Jul 2007 ; 6 Jan 2011 ;N501LX Frontier Airlines ;;;
; N502LX ;Bombardier DHC-8-402Q Dash 8; Y74 ; 29 Aug 2007 ; 11 Sep 2012 ;N502LX Frontier Airlines ;;;
; N503LX ;Bombardier DHC-8-402Q Dash 8; Y74 ; 13 Oct 2007 ; 5 Jan 2011 ;N503LX Frontier Airlines ;;;
; N504LX ;Bombardier DHC-8-402Q Dash 8; Y74 ; 19 Oct 2007 ; 5 Nov 2010 ;N504LX Frontier Airlines ;;;
; N505LX ;Bombardier DHC-8-402Q Dash 8; Y74 ; 25 Oct 2007 ; 25 Jan 2011 ;N505LX Frontier Airlines ;;;
; N506LX ;Bombardier DHC-8-402Q Dash 8; Y74 ; 1 Nov 2007 ; 4 Mar 2011 ;N506LX Frontier Airlines ;;;
; N507LX ;Bombardier DHC-8-402Q Dash 8; Y74 ; 2 Jan 2008 ; 12 Sep 2012 ;N507LX Frontier Airlines ;;;
; N508LX ;Bombardier DHC-8-402Q Dash 8; Y74 ; 31 Dec 2007 ; 12 Sep 2012 ;N508LX Frontier Airlines ;;;
; N509LX ;Bombardier DHC-8-402Q Dash 8; Y74 ; 16 Jan 2008 ; 13 Sep 2011 ;N509LX Frontier Airlines ;;;
; N510LX ;Bombardier DHC-8-402Q Dash 8; Y74 ; 30 Jan 2008 ; 13 Sep 2012 ;N510LX Frontier Airlines ;;;
; N511LX ;Bombardier DHC-8-402Q Dash 8; Y74 ; 26 Aug 2009 ; 27 May 2011 ;N511LX Frontier Airlines ;;;
