;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; OE-LMP ;Airbus A310-322; F16Y180 ; 11 Nov 2005 ; Mar 2007 ; Scrapped ;;;
; OE-IWP ;Embraer EMB-135BJ Legacy; VIP ; Nov 2005 ; May 2006 ;HB-IWX G5 Executive ;;;
; OE-IKB ;McDonnell Douglas MD-83 (DC-9-83);; 21 Sep 2006 ; 9 Jun 2010 ;N990PG Pegasus Aviation ;lsd ;;
; OE-LHG ;McDonnell Douglas MD-83 (DC-9-83); Y170 ; 20 Apr 2006 ; 12 Feb 2007 ;OE-LHG Aviajet ;;;
; OE-LJE ;McDonnell Douglas MD-83 (DC-9-83); Y170 ; 20 Apr 2006 ; 12 Nov 2006 ;OE-LJE Aviajet ;;;
; OE-LMH ;McDonnell Douglas MD-83 (DC-9-83); Y161 ; 26 May 2006 ; 27 Jun 2008 ;SX-DMH Meelad Air ;lsf Meelad Air ;;
; OE-LMI ;McDonnell Douglas MD-83 (DC-9-83);; 10 May 2007 ; 30 Apr 2008 ;F-GMLX Blue Line ;lsd ;;
; OE-LMM ;McDonnell Douglas MD-83 (DC-9-83); Y161 ; 9 Dec 2005 ; 21 Aug 2008 ;SX-DMM Meelad Air ;Heather, lsf Meelad Air ;;
; OE-LOG ;McDonnell Douglas MD-83 (DC-9-83); Y161 ; 14 Jun 2006 ; 2008 ; Stored ;;;
; OE-LRM ;McDonnell Douglas MD-83 (DC-9-83);; Nov 2006 ; 12 May 2007 ;SE-DJF Fly Excellent ;lsd ;;
; OE-LRW ;McDonnell Douglas MD-83 (DC-9-83);; 14 Aug 2006 ; 2008 ; Scrapped ;;;
