;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; S5-ABO ;Airbus A300B4-622R(F); Cargo ; 9 Nov 2018 ;opf DHL ;; 26.5 Years ;;
; S5-ABW ;Airbus A300B4-605R(F); Cargo ; 9 Sep 2015 ;;; 32.5 Years ;;
; TC-MCC ;Airbus A300B4-622R(F); Cargo ; 11 Jan 2013 ;;; 27.8 Years ;;
; TC-MCD ;Airbus A300B4-605R(F); Cargo ; 17 Jun 2013 ;; Bora Erbil ; 32.7 Years ;;
; TC-MCE ;Airbus A300B4-605R(F); Cargo ; 27 Sep 2013 ; Parked ISL ;; 32.6 Years ;;
; TC-MCG ;Airbus A300B4-622R(F); Cargo ; 23 Dec 2013 ;;; 27.7 Years ;;
; TC-MNV ;Airbus A300C4-605R; Cargo ; 12 Sep 2008 ;lsd ;; 22.9 Years ;;
; TC-MCZ ;Airbus A330-243F; Cargo ; 19 Sep 2013 ;; Murathan ; 9.6 Years ;;
; TC-MCM ;Airbus A330-343(P2F); Cargo ; 13 Mar 2021 ;lsd ;; 14.3 Years ;;
; TC-MCN ;Airbus A330-343;; 5 Jun 2021 ; Parked DRS, lsd ;; 14.3 Years ;;
