;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; 9M-MTU ;Airbus A330-223; C19Y268 ; 29 Mar 2018 ;lsd ; 16.8 Years ;;
; 9M-MTV ;Airbus A330-223; C19Y268 ; 23 Mar 2018 ;lsd ; 15 Years ;;
; 9M-MTW ;Airbus A330-223; C19Y268 ; 25 Jun 2018 ;lsd ; 15 Years ;;
; 9M-MTX ;Airbus A330-223; C19Y268 ; 22 May 2018 ;lsd, Malaysia Negaraku cs, "Visit Truly Asia Malaysia 2020" sticker ; 14 Years ;;
; 9M-MTY ;Airbus A330-223; C19Y268 ; 26 Dec 2018 ;lsd, Malaysia Negaraku cs ; 13.3 Years ;;
; 9M-MTZ ;Airbus A330-223; C19Y268 ; 10 Jul 2018 ; Parked, lsd, Malaysia Negaraku cs ; 11.9 Years ;;
; 9M-MUA ;Airbus A330-223F; Cargo ; 14 Sep 2011 ;; 10.5 Years ;;
; 9M-MUB ;Airbus A330-223F; Cargo ; 14 Nov 2011 ;; 10.4 Years ;;
; 9M-MUD ;Airbus A330-223F; Cargo ; 11 Apr 2012 ;; 9.9 Years ;;
; 9M-MTA ;Airbus A330-323; C27Y263 ; 4 Apr 2011 ;lsd, Malaysia Negaraku cs ; 11 Years ;;
; 9M-MTB ;Airbus A330-323; C27Y263 ; 4 May 2011 ;lsd ; 10.9 Years ;;
; 9M-MTC ;Airbus A330-323; C27Y263 ; 10 Jun 2011 ;lsd ; 10.8 Years ;;
; 9M-MTD ;Airbus A330-323; C27Y263 ; 24 Jun 2011 ;lsd ; 10.8 Years ;;
; 9M-MTE ;Airbus A330-323; C27Y263 ; 3 Aug 2011 ;Malaysia Negaraku / oneworld cs ; 10.6 Years ;;
; 9M-MTF ;Airbus A330-323; C27Y263 ; 23 Jan 2012 ;lsd ; 10.1 Years ;;
; 9M-MTG ;Airbus A330-323; C27Y263 ; 31 May 2012 ;Malaysia Negaraku Harimau Malaya cs ; 9.8 Years ;;
; 9M-MTH ;Airbus A330-323; C27Y263 ; 30 Jul 2012 ;Malaysia Negaraku cs ; 9.6 Years ;;
; 9M-MTI ;Airbus A330-323; C27Y263 ; 31 Aug 2012 ;Malaysia Negaraku cs ; 9.5 Years ;;
; 9M-MTJ ;Airbus A330-323; C27Y263 ; 21 Sep 2012 ;Malaysia Negaraku cs ; 9.6 Years ;;
; 9M-MTK ;Airbus A330-323; C27Y263 ; 15 Feb 2013 ;; 9.1 Years ;;
; 9M-MTL ;Airbus A330-323; C27Y263 ; 18 Mar 2013 ;Malaysia Negaraku cs ; 9 Years ;;
; 9M-MTM ;Airbus A330-323; C27Y263 ; 31 Jul 2013 ; Parked, Malaysia Negaraku cs ; 8.8 Years ;;
; 9M-MTN ;Airbus A330-323; C27Y263 ; 2 Dec 2013 ;lsd, Malaysia Negaraku cs ; 8.3 Years ;;
; 9M-MTO ;Airbus A330-323; C27Y263 ; 30 Jan 2014 ;oneworld cs ; 8.1 Years ;;
; 9M-MAB ;Airbus A350-941; F4C35Y247 ; 28 Nov 2017 ;lsd ; 4.3 Years ;;
; 9M-MAC ;Airbus A350-941; F4C35Y247 ; 22 Dec 2017 ;lsd, Malaysia Negaraku cs ; 4.2 Years ;;
; 9M-MAD ;Airbus A350-941; F4C35Y247 ; 12 Feb 2018 ; Parked, lsd ; 4.1 Years ;;
; 9M-MAE ;Airbus A350-941; F4C35Y247 ; 6 Apr 2018 ;lsd ; 4 Years ;;
; 9M-MAF ;Airbus A350-941; F4C35Y247 ; 3 May 2018 ;lsd, Malaysia Negaraku cs ; 3.9 Years ;;
; 9M-MAG ;Airbus A350-941; F4C35Y247 ; 11 Jul 2018 ;lsd, Malaysia Negaraku cs ; 3.7 Years ;;
; 9M-MNA ;Airbus A380-841; F8C66Y420 ; 29 May 2012 ; Parked KUL ; 10.4 Years ;;
; 9M-MNB ;Airbus A380-841; F8C66Y420 ; 27 Jul 2012 ; Parked KUL ; 10.1 Years ;;
; 9M-MNC ;Airbus A380-841; F8C66Y420 ; 26 Oct 2012 ; Parked KUL ; 10 Years ;;
; 9M-MND ;Airbus A380-841; F8C66Y420 ; 31 Oct 2012 ; Parked KUL ; 9.8 Years ;;
; 9M-MNE ;Airbus A380-841; F8C66Y420 ; 7 Feb 2013 ; Parked KUL ; 9.5 Years ;;
; 9M-MNF ;Airbus A380-841; F8C66Y420 ; 13 Mar 2013 ; Parked KUL, "100th A380" sticker ; 9.3 Years ;;
