;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; 8Q-IAN ;Airbus A320-214; C14Y138 ; 3 Oct 2012 ;lsd ; 17.2 Years ;;
; 8Q-IAI ;Airbus A321-211; C6Y194 ; 29 Dec 2014 ;lsd ; 16.3 Years ;;
; 8Q-ISD ; De Havilland Canada DHC-6-300 Twin Otter ; Y15 ; 8 Nov 2016 ;; 43 Years ;;
; 8Q-AMD ;De Havilland Canada DHC-8-202 Dash 8; Y37 ; 25 Aug 2008 ;; 25.7 Years ;;
; 8Q-IAQ ;De Havilland Canada DHC-8-202Q Dash 8; Y37 ; 25 Aug 2008 ;; 22.5 Years ;;
; 8Q-IAA ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 9 Nov 2017 ;; 20.2 Years ;;
; 8Q-IAK ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 19 Jul 2014 ;lsd ; 21.4 Years ;;
; 8Q-IAM ;De Havilland Canada DHC-8-311Q Dash 8; Y50 ; 27 Sep 2013 ;lsd ; 24.6 Years ;;
; 8Q-IAO ;De Havilland Canada DHC-8-314Q Dash 8; Y50 ; 25 Aug 2008 ;; 22 Years ;;
; 8Q-IAP ;De Havilland Canada DHC-8-311Q Dash 8; Y50 ; 25 Aug 2008 ;; 24.3 Years ;;
; 8Q-IAR ;De Havilland Canada DHC-8-314Q Dash 8; Y50 ; 10 Oct 2015 ;; 19.4 Years ;;
; 8Q-IAS ;De Havilland Canada DHC-8-315 Dash 8; Y50 ; 29 Jan 2012 ;lsf Aero Century Corporation ; 21.9 Years ;;
; 8Q-IAT ;De Havilland Canada DHC-8-314Q Dash 8; Y50 ; 14 Dec 2016 ;; 24.2 Years ;;
