;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; EI-DEY ;Airbus A319-112; CY128 ; 28 Feb 2010 ; 16 May 2010 ;OO-SSD Brussels Airlines ;lsd ;;
; EI-DEZ ;Airbus A319-112; CY128 ; 28 Feb 2010 ; 8 Nov 2013 ; Partially Preserved ;Capo Gallo-Isola delle Femmine, lsd ;;
; EI-DFA ;Airbus A319-112; CY128 ; 28 Feb 2010 ; 15 Jan 2013 ; Partially Preserved ;Capo Carbonara, lsd ;;
; EI-DFP ;Airbus A319-112; CY128 ; 28 Feb 2010 ; 7 Jan 2013 ;N327AT AeroTurbine ;lsd ;;
; I-EEZQ ;Airbus A319-112; CY128 ; 15 Jun 2010 ; Sep 2011 ; Preserved ;lsd ;;
; EI-EZN ;Airbus A320-232; Y180 ; 11 May 2010 ; 20 May 2013 ;LY-SPA Small Planet Airlines ;lsd ;;
; EI-EZO ;Airbus A320-232; Y180 ; 6 May 2010 ; 28 May 2013 ;SP-ADK Bingo Airways ;lsd ;;
; EI-EZR ;Airbus A320-214; Y180 ; 28 May 2010 ; 15 Feb 2013 ;EI-EZR Meridiana ;lsd ;;
; EI-EZS ;Airbus A320-232; Y180 ; 9 Jul 2010 ; 15 Feb 2013 ;EI-EZS Meridiana ;lsd ;;
; EI-EZT ;Airbus A320-232; Y180 ; 12 Aug 2010 ; 15 Feb 2013 ;EI-EZT Meridiana ;lsd ;;
; I-EEZE ;Airbus A320-214; Y180 ; 28 Feb 2010 ; Jul 2012 ;F-WTDC Macquarie AirFinance ;lsd ;;
; I-EEZF ;Airbus A320-214; Y177 ; 28 Feb 2010 ; 24 Jan 2013 ;EI-EZW GECAS ;lsd ;;
; I-EEZG ;Airbus A320-214; Y177 ; 28 Feb 2010 ; 24 Jan 2013 ;EI-EZV GECAS ;lsd ;;
; I-EEZH ;Airbus A320-214; Y180 ; 28 Feb 2010 ; 15 Feb 2013 ;I-EEZH Meridiana ;lsd ;;
; I-EEZI ;Airbus A320-214; Y180 ; 28 Feb 2010 ; 15 Feb 2013 ;I-EEZI Meridiana ;lsd ;;
; I-EEZK ;Airbus A320-214; Y180 ; 28 Feb 2010 ; 15 Feb 2013 ;I-EEZK Meridiana ;lsd ;;
; I-EEZP ;Airbus A320-233; Y180 ; 28 Feb 2010 ; 15 Feb 2013 ;I-EEZP Meridiana ;lsd ;;
; EI-EZL ;Airbus A330-223; C26Y256 ; 28 Feb 2010 ; 16 Sep 2012 ;EI-EZL Turkish Airlines ;lsd ;;
; I-EEZJ ;Airbus A330-223; C26Y256 ; 28 Feb 2010 ; 2 Mar 2012 ;D-ABXC Air Berlin ;lsd ;;
; I-EEZM ;Airbus A330-223; C26Y256 ; 28 Feb 2010 ; 7 Jan 2013 ;EI-EZJ ILFC ;lsd ;;
; I-SMEB ;McDonnell Douglas MD-82 (DC-9-82); Y165 ; 28 Feb 2010 ; 15 Feb 2013 ;I-SMEB Meridiana ;;;
; I-SMEL ;McDonnell Douglas MD-82 (DC-9-82); Y165 ; 28 Feb 2010 ; 15 Feb 2013 ;I-SMEL Meridiana ;;;
; I-SMEM ;McDonnell Douglas MD-82 (DC-9-82); Y165 ; 28 Feb 2010 ; 15 Feb 2013 ;I-SMEM Meridiana ;;;
; I-SMEP ;McDonnell Douglas MD-82 (DC-9-82); Y165 ; 28 Feb 2010 ; 15 Feb 2013 ;I-SMEP Meridiana ;;;
; I-SMER ;McDonnell Douglas MD-82 (DC-9-82); Y165 ; 28 Feb 2010 ; 15 Feb 2013 ;I-SMER Meridiana ;;;
; I-SMES ;McDonnell Douglas MD-82 (DC-9-82); Y165 ; 28 Feb 2010 ; 15 Feb 2013 ;I-SMES Meridiana ;;;
; I-SMET ;McDonnell Douglas MD-82 (DC-9-82); Y165 ; 28 Feb 2010 ; 15 Feb 2013 ;I-SMET Meridiana ;Miramare nel Golfo di Trieste ;;
; I-SMEV ;McDonnell Douglas MD-82 (DC-9-82); Y165 ; 28 Feb 2010 ; 15 Feb 2013 ;I-SMEV Meridiana ;;;
; I-SMEZ ;McDonnell Douglas MD-82 (DC-9-82); Y165 ; 28 Feb 2010 ; 15 Feb 2013 ;I-SMEZ Meridiana ;Secche di Tor Paterno ;;
; EI-CIW ;McDonnell Douglas MD-83 (DC-9-83); Y165 ; 28 Feb 2010 ; Jan 2012 ;YA-KMD Kam Air ;Isole Tremiti, lsd ;;
; EI-CKM ;McDonnell Douglas MD-83 (DC-9-83); Y165 ; 28 Feb 2010 ; 10 Oct 2011 ;N597SC GECAS ;Isola dell’Asinara, lsd ;;
; EI-CNR ;McDonnell Douglas MD-83 (DC-9-83); Y165 ; 28 Feb 2010 ; 13 Jul 2011 ;N307MS GECAS ;lsd ;;
; EI-CRE ;McDonnell Douglas MD-83 (DC-9-83); Y165 ; 28 Feb 2010 ; 29 Oct 2011 ; Scrapped ;Tavolara-Punta Coda Cavallo ;;
; EI-CRH ;McDonnell Douglas MD-83 (DC-9-83); Y165 ; 28 Feb 2010 ; 9 Nov 2011 ;N598SC GECAS ;lsd ;;
; EI-CRW ;McDonnell Douglas MD-83 (DC-9-83); Y165 ; 28 Feb 2010 ; 4 Dec 2011 ;N276CS GECAS ;lsd ;;
; I-SMEC ;McDonnell Douglas MD-83 (DC-9-83); Y165 ; 28 Feb 2010 ; 5 Oct 2011 ;YR-HBD Medallion Air ;Porto Cesaro, lsd ;;
; I-SMEN ;McDonnell Douglas MD-83 (DC-9-83); Y165 ; 28 Feb 2010 ; 15 Feb 2013 ;I-SMEN Meridiana ;;;
