;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; PK-MAY ;Airbus A300C4-620;; Mar 1997 ; 25 Sep 2000 ;9K-AHI State of Kuwait ;Mendut Temple, lsf Kuwait Airways ;;
; PK-MAW ;Airbus A310-324;; 23 Mar 1997 ; 6 Aug 1998 ;N823PA Partnairs US Leasing ;Prambanan Temple ;;
; PK-MAX ;Airbus A310-324;; 5 Sep 1996 ; 6 Aug 1998 ;N824PA Partnairs US Leasing ;Borobudur Temple ;;
; PK-MFA ;ATR 72-212;; 15 Mar 2010 ; 25 May 2011 ;S2-AFN United Airways ;;;
; N5032 ;BAC 1-11-401AK One-Eleven;; 13 Aug 1971 ; 15 Nov 1971 ;AN-BHN LANICA ;lsf American Airlines ;;
; PK-MBC ;Boeing 737-230(A);; 27 Dec 1994 ; 2011 ; Stored ;Kangean ;;
; PK-MBD ;Boeing 737-230(A);; 29 Dec 1994 ;; Stored ;Selaru ;;
; PK-MBE ;Boeing 737-230(A);; 17 Mar 1995 ; 2012 ; Stored ;Batanta ;;
; PK-MBF ;Boeing 737-2T4(A);; 25 Jan 2001 ; 26 Oct 2004 ;N368MM WFBN Wells Fargo Bank Northwest ;lsd ;;
; PK-MBG ;Boeing 737-2T4(A);; 23 Mar 2001 ; 22 Oct 2004 ;N369LS WFBN Wells Fargo Bank Northwest ;lsd ;;
; PK-MBH ;Boeing 737-2S3(A); C20Y76 ; 25 Jun 2001 ; 2009 ; Stored ;lsd ;;
; PK-MBJ ;Boeing 737-2U4(A); C20Y76 ; 27 Jun 2001 ; 2008 ; Stored ;lsd ;;
; PK-MBQ ;Boeing 737-217(A); C20Y76 ; Mar 2005 ; Oct 2011 ;PK-YSD Trigana Air Service ;;;
; PK-MBR ;Boeing 737-217(A); C20Y76 ; 24 Jun 2004 ; 2008 ; Stored ;lsd ;;
; PK-MBS ;Boeing 737-217(A); C20Y76 ; 28 Sep 2004 ;; Preserved ;lsd ;;
; PK-MBU ;Boeing 737-217(A); C20Y76 ; 3 Dec 2004 ;; Scrapped ;lsd ;;
; PK-MBX ;Boeing 737-228(A);; 23 Feb 2005 ;; Scrapped ;lsd ;;
; PK-MBY ;Boeing 737-228(A);; 9 Aug 2005 ; Mar 2011 ;PK-YSC Trigana Air Service ;lsd ;;
; PK-MBZ ;Boeing 737-228(A);; 16 May 2006 ; 1 Oct 2010 ;PK-YSA Trigana Air Service ;lsd ;;
; PK-MDC ;Boeing 737-2L9(A);; 2006 ;; Stored ;;;
; PK-MDD ;Boeing 737-2S3(A);; 14 Aug 2007 ; 2008 ; Stored ;;;
; PK-MBN ;Boeing 737-377;; 4 May 2004 ;; Scrapped ;;;
; PK-MBO ;Boeing 737-377;; 4 May 2004 ;; Scrapped ;;;
; PK-MBP ;Boeing 737-33A;; 13 Jul 2006 ; 2013 ; Stored ;Kli cs ;;
; PK-MDE ;Boeing 737-322;; 12 Nov 2009 ; 13 Apr 2010 ; Written Off ;;;
; PK-MDF ;Boeing 737-3S1; CY126 ; 4 Sep 2009 ; 2013 ; Stored ;lsd, Bugodi cs ;;
; PK-MDG ;Boeing 737-3Q8;; 5 Nov 2009 ; 8 Jul 2011 ;N296AG Aviation Capital Group (ACG) ;lsd ;;
; PK-MDH ;Boeing 737-301;; 3 Aug 2007 ; 21 Dec 2009 ; Written Off ;;;
; PK-MDJ ;Boeing 737-301;; 13 Aug 2007 ; Feb 2014 ; Stored ;;;
; PK-MDK ;Boeing 737-3B7;; 4 Feb 2008 ; Feb 2014 ; Stored ;lsd, Aoba cs ;;
; PK-MDQ ;Boeing 737-3Q8;; 14 Jul 2008 ; Feb 2014 ; Stored ;lsf Jetscape ;;
; PK-MDU ;Boeing 737-3Q8;; 7 Sep 2012 ; 11 Apr 2014 ;N453KA Kahala Aviation Leasing ;lsd ;;
; PK-MBK ;Boeing 737-4Y0;; Nov 2002 ; 12 Jun 2003 ;EC-IOU Futura ;;;
; PK-MBL ;Boeing 737-4Y0;; 12 Dec 2002 ; May 2004 ;PK-LIF Lion Air ;lsd ;;
; PK-MBM ;Boeing 737-4Y0;; 10 Jan 2003 ; 11 Jul 2004 ;PK-LIG Lion Air ;lsd ;;
; PK-MDM ;Boeing 737-408;; 7 Dec 2007 ; 2 Jul 2008 ;EC-KTM Futura ;lsf Futura ;;
; PK-MDN ;Boeing 737-4Y0;; 7 Dec 2007 ; 11 Feb 2008 ;EC-KNS Futura ;lsf Futura ;;
; PK-MDO ;Boeing 737-4Q8;; 7 Jun 2008 ; Mar 2013 ; Stored ;lsd ;;
; PK-MDR ;Boeing 737-4Q8;; 25 May 2012 ; 4 Apr 2014 ;N991LF ILFC ;lsd ;;
; PK-MDS ;Boeing 737-4Q8;; Aug 2011 ;; Preserved ;lsd ;;
; PK-MDY ;Boeing 737-4K5;; Aug 2011 ; 3 Feb 2014 ;N281LF AerCap ;lsd ;;
; PK-MDZ ;Boeing 737-4Q8;; 6 May 2009 ; 15 Jun 2011 ;N129AC Aircastle ;lsd ;;
; PK-MDT ;Boeing 737-522;; 3 Sep 2011 ; Oct 2014 ;PK-NJA New Jatayu Air ;;;
; PK-MTA ;British Aerospace 146-100;; 9 Dec 1996 ; 31 May 1998 ;VH-NJA National Jet Systems ;lsf National Jet Systems ;;
; PK-MTV ;British Aerospace ATP; Y68 ; 24 Feb 1992 ; Apr 1997 ;G-BTZG BAE Systems Asset Management ;Sipora, lsd ;;
; PK-MTW ;British Aerospace ATP; Y68 ; 30 Mar 1992 ; Apr 1997 ;G-BTZH BAE Systems Asset Management ;Pulau Laut, lsd ;;
; PK-MTX ;British Aerospace ATP; Y68 ; 29 Apr 1992 ; 19 Apr 1997 ; Written Off ;Sangeang, lsd ;;
; PK-MTY ;British Aerospace ATP; Y68 ; 1 Jun 1992 ; Apr 1997 ;G-BTZJ British Aerospace Asset Management ;Selayar, lsd ;;
; PK-MTZ ;British Aerospace ATP; Y68 ; 6 Jul 1992 ; Apr 1997 ;G-BTZK BAE Systems Asset Management ;Numfoor, lsd ;;
; PK-MJA ;Fokker F100; C24Y75 ; 27 Sep 1993 ; 2006 ; Stored ;Bawal ;;
