;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N305GT ;Boeing 737-4H6(SF); Cargo ; 8 Oct 2020 ;opf DHL ;; 24.9 Years ;;;
; N306GT ;Boeing 737-45D(SF); Cargo ; 31 Aug 2020 ;lsd, opf DHL ;; 28.7 Years ;;;
; N708DA ;Boeing 737-4K5(SF); Cargo ; 17 Feb 2022 ; Parked ; 708 ; 31.9 Years ;;;
; N407SW ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 1 Sep 2011 ; Parked TUS ; MJW ; 28.1 Years ;;;
; N241LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y67 ; 17 Apr 2014 ;; CYA ; 15.9 Years ;;;
; N242LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y67 ; 28 Apr 2014 ; Parked, opf American Eagle ; CYB ; 15.7 Years ;;;
; N243LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y67 ; 7 Jun 2013 ; Parked, opf American Eagle ; CYC ; 15.9 Years ;;;
; N244LR ;Bombardier CRJ-900LR (CL-600-2D24); C9Y67 ; 7 Jun 2013 ;opf American Eagle ; CYD ; 12.9 Years ;;;
; N245LR ;Bombardier CRJ-900LR (CL-600-2D24); C9Y67 ; 8 May 2013 ; Parked, opf American Eagle ; CYE ; 12.8 Years ;;;
; N246LR ;Bombardier CRJ-900LR (CL-600-2D24); C9Y67 ; 8 May 2013 ;opf American Eagle ; CYF ; 12.7 Years ;;;
; N247LR ;Bombardier CRJ-900LR (CL-600-2D24); C9Y67 ; 8 May 2013 ;opf American Eagle ; CYG ; 10.5 Years ;;;
; N248LR ;Bombardier CRJ-900LR (CL-600-2D24); C9Y67 ; 11 Apr 2013 ;opf American Eagle ; CYH ; 10.4 Years ;;;
; N249LR ;Bombardier CRJ-900LR (CL-600-2D24); C9Y67 ; 11 Apr 2013 ;opf American Eagle ; CYI ; 10.3 Years ;;;
; N326MS ;Bombardier CRJ-900LR (CL-600-2D24); C9Y67 ; 14 Mar 2013 ;opf American Eagle ; 326 ; 14.8 Years ;;;
; N329MS ;Bombardier CRJ-900LR (CL-600-2D24); C9Y67 ; 14 Mar 2013 ;opf American Eagle ; 329 ; 14.8 Years ;;;
; N902FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 30 Jan 2003 ;opf American Eagle ; M02 ; 19.2 Years ;;;
; N903FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 28 Apr 2003 ; Parked, opf American Eagle ; M03 ; 19 Years ;;;
; N904FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 13 Jun 2003 ;opf American Eagle ; M04 ; 18.8 Years ;;;
; N905J ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 2004 ;opf American Eagle ; M05 ; 18.8 Years ;;;
; N906FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 2004 ; Parked, opf American Eagle ; M06 ; 18.6 Years ;;;
; N907FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 9 Sep 2003 ; Parked, opf American Eagle ; M07 ; 18.5 Years ;;;
; N908FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 17 Oct 2003 ;opf American Eagle ; M08 ; 18.5 Years ;;;
; N909FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 20 Nov 2003 ; Parked, opf American Eagle ; M09 ; 18.4 Years ;;;
; N910FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 22 Dec 2003 ;opf American Eagle ; 910 ; 18.3 Years ;;;
; N911FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 23 Dec 2003 ;opf American Eagle ; 911 ; 18.2 Years ;;;
; N912FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 20 Jan 2004 ;opf American Eagle ; 912 ; 18.2 Years ;;;
; N913FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 30 Jan 2004 ; Parked, opf American Eagle ; 913 ; 18.1 Years ;;;
; N914FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 22 Jan 2004 ;opf American Eagle ; 914 ; 18.1 Years ;;;
; N915FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 1 Mar 2004 ;opf American Eagle ; 915 ; 18 Years ;;;
; N916FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 16 Mar 2004 ;opf American Eagle ; 916 ; 18 Years ;;;
; N917FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 25 Mar 2004 ; Parked, opf American Eagle ; 917 ; 18 Years ;;;
