;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N741BA ;Saab 340A;; 1 Jul 1989 ; 30 Nov 1990 ;N741BA Trans World Express (TWE) ;;;
; N742BA ;Saab 340A;; 1 Jul 1989 ; Apr 1991 ;N742BA Trans World Express (TWE) ;;;
; N743BA ;Saab 340A;; 1 Jul 1989 ; 1 Jan 1991 ;N743BA Trans World Express (TWE) ;;;
; N744BA ;Saab 340A;; 1 Jul 1989 ; May 1991 ;N744BA Trans World Express (TWE) ;;;
; N745BA ;Saab 340A;; 1 Jul 1989 ; May 1991 ;N745BA Trans World Express (TWE) ;;;
; N746BA ;Saab 340A;; 1 Jul 1989 ; 21 Apr 1991 ;N746BA Trans World Express (TWE) ;lsd ;;
; N747BA ;Saab 340A;; 1 Jul 1989 ; May 1991 ;N747BA Trans World Express (TWE) ;lsd ;;
; N748BA ;Saab 340A;; 1 Jul 1989 ; 7 Feb 1991 ;N748BA Trans World Express (TWE) ;lsd ;;
; N749BA ;Saab 340A;; 28 Jun 1989 ; 9 May 1991 ;N749BA Trans World Express (TWE) ;lsd ;;
; N751BA ;Saab 340A;; 19 Sep 1989 ; 21 Apr 1991 ;N751BA Trans World Express (TWE) ;;;
; N752BA ;Saab 340A;; Mar 1990 ; Nov 1990 ;N752BA Trans World Express (TWE) ;;;
; N753BA ;Saab 340A;; Apr 1990 ; Nov 1990 ;N753BA Trans World Express (TWE) ;;;
