;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N231US ;Boeing 737-2Q9(A); Y118 ; 12 Nov 1999 ; Oct 2001 ;N231US AVIACSA ;;;
; N232US ;Boeing 737-201(A); Y118 ; 25 Jul 1999 ; 4 Oct 2001 ;XA-TXD AVIACSA ;;;
; N241US ;Boeing 737-201(A);; Nov 1999 ;; Scrapped ;;;
; N242US ;Boeing 737-201(A);; Nov 1999 ; 10 Feb 2005 ;N242US Gold Transportation ;;;
; N243US ;Boeing 737-201(A); Y118 ; 1999 ; 22 Oct 2001 ;XA-UCG AVIACSA ;;;
; N244US ;Boeing 737-201(A); Y118 ; 7 May 1999 ; 4 Dec 2001 ;XA-TVN AVIACSA ;;;
; N246US ;Boeing 737-201(A); Y118 ; 1998 ; 6 Dec 2001 ;XA-TTM AVIACSA ;246 ;;
; N247US ;Boeing 737-201(A); Y118 ; Sep 1998 ; 5 Dec 2001 ;HI-777CA Aeromar Airlines ;;;
; N248US ;Boeing 737-201(A); Y118 ; 12 Nov 1999 ; 1 Oct 2001 ;XA-UAA AVIACSA ;;;
; N249US ;Boeing 737-201(A); Y118 ; 6 Dec 1999 ; 3 Dec 2001 ;XA-TYO AVIACSA ;;;
; N252AU ;Boeing 737-201(A); Y118 ; 5 Sep 1999 ; 4 Oct 2001 ;XA-TVD AVIACSA ;;;
; N253AU ;Boeing 737-201(A);; Sep 1998 ; 19 Jul 2004 ;C5-OBJ Slok Air International ;;;
; N255AU ;Boeing 737-201(A);; Jul 1998 ; 1 Mar 2004 ;5N-IFY Slok Air ;;;
; N256AU ;Boeing 737-201(A);; May 1999 ; 26 Jan 2004 ;5N-ZNA Slok Air ;;;
; N257AU ;Boeing 737-201(A);; Dec 1999 ; 27 Mar 2002 ;N257AU Jetran ;;;
; N259AU ;Boeing 737-201(A); Y118 ; Sep 1999 ; 27 Mar 2002 ;N259AU Jetran ;259 ;;
; N260AU ;Boeing 737-201(A); Y118 ; 6 May 1999 ; 11 Oct 2001 ;XA-UCA AVIACSA ;;;
; N261AU ;Boeing 737-201(A); Y118 ; 2 Feb 1999 ; 1 Oct 2001 ;XA-TUK AVIACSA ;;;
; N262AU ;Boeing 737-201(A);; Nov 1999 ; 9 May 2002 ;XA-TTP AVIACSA ;;;
; N263AU ;Boeing 737-201(A); Y118 ; 24 Nov 1999 ; 15 Oct 2001 ;XA-TVL AVIACSA ;;;
; N266AU ;Boeing 737-2B7(A); Y118 ; 4 Sep 1999 ; 4 Dec 2001 ;RP-C8007 Air Philippines ;;;
; N268AU ;Boeing 737-2B7(A);; 7 May 1999 ; 4 Dec 2001 ;PK-CJJ Sriwijaya Air ;;;
; N271AU ;Boeing 737-2B7(A); Y118 ; 4 Sep 1999 ; 15 Oct 2001 ;PK-CJH Sriwijaya Air ;;;
; N272AU ;Boeing 737-2B7(A); Y118 ; 1999 ; 10 Mar 2000 ;N126NJ Vanguard Airlines ;;;
; N273AU ;Boeing 737-2B7(A);; 10 Nov 1999 ; 4 Dec 2003 ;9L-LEG Albarka Air ;;;
; N277AU ;Boeing 737-2B7(A);; Sep 1998 ; 6 Mar 2007 ;5N-BGM Nicon Airways ;;;
; N278AU ;Boeing 737-2B7(A); Y118 ; Sep 1998 ; 13 May 2003 ;5N-BFJ ADC Airlines ;;;
; N279AU ;Boeing 737-2B7(A); Y118 ; Feb 1999 ; 2 Sep 2003 ;5N-BFK ADC Airlines ;;;
; N281AU ;Boeing 737-2B7(A);; May 1999 ; 24 Oct 2003 ;5N-BDP Dasab Airlines ;;;
; N282AU ;Boeing 737-2B7(A); Y118 ; Aug 1998 ; 14 Sep 2002 ;HS-AKU Phuket Air ;;;
; N284AU ;Boeing 737-2B7(A);; 5 Sep 1999 ; 7 Dec 2001 ;HS-VKK Phuket Air ;;;
; N285AU ;Boeing 737-2B7(A);; 2000 ; 1 Sep 2002 ;PK-ALN Star Air ;;;
; N286AU ;Boeing 737-2B7(A); Y118 ; Sep 1998 ; 31 Jul 2002 ;3520 Fuerza Aérea Mexicana (Mexican Air Force) ;286 ;;
; N287AU ;Boeing 737-2B7(A);; Sep 1998 ; 11 Feb 2003 ;PK-KAT Kartika Airlines ;;;
; N288AU ;Boeing 737-2B7(A);; May 1999 ; 26 Aug 2002 ;PK-ALV Star Air ;;;
