;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; C-FABN ;De Havilland Canada DHC-8-102 Dash 8;; 4 Mar 1987 ; 10 Apr 1987 ;C-FABN Air BC ;lsf de Havilland Canada ;;
; N800MX ;De Havilland Canada DHC-8-101 Dash 8; Y37 ; 20 Dec 1984 ; Feb 1993 ;N800MX Allegheny Commuter Airlines ;;;
; N801MX ;De Havilland Canada DHC-8-101 Dash 8; Y37 ; 25 Apr 1985 ; Feb 1993 ;N801MX Allegheny Commuter Airlines ;;;
; N802MX ;De Havilland Canada DHC-8-101 Dash 8; Y37 ; 9 Jul 1985 ; Aug 1995 ;TJ-AIC Air Affaires Afrique ;;;
; N803MX ;De Havilland Canada DHC-8-101 Dash 8;; 4 Oct 1985 ; May 1993 ;N803MX Allegheny Commuter Airlines ;;;
; N804MX ;De Havilland Canada DHC-8-101 Dash 8; Y37 ; 27 Nov 1985 ; May 1993 ;N804MX Allegheny Commuter Airlines ;;;
; N805MX ;De Havilland Canada DHC-8-101 Dash 8; Y37 ; 18 Apr 1986 ; Feb 1991 ;VH-TNX Sunstate Airlines ;;;
; N806MX ;De Havilland Canada DHC-8-102 Dash 8;; 15 May 1986 ; 1 May 1992 ;VH-TND Sunstate Airlines ;;;
; N807MX ;De Havilland Canada DHC-8-102 Dash 8;; 18 Jun 1986 ; Feb 1991 ;VH-TNG Sunstate Airlines ;;;
; N334AE ;Saab 340B; Y34 ; 6 Apr 1993 ; 28 May 1993 ;N334AE American Eagle ;SCY, lsd ;;
; N335AE ;Saab 340B; Y34 ; 22 Apr 1993 ; 28 May 1993 ;N335AE American Eagle ;SCZ, lsd ;;
; N360MA ;Saab 340A; Y34 ; Nov 1990 ; 28 May 1993 ;N360MA American Eagle ;;;
; N361MA ;Saab 340A; Y34 ; Nov 1990 ; 28 May 1993 ;N361MA American Eagle ;;;
; N362MA ;Saab 340A; Y34 ; 24 Sep 1987 ; 28 May 1993 ;N362MA American Eagle ;362 ;;
; N363MA ;Saab 340A; Y34 ; 24 Sep 1987 ; 28 May 1993 ;N363MA American Eagle ;lsd ;;
; N364MA ;Saab 340A; Y34 ; 24 Sep 1987 ; 28 May 1993 ;N364MA American Eagle ;lsd ;;
; N365MA ;Saab 340A; Y34 ; 20 Oct 1987 ; 28 May 1993 ;N365MA American Eagle ;365, lsd ;;
; N366MA ;Saab 340A; Y34 ; 20 Oct 1987 ; 28 May 1993 ;N366MA American Eagle ;366, lsd ;;
; N367MA ;Saab 340A; Y34 ; 30 Nov 1987 ; 28 May 1993 ;N367MA American Eagle ;lsd ;;
; N368MA ;Saab 340A; Y34 ; 16 Dec 1987 ; 28 May 1993 ;N368MA American Eagle ;lsd ;;
; N369MA ;Saab 340A; Y34 ; 22 Dec 1987 ; 28 May 1993 ;N369MA American Eagle ;lsd ;;
; N370MA ;Saab 340A; Y34 ; 9 Feb 1988 ; 28 May 1993 ;N370MA American Eagle ;lsd ;;
; N371MA ;Saab 340A; Y34 ; 29 Feb 1988 ; 28 May 1993 ;N371MA American Eagle ;lsd ;;
; N372MA ;Saab 340A; Y34 ; 21 Mar 1988 ; 28 May 1993 ;N372MA American Eagle ;lsd ;;
; N373MA ;Saab 340A; Y34 ; 6 May 1988 ; 28 May 1993 ;N373MA American Eagle ;lsd ;;
; N374MA ;Saab 340A; Y34 ; 24 May 1988 ; 28 May 1993 ;N374MA American Eagle ;lsd ;;
; N375MA ;Saab 340A; Y34 ; 1 Jul 1988 ; 28 May 1993 ;N375MA American Eagle ;lsd ;;
; N586MA ;Saab 340B; Y34 ; 10 Nov 1989 ; 28 May 1993 ;N586MA American Eagle ;lsd ;;
; N587MA ;Saab 340B; Y34 ; 4 Dec 1989 ; 28 May 1993 ;N587MA American Eagle ;lsd ;;
; N588MA ;Saab 340B; Y34 ; 15 Dec 1989 ; 28 May 1993 ;N588MA American Eagle ;lsd ;;
; N589MA ;Saab 340B; Y34 ; 19 Dec 1989 ; 28 May 1993 ;N589MA American Eagle ;lsd ;;
; N590MA ;Saab 340B; Y34 ; 12 Apr 1990 ; 28 May 1993 ;N590MA American Eagle ;lsd ;;
; N591MA ;Saab 340B; Y34 ; 9 Jun 1990 ; 28 May 1993 ;N591MA American Eagle ;lsf Swedish Aircraft Two KB ;;
; N592MA ;Saab 340B; Y34 ; 6 Jul 1990 ; 28 May 1993 ;N592MA American Eagle ;lsd ;;
; N593MA ;Saab 340B; Y34 ; 23 Oct 1990 ; 28 May 1993 ;N593MA American Eagle ;lsd ;;
; N594MA ;Saab 340B; Y34 ; 8 Nov 1990 ; 28 May 1993 ;N594MA American Eagle ;lsd ;;
; N595MA ;Saab 340B; Y34 ; 20 Dec 1990 ; 28 May 1993 ;N595MA American Eagle ;lsd ;;
; N741BA ;Saab 340A; Y34 ; 30 Nov 1990 ; 1 May 1991 ;N741BA American Eagle ;;;
; N743BA ;Saab 340A; Y34 ; 1 Jan 1991 ; 25 May 1991 ;N743BA American Eagle ;;;
