;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; XA-BMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 27 Feb 2009 ; 9 Feb 2011 ;N638BR US Bank ;;;
; XA-CMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 2 Mar 2009 ; 9 Feb 2011 ;N656BR US Bank ;;;
; XA-DMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 1 Apr 2009 ; 9 Feb 2011 ;N649BR US Bank ;lsd ;;
; XA-EMI ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 19 Jun 2009 ; 28 Aug 2010 ;N471ZW Air Wisconsin ;;;
; XA-FMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 20 Mar 2009 ; 8 Feb 2011 ;N639BR US Bank ;;;
; XA-GMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 30 Apr 2009 ; 9 Feb 2011 ;N657BR US Bank ;;;
; XA-HMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 19 Jun 2009 ; 9 Feb 2011 ;N677SA US Bank ;;;
; XA-IMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 31 Jul 2009 ; 9 Feb 2011 ;N458CA US Bank ;;;
; XA-JMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 14 Jul 2009 ; 9 Feb 2011 ;N469SM US Bank ;;;
; XA-KMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 22 Jun 2009 ; 9 Feb 2011 ;N483CA US Bank ;;;
; XA-LMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 14 Aug 2009 ; 9 Feb 2011 ;N465SM WFBN Wells Fargo Bank Northwest ;;;
; XA-MMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 1 Sep 2009 ; 11 Apr 2011 ;N682SA US Bank ;;;
; XA-NMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 27 Sep 2009 ; 11 Apr 2011 ;N681SA US Bank ;;;
; XA-OMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 22 Dec 2009 ; 9 Feb 2011 ;N486CA US Bank ;;;
; XA-PMI ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 30 Mar 2010 ; 8 Feb 2011 ;N106MN GECAS ;oneworld cs ;;
