;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N165MD ;Bombardier CRJ-701ER (CL-600-2C10); Y70 ; 29 Oct 2004 ; 25 Jan 2005 ;N165MD US Airways Express ;165, lsd ;;
; N167MD ;Bombardier CRJ-701ER (CL-600-2C10); Y70 ; 29 Oct 2004 ; 2 Feb 2005 ;N167MD US Airways Express ;167, lsd ;;
; N168MD ;Bombardier CRJ-701ER (CL-600-2C10); Y70 ; 29 Oct 2004 ; 2 Feb 2005 ;N168MD US Airways Express ;168, lsd ;;
; N171MD ;Bombardier CRJ-701ER (CL-600-2C10); Y70 ; 29 Oct 2004 ; 16 Mar 2005 ;N171MD US Airways Express ;171, lsd ;;
; N175MD ;Bombardier CRJ-701ER (CL-600-2C10); Y70 ; 29 Oct 2004 ; 28 Feb 2005 ;N175MD US Airways Express ;175, lsd ;;
; N177MD ;Bombardier CRJ-701ER (CL-600-2C10); Y70 ; 29 Oct 2004 ; 4 Mar 2005 ;N177MD US Airways Express ;177, lsd ;;
; N801MA ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 5 Mar 2004 ; 28 May 2006 ;N801MA US Airways Express ;801, lsd ;;
; N802MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 5 Mar 2004 ; 28 May 2006 ;N802MD US Airways Express ;802, lsd ;;
; N803MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 9 Mar 2004 ; 28 May 2006 ;N803MD US Airways Express ;803, lsd ;;
; N804MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 11 Mar 2004 ; 28 May 2006 ;N804MD US Airways Express ;804, lsd ;;
; N805MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 12 Apr 2004 ; 13 Oct 2005 ;N805MD US Airways Express ;805 ;;
; N806MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 15 Apr 2004 ; 13 Oct 2005 ;N806MD US Airways Express ;806 ;;
; N807MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 21 May 2004 ; 28 May 2006 ;N807MD US Airways Express ;807 ;;
; N808MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 21 May 2004 ; 28 May 2006 ;N808MD US Airways Express ;808, lsd ;;
; N809MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 1 Jun 2004 ; 21 Sep 2005 ;N809MD US Airways Express ;809 ;;
; N810MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 2 Jul 2004 ; 13 Oct 2005 ;N810MD US Airways Express ;810 ;;
; N811MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 17 Jun 2004 ; 28 May 2006 ;N811MD US Airways Express ;811, lsd ;;
; N812MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 28 Jun 2004 ; 28 May 2006 ;N812MD US Airways Express ;812, lsd ;;
; N813MA ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 30 Jun 2004 ; 28 May 2006 ;N813MA US Airways Express ;813, lsd ;;
; N814MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 15 Jul 2004 ; 28 May 2006 ;N814MD US Airways Express ;814, lsd ;;
; N815MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 15 Jul 2004 ; 12 Oct 2005 ;N815MD US Airways Express ;815 ;;
; N816MA ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 2 Aug 2004 ; 28 May 2006 ;N816MA US Airways Express ;816, lsd ;;
; N817MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 4 Aug 2004 ; 28 May 2006 ;N817MD US Airways Express ;817, lsd ;;
; N818MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 13 Aug 2004 ; 21 Sep 2005 ;N818MD US Airways Express ;818 ;;
; N819MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 23 Aug 2004 ; 28 May 2006 ;N819MD US Airways Express ;819, lsd ;;
; N820MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 30 Aug 2004 ; 28 May 2006 ;N820MD US Airways Express ;820, lsd ;;
; N821MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 1 Sep 2004 ; 21 Sep 2005 ;N821MD US Airways Express ;821 ;;
; N822MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 9 Sep 2004 ; 28 May 2006 ;N822MD US Airways Express ;822, lsd ;;
; N823MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 25 Jan 2005 ; 21 Sep 2005 ;N823MD US Airways Express ;823 ;;
; N824MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 25 Jan 2005 ; 22 Sep 2005 ;N824MD US Airways Express ;824 ;;
; N826MD ;Embraer ERJ-170SU (ERJ-170-100 SU); Y72 ; 27 Jan 2005 ; 22 Sep 2005 ;N826MD US Airways Express ;826 ;;
