;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N100ME ;McDonnell Douglas DC-9-14;; Oct 1983 ; 6 Sep 1985 ; Written Off ;lsf K-C Aviation Inc ;;
; N300ME ;McDonnell Douglas DC-9-15;; Aug 1984 ; 28 Feb 2003 ;N300ME Midwest Airlines ;;;
; N400ME ;McDonnell Douglas DC-9-14; F60 ; Oct 1984 ;; Scrapped ;;;
; N500ME ;McDonnell Douglas DC-9-14; F60 ; Feb 1986 ; 28 Feb 2003 ;N500ME Midwest Airlines ;;;
; N600ME ;McDonnell Douglas DC-9-14; F60 ; Jan 1986 ; 28 Feb 2003 ;N600ME Midwest Airlines ;;;
; N700ME ;McDonnell Douglas DC-9-14; F60 ; Jan 1987 ; 28 Feb 2003 ;N700ME Midwest Airlines ;;;
; N800ME ;McDonnell Douglas DC-9-14; F60 ; 1 Dec 1987 ; 24 Oct 2002 ;HK-4271 Inter (Intercontinental de Aviación) ;;;
; N80ME ;McDonnell Douglas DC-9-14; F60 ; Aug 1989 ; Oct 2001 ; Scrapped ;;;
; N900ME ;McDonnell Douglas DC-9-15; F60 ; May 1988 ; 13 Dec 2002 ;HK-4270 Inter (Intercontinental de Aviación) ;;;
; N202ME ;McDonnell Douglas DC-9-32; F84 ; 2 Feb 1994 ; 28 Feb 2003 ;N202ME Midwest Airlines ;lsd ;;
; N203ME ;McDonnell Douglas DC-9-32; F84 ; 18 Oct 1993 ; 28 Feb 2003 ;N203ME Midwest Airlines ;lsf Banc of America Leasing & Capital LLC ;;
; N204ME ;McDonnell Douglas DC-9-32; F84 ; 11 Jan 1994 ; 28 Feb 2003 ;N204ME Midwest Airlines ;lsf Banc of America Leasing & Capital LLC ;;
; N205ME ;McDonnell Douglas DC-9-32; F84 ; 25 Apr 1996 ; 28 Feb 2003 ;N205ME Midwest Airlines ;lsf M & I First National Leasing Corporation ;;
; N206ME ;McDonnell Douglas DC-9-32; F84 ; 15 Dec 1995 ; 28 Feb 2003 ;N206ME Midwest Airlines ;lsf lsf Banc of America Leasing & Capital LLC ;;
; N207ME ;McDonnell Douglas DC-9-32; F84 ; 12 Dec 1995 ; 28 Feb 2003 ;N207ME Midwest Airlines ;lsf lsf Banc of America Leasing & Capital LLC ;;
; N209ME ;McDonnell Douglas DC-9-32; F84 ; 6 Feb 1996 ; 28 Feb 2003 ;N209ME Midwest Airlines ;lsf M & I First National Leasing Corporation ;;
; N212ME ;McDonnell Douglas DC-9-32; F84 ; 17 Jul 1996 ; 28 Feb 2003 ;N212ME Midwest Airlines ;lsf M & I First National Leasing Corporation ;;
; N215ME ;McDonnell Douglas DC-9-32; F84 ; 17 Jul 1996 ; 28 Feb 2003 ;N215ME Midwest Airlines ;lsf M & I First National Leasing Corporation ;;
; N216ME ;McDonnell Douglas DC-9-32; F84 ; 9 Aug 1996 ; 28 Feb 2003 ;N216ME Midwest Airlines ;lsf Banc of America Leasing & Capital LLC ;;
; N301ME ;McDonnell Douglas DC-9-32; F84 ; Nov 1988 ; 28 Feb 2003 ;N301ME Midwest Airlines ;;;
; N302ME ;McDonnell Douglas DC-9-32; F84 ; Nov 1991 ; 28 Feb 2003 ;N302ME Midwest Airlines ;;;
; N401ME ;McDonnell Douglas DC-9-32;; Dec 1988 ; 28 Feb 2003 ;N401ME Midwest Airlines ;;;
; N501ME ;McDonnell Douglas DC-9-32; F84 ; Feb 1989 ; 28 Feb 2003 ;N501ME Midwest Airlines ;;;
; N502ME ;McDonnell Douglas DC-9-32; F84 ; Dec 1992 ; 28 Feb 2003 ;N502ME Midwest Airlines ;;;
; N602ME ;McDonnell Douglas DC-9-32; F84 ; Mar 1993 ; 28 Feb 2003 ;N602ME Midwest Airlines ;;;
; N803ME ;McDonnell Douglas MD-81 (DC-9-81);; 5 Jan 1999 ; Mar 2003 ;N803ME Midwest Airlines ;;;
; N804ME ;McDonnell Douglas MD-81 (DC-9-81);; 22 Sep 1998 ; Mar 2003 ;N804ME Midwest Airlines ;;;
; N805ME ;McDonnell Douglas MD-81 (DC-9-81);; 20 Sep 1999 ; Mar 2003 ;N805ME Midwest Airlines ;;;
; N806ME ;McDonnell Douglas MD-81 (DC-9-81);; 26 Feb 1999 ; Mar 2003 ;N806ME Midwest Airlines ;;;
; N807ME ;McDonnell Douglas MD-81 (DC-9-81);; 29 Sep 1999 ; Mar 2003 ;N807ME Midwest Airlines ;;;
; N810ME ;McDonnell Douglas MD-81 (DC-9-81);; 24 Apr 1998 ; Mar 2003 ;N810ME Midwest Airlines ;;;
; N812ME ;McDonnell Douglas MD-81 (DC-9-81);; 2 Aug 2000 ; Mar 2003 ;N812ME Midwest Airlines ;;;
; N813ME ;McDonnell Douglas MD-81 (DC-9-81);; 26 Mar 2001 ; Mar 2003 ;N813ME Midwest Airlines ;813 ;;
; N814ME ;McDonnell Douglas MD-81 (DC-9-81);; Feb 2001 ; Mar 2003 ;N814ME Midwest Airlines ;;;
; N808ME ;McDonnell Douglas MD-82 (DC-9-82);; 26 Jun 1998 ; Mar 2003 ;N808ME Midwest Airlines ;;;
; N809ME ;McDonnell Douglas MD-82 (DC-9-82);; 20 Jan 1998 ; Mar 2003 ;N809ME Midwest Airlines ;;;
; N601ME ;McDonnell Douglas MD-88;; Jan 1990 ; Mar 2003 ;N601ME Midwest Airlines ;;;
; N701ME ;McDonnell Douglas MD-88;; Jan 1990 ; Mar 2003 ;N701ME Midwest Airlines ;;;
