;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; EI-SLA ;ATR 42-300(F); Cargo ; 31 Aug 2009 ; 21 Feb 2013 ;EI-SLA Air Contractors ;lsf Air Contractors ;;
; EI-SLC ;ATR 42-300(F); Cargo ; 8 Nov 2009 ; 19 Aug 2011 ;EI-SLC Air Contractors ;lsf Air Contractors ;;
; I-ADLK ;ATR 72-500 (72-212A); Y68 / Cargo ; 20 May 2014 ; 1 Jul 2018 ;2-GPIA Bank of America ;;;
; I-ADLW ;ATR 72-500 (72-212A); Y68 / Cargo ; 6 Jun 2014 ; 1 Jul 2018 ;2-GPIB Bank of America ;;;
; OY-CNJ ;ATR 72-212; Cargo ; 29 Oct 2013 ; 24 Oct 2017 ; Written Off ;lsd ;;
; OY-CRV ;ATR 72-500 (72-212A);; 14 Jul 2014 ; 3 Mar 2015 ;HS-KAF Kan Air ;lsd ;;
; OY-JZZ ;ATR 72-500 (72-212A); Cargo ; 27 Oct 2016 ; 1 Oct 2019 ;OY-JZZ Poste Air Cargo ;lsd ;;
; OY-YAB ;ATR 72-500 (72-212A); Cargo ; 26 Jan 2015 ; 1 Oct 2019 ;OY-YAB Poste Air Cargo ;lsd ;;
; OY-YAE ;ATR 72-500 (72-212A); Y68 / Cargo ; 17 Nov 2014 ; 28 Jun 2018 ;OY-YAE Nordic Aviation Capital (NAC) ;lsd ;;
; OY-YAI ;ATR 72-500 (72-212A);; 4 Jul 2014 ; 24 Nov 2014 ;EC-MHI Binter Canarias ;lsd ;;
; OY-YBN ;ATR 72-500 (72-212A);; 22 Jul 2017 ; 25 May 2018 ;OY-YBN Nordic Aviation Capital (NAC) ;lsd ;;
; OY-YBU ;ATR 72-500 (72-212A); Cargo ; 22 Nov 2018 ; 1 Oct 2019 ;OY-YBU Poste Air Cargo ;lsd ;;
; EI-BUE ;Boeing 737-348(QC); Y147 ; 8 Jun 2012 ; 31 Oct 2014 ;N810QC Automatic LLC ;lsd ;;
; EI-CFQ ;Boeing 737-3Y0(BDQC);; 8 Jul 2014 ; 23 Nov 2016 ;2-HAUL European Aviation ;lsd ;;
; EI-DUS ;Boeing 737-3M8(QC); Y142/Cargo ; 10 Dec 2006 ; 13 Nov 2013 ;OE-ICS AMES CAMO ;lsf WCCM IRL Aviation Holdings Ltd ;;
; EI-DVA ;Boeing 737-36E(BDQC); Y142/Cargo ; 9 Feb 2007 ; 22 Mar 2016 ;HP-1923PST Air Panama ;lsd ;;
; EI-DVC ;Boeing 737-33A(QC); Y142/Cargo ; 9 Feb 2007 ; 20 Nov 2015 ;PR-SDG Sideral Linhas Aéreas ;lsd ;;
; EI-FGX ;Boeing 737-3Q8(QC);; 16 Mar 2015 ; 1 May 2019 ;N54AU Automatic LLC ;lsd ;;
; EI-ELZ ;Boeing 737-4Q8; Y168 ; 6 May 2010 ; 31 Oct 2017 ;N833QA Aerothrust Holdings ;;;
; EI-ETT ;Boeing 737-4K5;; 9 May 2012 ; 6 Jan 2014 ;EI-ETT TrawelFly ;;;
; EI-GHA ;Boeing 737-490(SF); Cargo ; 10 Oct 2018 ; 1 Oct 2019 ;EI-GHA Poste Air Cargo ;lsd ;;
; EI-GHB ;Boeing 737-490(SF); Cargo ; 6 Sep 2018 ; 1 Oct 2019 ;EI-GHB Poste Air Cargo ;lsd ;;
; EI-GHC ;Boeing 737-490(SF); Cargo ; 3 Apr 2019 ; 1 Oct 2019 ;EI-GHC Poste Air Cargo ;lsd ;;
; G-BVLJ ;British Aerospace 146-100;; 26 May 1995 ; 15 Nov 1995 ;G-BVLJ British Aerospace ;lsd ;;
; I-MSAA ;British Aerospace 146-200QT; Cargo ; 2 Jan 2003 ; 10 Nov 2009 ;G-TNTD TNT Airways ;;;
; I-TNTC ;British Aerospace 146-200QT; Cargo ; 3 Dec 1987 ; 8 Oct 2009 ;I-TNTC TNT Express ;lsf TNT International Aviation ;;
; G-BUHB ;British Aerospace 146-300A;; 22 Apr 1994 ; 31 Oct 1995 ;G-BUHB Air UK ;lsd ;;
